disjunctive	(文法で)隣接的な / 隣接的接続詞(but,either,orなど)
disk	『円盤』;円盤の表面 / 植物,動物の平たく丸い組織・部分;椎間板(ついかんばん) / (数学で)円板(円によって囲まれた範囲) / レコード
disk brakes, disc brakes	ディスクブレーキ(回転軸の円板をしめつけて回転を止めるブレーキ)
disk harrow, disc harrow	ディスクハロー(回転円板で土をくだく農機具)
disk jockey	ディスクジョッキー(おしゃべりを交え音楽を聞かせるラジオ番組のアナウンサー)
dislike	…を『嫌う』(進行形にできない) / (…を)『嫌いなこと』,いや気,嫌悪《+『for』(『of』)+『名』(do『ing』)》
dislocate	…の場所を移す,位置をずらす / …を脱臼(だっきゅう)させる(disjoint) / 〈正常な状態〉を乱す,混乱させる
dislocation	位置を変えること / 脱臼(だっきゅう) / 混乱
dislodge	(元の場所から)…を無理に押しのける(取り外す,追い出す)《+『名』+『from』+『名』》
disloyal	不忠な,不誠実な
disloyalty	(…に対する)不忠,不誠実;背信;〈C〉(…への)背信行為《+『to』(『toward』)+『名』》
dismal	『陰うつな』,気のめいるような(gloomy);わびしい,ものさびしい(dreary) / 見る(聞く)に耐えない,へたな
dismantle	…の装備(設備)を撤去する;(装備を)…から取り除く《+『名』+『of』+『名』》 / …を取り壊す,解体する
dismast	〈船〉からマストを取り除く;〈風などが〉〈船〉のマストを折る
dismay	〈恐怖・危機・心配などが〉…を『うろたえさせる』,を意気消沈させる / 『ろうばい』,意気消沈
dismember	…の手足をばらばらにする / 〈国土など〉を分断する
dismemberment	(人体の)手足の切断 / (国土の)分割
dismiss	…を『去らせる』,行かせる / 《文》(…から)〈人〉を解任(解雇,免職)する《+『名』〈人〉+『from』+『名』》 / (心から)…を追い払う《+『名』+『from』+『名』》 / 〈訴え・上訴など〉を却下(棄却)する
dismissal	解散,退去 / (…からの)解雇,免職,放免《+『from』+『名』》 / (考えなどの)放棄 / 却下,棄却
dismount	(馬・自転車などから)『降りる』《+『from』+『名』》 / 〈人〉を馬などから降ろす / (台座・支えなどから)〈物〉を降ろす《+『名』+『from』+『名』》
disobedience	不服従,不従順;(規則などに対する)違反
disobedient	(人・命令・規則などに)服従しない,反抗的な
disobey	〈人・命令・規則など〉に『服従しない』,違反する / 服従しない,反抗的態度をとる
disoblige	…の意に添わない,便宜を計ってやらない
disorder	〈U〉『無秩序』,混乱,乱雑(confusion) / 《しばしば複数形で》(社会的・政治的な)紛争,騒動 / 〈C〉(肉体的・精神的な)不調,異常,障害 / …の秩序を乱す / 〈心身〉に異常を起こさせる
