dissembler	しらばくれる人,ねこかぶり
disseminate	〈思想・ニュースなど〉を広める,普及させる
dissemination	(思想・ニュースなどの)普及,流布
dissension	(深刻な)意見の衝突,紛争;〈C〉不和(紛争)の原因
dissent	(…と)『意見が違う』,(…に)異議を唱える,従わない《+『from』+『名』》 / (英国国教会の)教義に従わない / (…との)『意見の相違』,異議,不同意《+『from』+『名』》 / 《しばしば『D-』》英国国教会からの分離,国教反対
dissenter	(体制への)反対者 / 《『D-』》英国国教に反対する新教徒
dissenting	異議を唱える / 《しばしば『D-』》英国国教会に従わない
dissertation	〈C〉学位(博士)論文;論文,論説
disservice	ひどい仕打ち,不親切,悪意
dissever	…を分離させる,区分する
dissidence	(意見などの)相違,不一致
dissident	違った意見の;(…と)意見が違う《+『from』+『名』》 / 意見が違う人,反対者
dissimilar	(…と)似ていない,異なる《+『to』(『from』)+『名』》
dissimilarity	似ていないこと,相違;〈C〉相違点
dissimilitude	=dissimilarity
dissimulate	=dissemble
dissimulation	しらばくれること,見せかけ;偽善,偽装
dissipate	〈軍勢・霧・雲など〉を散らす / 〈心配・恐怖など〉を消し去る,晴らす / 〈金・精力など〉を浪費する / 〈軍勢・霧・心配などが〉消散(消失)する,消える / 放蕩(ほうとう)する
dissipated	道楽(酒色)にふけった,ふしだらな;大散財の
dissipation	(霧・心配などの)消失,消散 / 浪費,むだ使い / 気晴らし;放蕩(ほうとう)
dissociate	(…から)…を引き離す,分離する《+『名』+『from』+『名』》 / (化学で)…を解離する
dissociation	分離[作用];解離
dissoluble	溶解性の,分解できる
dissolute	(人・生活態度などが)不道徳な;ふしだらな
dissolution	(部分・要素への)『分解』[作用] / (契約・連合の)解除,解消 / (議会・組織の)解散;崩壊
dissolve	…を『溶かす』,溶液にする / …を解消する,終りにする / …を分解する;…を解明する / 〈物質が〉『溶ける』,溶解する,液化する / 〈霧などが〉消散する,四散する(disperse) / 次第に消滅する,次第に薄れる(fade away) / (強い感情に)負ける
dissonance	〈U〉〈C〉不協和音 / 〈U〉(信念・行為と信念の)不一致
dissonant	(音が)調和しない,不協和音の / 不調和な;矛盾する
dissuade	(…を)〈人〉に思いとどまらせる《+『名』+『from』+『名』(do『ing』)》
dissuasion	(説得して)思いとどまらせること
dist.	distance / district
distaff	糸巻き棒(羊毛などの糸を紡ぐとき使用した) / 《the~》女性
distaff side	(家系の)母方,母系
