divebomb	…を急降下爆撃する / 急降下爆撃する
diver	水に飛び込む人 / 『海女』(あま),『潜水夫』;ダイビング競技の選手 / 水に潜る鳥(loon, grebeなど)
diverge	(一点から)分岐する,分かれる《+『from』+『名』》 / (定まったコースから)それる,外れる《+『from』+『名』》
divergence	分岐;それること
divergent	分岐する;それている
divers	いろいろの
diverse	(…とは)別種の,違った《+『from』+『名』》 / いろいろの,多様の
diversification	多様にすること,多様化;多様[であること]
diversify	…を多様化する,いろいろ変化させる
diversion	〈U〉(ある進路・目的・用途などから)そらせること《+『from』+『名』》 / 〈C〉気晴らし,娯楽 / 〈U〉注意をそらすこと;〈C〉注意をそらすもの
diversionary	注意をほかにそらす,気晴らしの / (軍事行動が)陽動の,牽(けん)制の
diversity	相違,差違 / 《a diversity》(…の)種々さまざま,多様性《+『of』+『名』》
divert	(ある道筋・用途から…へ)…を『わきへそらす』《+『名』+『from』+『名』+『to』+『名』》 / (…から)〈心・注意など〉をそらす《+『名』+『from』+『名』》 / …を楽しませる
divertimento	ディベルティメント,嬉(き)遊曲(数楽章から成る軽快な器楽合奏曲)
diverting	気晴らしになる,楽しい
divertissement	楽しみ,娯楽 / =divertimento
divest	(着衣・装飾などを)〈人など〉からはぎ取る / (権利・官位を)〈人〉から奪う,取り上げる
divide	(部分・断片・グループなどに)…を『分ける』,分割する《+『名』+『into』+『名』》 / (人と)…を『分け合う』《+『名』+『with』+『名』》;(人人の間で)…を分配する《+『名』+『among』(『between』)+『名』》 / (…から)…を『分離する』,切り離す,区切る《+『名』+『from』+『名』》 / (…に)〈時間など〉を『割り当てる』《+『名』+『between』+『名』》 / (感情的に・考え方の上で)〈人〉を対立させる,分裂させる / (…で)…を割る《+『名』+『by』+『名』》;(…を)…で割る《+『名』+『into』+『名』》 / 分かれる,分岐する / (…で)分かれて対立する,分裂する《+『on』(『over』)+『名』》 / 割り算をする / 〈C〉分水嶺 / 《比喩(ひゆ)的に》《the divide》生死の境
dividend	配当;配当金 / 被除数
divider	分ける人,分配人 / 分ける物,つい立て,仕切り / 《複数形で》割りコンパス
divination	占い,易断 / 予言,予知
divine	『神の』 / 神のような / 神が与える,神から授かった / 神にささげる;神聖な / 《話》すばらしい,すてきな / 聖職者,牧師 / 神学者 / 〈未来・未知のことなど〉を占う,予言する / 〈水脈・鉱脈〉を発見(探知)できる
divine service	礼拝[式]
diviner	占い師,易者,予言者 / 水脈(鉱脈)探知者
diving	潜水 / ダイビング
divining rod	占い棒(二またに分かれたハシバミ・ヤナギなどの枝で,地下の水脈や鉱脈の発見に役立つと考えられた)
divinity	〈U〉神であること,神性 / 〈C〉《しばしばD-》神 / 〈U〉神学
divisible	分けられる,分割できる;(…で)割り切れる《+『by』+『名』》
division	〈U〉分けること,『分割』,分離;『分配』 / 〈C〉(分割された)部分 / 〈U〉(意見・感情の相違による)分裂,不一致,不和 / 〈U〉割り算 / 〈C〉仕切り;境界線 / 〈C〉(官庁・会社の)『部門』;(大学の)学部 / 〈C〉《集合的に》(陸軍で)師団;(海軍で)分艦隊 / 〈C〉(英議会の)票決,採決
division bell	(英国国会で)賛否分離採決の予告ベル
division lobby	英国国会で賛否分離採決が行われるそれぞれの議場
division of labor	分業
division sign	割り算記号(÷)
divisive	不和を生じる,対立を引き起こす
divisor	除数
divorce	〈U〉〈C〉『離婚』,離縁 / 〈C〉《単数形で》完全な分離,絶縁 / 〈夫または妻〉と『離婚する』,〈夫婦〉を離婚させる / (…から)…を分離する,切り離す《+『名』+『from』+『名』》
divorcée, divorcee	離婚した女性
divot	(ゴルフクラブでそぎ取られた)芝生の小さな塊
divulge	(人に)〈秘密など〉を漏らす《+『名』+『to』+『名』》;…だと(…かどうかを)明かす《+『that節』(『wh-節・句』)》
divulgence	(個人的なこと・秘密などの)暴露,口外
divvy	…を分ける,分配する《+『up』+『名,』+『名』+『up』》 / (特に生活協同組合の)配当金,分配
dizzily	目まいがして;目がくらむほど
dizziness	目まい
dizzy	(人が)めまいがする,ふらふらする / 《名詞の前にのみ用いて》(場所・状況などが)めまいを起こさせる,目をくらませるような / 《補語にのみ用いて》(…で)浮き浮きした《+with+名》 / 愚かな,ばかな / …にめまいを起こさせる,をふらつかせる / …をまごつかせる,の心を混乱させる
djinn	=genie
dk.	deck / dock
dl	deciliter[s]
dlr.	dealer
dlvy.	delivery
dm	decimeter(デシメートル)
dn.	damn
do	《疑問文・否定文を作る》 / 《否定命令文を作る》 / 《助動詞とbe動詞のどちらも含まない文に用いて付加疑問を作る》 / 《強意語として》 / 《文》《助動詞とbe動詞のどちらも含まない文に用いて倒置文を作る》 / 《あいづちを打つ場合に》 / 《先行する動詞またはそれを含む述部の代用》 / 《so,nor,neitherで始まる簡略文で》 / …を『する』,行う,果たす / 《通例have done,時にbe doneの形で》…を『終える』,済ませる / …を作る,作り出す / …を『処理する』,整える,片付ける / 〈学課〉を『勉強する』,専攻する / 〈利益・害など〉を与える,もたらす / 〈人〉に『役立つ』,用が足りる(serve) / …の速度で進む,距離を行く / …を見物する / 〈劇〉を上演する;…の役を演じる / …の役目(仕事)をする / 《おもに英》…をだます,かつぐ / 《話》…をへとへとにさせる / 『する』;活動する / 《通例have done,時にbe doneの形で》(…を)『終える』,済ます《+『with』+『名』》 / 〈事が〉『運ぶ』;〈人が〉暮らしていく,健康である / 〈物が〉(…に)『間に合う』,十分である;〈人が〉(…に)役に立つ,向く《+『for』+『名』》 / 《複数形で》すべきこと / 〈C〉《おもに英》大宴会,大パーティー / 〈C〉《英話》詐欺,ぺてん / ド(全音階の第1音)
do-gooder	空想的社会改良家
do-it-yourself	自分でやる;しろうと用の / しろうと仕事,日曜大工
do-nothing	(改革や改善のための)努力をしない
do.	ditto
doable	する(行う)ことができる,なされうる
dobbin	農耕馬
doc	=doctor
doc.	document
docent	(大学の)講師
docile	扱いやすい,すなおな;教えやすい
docility	扱いやすいこと,従順
dock	『波止場』,埠頭(ふとう) / (入港中の船を入れておく)船だまり / (造船,修理用の)『ドック』,船渠(せんきょ) / 〈船〉をドックに入れる / 〈2個以上の宇宙船〉を大気圏外で連結させる / 〈船が〉ドックにはいる / 〈宇宙船が〉大気圏外で連結する,ドッキングする / …の端を切り取る / 〈給料など〉の一部を差し引く;(…から)〈ある金額〉を減らす《+『名』+『off』(『from』)+『名』》 / (刑事法廷の)被告席 / スカンポ,ギシギシ(タデ科の植物)
dockage	〈C〉ドック使用料 / 〈U〉ドック設備
docker	波止場人足,沖仲仕
docket	訴訟事件一覧表 / 《米》(法廷・会議の)協議事項表 / 《英》内容摘要;明細書,報告書 / 荷札 / …を訴訟事件一覧表に記載する
dockyard	造船所(shipyard)
doctor	(通例,歯医者・獣医などを含めて)『医者』 / 『博士』 / 《話》修理(修繕)屋 / 〈人〉に手当をする / 〈病気〉を治療する / …に手を加える,を偽造する / …を修理する
doctor's degree	博士号(博士の学位)
doctoral	博士[号]の
doctorate	〈C〉博士号,学位 / 名誉博士号
doctrinaire	純理論家,空論家 / 空論家の;非現実的な
doctrinal	学説(教義)上の
doctrine	〈U〉〈C〉(教会・政党などの)『教義』,『主義』,信条 / 〈U〉〈C〉教え,教訓 / 〈C〉原理,学説
document	(証書・記録・資料などの)『文書』,書類 / …を事実(証拠)で裏づける
document signed	署名入り証書
documentarily	文書に基づいて / 事実を伝えて
documentary	『文書の』,文書に基づく,文書から成る / 『事実を扱った』,事実を伝える / (映画・テレビなどの)記録もの,実録,ドキュメンタリー
documentation	文書調べ,文書による証拠固め / 資料,証拠書類
dodder	よぼよぼになる / (老齢などのために)よろよろと歩く / ネナシカズラ(ヒルガオ科の寄生植物)
doddering	よろよろする / (老齢などのために)震えている
doddle	容易に(簡単に)できること
dodge	すばやく身をかわす,さっと動く / …をすばやく身をかわして避ける / 《話》〈義務・責任など〉からうまく逃れる;〈質問など〉を巧みにはぐらかす / すばやく避ける(身をかわす)こと / 《話》(逃れたりはぐらかすための)妙計,策略
dodgems	ダッジム(遊園地などで小型電気自動車を囲いの中で相手にぶつける遊び)
dodger	《話》責任逃れをする人,ずるい人 / 《おもに米》(とうもろこしの粉で作った)堅焼きパン,揚げケーキ / 《おもに米》ちらし,広告ビラ
dodgy	{形}怪しい / 信用できない / 危なっかしい《英略式》
dodo	ドードー(絶滅した大きな飛べない鳥)
doe	(シカ・カモシカ・ヤギ・ウサギなどの)雌
doer	(思索型の人に対して)実行家,行動家
does	doの三人称・単数・直説法現在形
doeskin	雌ジカの皮;雌ジカのなめし皮 / ドスキン(ラシャ織りのウール地)
doesn't	=does notの短縮形
doff	〈着物・帽子など〉を脱ぐ
dog	犬 / 雄犬;イヌ科の動物(特にイタチ・オオカミ・カワウソ)の雄 / 《話》《形容詞を伴って》やつ / 《話》くだらない男,下劣なやつ / 《米俗》粗悪な物,くだらない物 / つかみ道具(氷づかみ,掛けかぎなど) / 《the dogs》《英》競犬 / (犬のように)…の後をつける,に付きまとう
dog biscuit	犬用ビスケット(骨粉入りの堅いもの)
dog collar	犬の首輪 / 《俗》牧師のカラー(後ろで留める堅いカラー)
dog days	(夏の)土用(Dog Starが太陽と同じ時刻にのぼる蒸し暑い時期で,7月3日ごろから8月11日ごろまでとされている)
dog-ear	(本の)ページの隅の折れ / 〈ページ〉の隅を折る
dog-eared	(本が)ページの隅が折ってある
