doorjamb	(戸口両側の)側柱(の一方)
doorkeeper	門衛,守衛
doorknob	ドアの取っ手
doorknocker	〈C〉ドアノッカー / 戸打ち金具
doorman	(ホテル・クラブなどの)ドア[開閉]係 / =doorkeeper
doormat	(玄関先の)靴ふき
doornail	(昔,補強や装飾のためにドアに打った)びょうくぎ
doorplate	表札
doorpost	=doorjamb
doorscraper	泥などを払う金網製の玄関マット
doorstep	戸口の上がり段(街路に面した家によく見られる)
doorstopper	あおり止め(戸をある位置で開いたまま固定する装置) / 戸当り(戸が壁などに直接当たるのを防ぐゴムなどでおおいをした突起物)
doorway	(家・部屋の)『戸口』,出入り口
dooryard	玄関の前庭
dopant	電磁効果を上げるため半導体に加える少量の不純物
dope	〈U〉ドープ(機械の潤滑剤);ドープ塗料(航空機翼などに塗る) / 〈U〉《話》(人・馬の)興奮剤,麻酔薬,麻薬 / 〈U〉《俗》(特に確かな筋の)情報 / 〈C〉《俗》まぬけ,ばか者 / …にドープ塗料を塗る / 《話》〈人・馬〉に興奮剤(麻薬)を飲ませる
dopey,dopy	《話》(麻薬・アルコールなどで)意識がもうろうとした / 《俗》ばかな
dorm	=dormitory
dormant	眠っている,睡眠状態の;(動植物が)冬眠(休眠)中の / (才能などが)未開発の,潜在している / 活動していない,休止中の
dormer	屋根窓(屋根裏部屋の明かりとり窓)
dormitory	《米》(大学などの)『寄宿舎』,『寮』 / 共同寝室
dormouse	ヤマネ(リスに似たネズミで冬眠する)
dorsal	(植物の)背部の,背の
dory	(北米東海岸地方で用いられる)平底船(タラ漁用) / (また『John Dory』)マトウダイ(大きな食用魚)
dosage	〈C〉《通例a~》1回分の投薬量 / 〈U〉《まれ》投薬
dose	(おもに飲み薬1回分の)『服用量』 / (痛いこと・いやなことの)1回分,一定量 / (人などが受ける放射線の)線量 / 性病 / (…を)…に投薬する,服用させる《+『名』+『with』+『名』》
dosimeter	線量計(放射線の量を測定する装置) / 薬量計
doss	睡眠,眠り / (手近な所に)寝る《+『down』》
doss house	安宿,どや
dosser	(背中に背負って運ぶ)荷かご / 《英俗》安宿の住人
dossier	(事件などの)関係書類,(個人の)身上調書
dost	doの二人称・単数・現在形
dot	『点』,ぽち,しみ / (ペンで書いたような)小点;終止符(period) / (通信の)短点 / …に『点を打つ』 / (…を)…に『点在させる』,散在させる《+『名』+『with』+『名』》 / …を打つ,なぐる(hit)
dotage	老いぼれ
dotard	もうろくした人
dote	もうろくする / (…を)溺愛(できあい)する《+『on』(『upon』)+『名』》
doth	doの三人称・単数・現在形
doting	溺愛(できあい)する
dotted	点々の / 全面的に(無条件に)同意する
dotted line	点線 / 《the~》(書類で)署名箇所を示す点線
dottle	(パイプの底に残った)たばこの吸いさし
dotty	気がふれている,愚かな
