draughty	=drafty
draw	…を『引く』,引っぱる / 《副詞[句]を伴って》…を『引いて』(ある状態に)『する』 / (…から)…を『引き抜く』,取り出す《+『名』+『from』(『out of』)+『名』》 / (…から)〈液体など〉を『くみ出す』,くみ上げる《+『名』+『from』+『名』》 / (…から)…を得る,引き出す《+『名』+『from』+『名』》 / 〈事〉を招く,もたらす / 〈人〉を引きつける,引き寄せる / 〈絵・図〉を『線で描く』,〈線〉を引く / …を描写する,述べる / 〈文書〉を書く,作成する;〈小切手〉を振り出す / 〈息〉を吸い込む;〈ため息〉をつく / …を引き伸ばす,いっぱいに張る / 〈くじなど〉を引く,引き当てる / 〈勝負など〉を引き分ける / 喫水が…だけある / 《副詞[句]を伴って》『動く』,『近づく』,行く / (…に向けて)剣(ピストル)を抜く《+『on』+『名』》 / 《副詞[句]を伴って》人を引き付ける / 《副詞[句]を伴って》『線で書く』 / くじを引く / 《副詞[句]を伴って》〈水が〉はける,〈パイプ・煙突などが〉通る / (勝負などが)引き分けになる / 〈茶などが〉出る / 〈船が〉喫水する / 引くこと,抜くこと,(たばこなどの)一吸い,一服 / (人を)引きつけるもの,呼び物,人気者 / くじ引き,抽せん(lot) / 引き分け,無勝負
drawback	(…の)障害,妨げ《+『to』+『名』》;不利,欠点,短所
drawbridge	(船を通過させる)はね橋;(城の)釣り上げ橋
drawer	〈C〉『引き出し』 / 〈C〉引っ張る人 / 《複数形で》ズロース
drawing	〈U〉『線で描くこと』,線描 / 〈C〉(鉛筆・ペン・クレヨンなどによる)『絵』,『スケッチ』,デザイン,製図 / 〈U〉線画(デッサン)の技法 / 〈C〉くじ引き,抽選
drawing board	画板,製図板
drawing card	人気役者;人気のある興行,人気番組,呼びもの
drawing pin	画びょう(《米》thumbtack)
drawing room	(客間にもなる広い)居間 / 《米》(列車の2,3人用の)特別個室
drawl	(特に母音を引き伸ばして)ゆっくり話す / …をゆっくり話す / (母音を引き伸ばした)ゆっくりした話し振り
drawn	drawの過去分詞 / 緊張した,こわばった / (鳥などの)はらわたを抜いた / (剣などが)さやから抜かれた,抜き身の / (勝負が)引き分けの
drawn butter	溶かしバター(しばしば煮だして味付けをし,ソースとして用いる)
drawstring	締めひも(袋の口やそで口などを締める)
dray	(4輪で台の低い)荷[馬]車 / …を荷[馬]車で運ぶ
drayman	荷馬車屋
dread	…を『非常にこわがる』(『心配する,いやがる』) / (何か起こりそうなものに対する)『恐れ』,心配,不安 / 非常に恐ろしい / おそれ多い
dreadful	『恐ろしい』,ものすごい / 実に不快な,ひどく悪い / 《話》ひどい,つまらない
dreadfully	恐ろしく,ものすごく / 《話》非常に,とても
dreadfulness	恐ろしいこと,ものすごいこと
dreadnought, dreadnaught	(20世紀初頭の)大型戦艦
dream	『夢』 / 『白昼夢』,幻想(daydream) / 抱負,強い希望,夢 / 《話》夢のように美しいもの,魅力のあるもの / 『夢を見る』 / (…を)『夢想する』,思い描く《+『of』(『about』)+『名』(do『ing』)》 / …を『夢に見る』,《a+形容詞+dreamを目的語にして》〈…の夢〉を見る / 《『dream』+『that節』》…と『思う』,想像する / 〈時〉をうかうかと過ごす《+『away』+『名』》
dream world	夢の世界
dreamboat	魅力的な異性
dreamer	夢を見る人;夢想家
dreamily	夢心地で,夢見るように
dreamland	〈U〉〈C〉夢の国,幻想の国,ユートピア / 〈U〉《文,またはおどけて》眠り
dreamless	(眠りが)夢を見ない
