dweller	居住者,住人
dwelling	『住居』,住宅
dwelling house	(店・事務所などに対して)住居,住宅
dwelt	dwellの過去・過去分詞
dwindle	小さくなる,減少する《+『away』》
dwt.	pennyweight[s]
dyarchy	両頭政治 = diarchy
dybbuk	(人に取り付くというユダヤ民俗の)悪霊(りょう),死人の霊
dye	(髪・布などの)『染料』 / 染め色,色合い / …を『染める』,に色をつける / 〈布などが〉『染まる』
dye works	染色工場
dyed-in-the-wool	(特に思想などが)徹底的に浸透した
dyeing	染色[法],染め物業
dyer	染め物屋(職人)
dyestuff	染料
dying	dieの現在分詞 / 死にかかっている,ひん死の / 消えかかっている,滅びかけている / 臨終の
dyke	=dike
dynamic, dynamical	『動力の』,動的な / (人・思想などが)精力的な,活力のある
dynamics	〈U〉《単数扱い》『力学』,動力学 / 《複数扱い》(一般的な意味で)『動力』,原動力 / 《複数扱い》(音楽の)強弱法
dynamism	力本説(あらゆる現象は自然力によるとする説)
dynamite	ダイナマイト / 強烈な効果(ショックなど)を与える人(物) / …をダイナマイトで爆破する
dynamo	発電機,ダイナモ[dynamo-electric machineの短縮語]
dynamometer	(機械的力を計る)動力計,力量計
dynastic	王朝の,王家の
dynasty	(歴代)王朝,王家 / (数世代にわたっての)特権階級に属する人々
dyne	ダイン(力の絶対単位;1グラムの物体に1秒につき1cm/秒の加速度を生じる力)
dysentery	赤痢
dysfunction	機能障害,機能不全
dyslexia	失読症(脳障害のために読書能力がそこなわれること)
dyslexic	失読症の
dyspepsia	消化不良,胃腸障害
dyspeptic	消化不良の / 憂うつな / 消化不良の人,胃腸障害の人
dysprosium	ジスプロシウム(希土類元素;化学記号は『Dy』)
dystrophy	栄養障害 / 筋萎縮症,筋ジストロフィー(筋肉の退化・萎縮・運動障害などが起こる病気)
dz.	dozen[s]
décolletage,decolletage	デコルテ〈U〉大きくえりをくって首筋・胸を出すこと / 〈C〉大きくえりぐりした婦人服
décolleté,decollete	(婦人服の)えりぐりの深い
décor, decor	(室内などの)装飾 / 舞台装置
déjà vu	既視[感](初めて出会ったことをすでに経験したかのように感じる錯覚の一種)
démodé	流行遅れの,時代遅れの
détente,detente	(特に国際関係の)緊張緩和
