E pluribus unum	多から一を(諸州の合一を目ざす米国の標語;米国の数種類の硬貨に刻まれている)
E,E.,e,e.	east / eastern
E,e	〈C〉英語アルファベットの第5字 / 〈U〉《E》(音階の)ホ音;ホ調 / 〈C〉《E》《米》(学校の成績の)E(5段階評価の第5位) / 〈C〉靴の幅広さを表す単位
E.C.M.	European Common Market欧州経済共同体(公式名はEEC)
E.E.	Electrical Engineer 電気技師
E.T.	〈略〉地球外生命体(extraterrestrial) / 映画『E.T.』(1982年) / Eastern Time 米国の東部標準時
EC	European Community欧州共同体
ECG	electrocardiogram
EDP	electronic data processing
EDT,E.D.T.	Eastern daylight time 東部夏時間
EEC	European Economic Community
EHF	extremely high frequency・極高周波・極々々超短波・極超短波・ミリ波・ミリメートル波
EM	enlisted man下士官兵
EMU	electromagnetic unit電磁単位
ENE	east-northeast
EPA	Environmental Protection Agency(米国)環境保護庁
ERA	Equal Rights Amendment《米》合衆国憲法の男女同権修正条項
ESE	east-southeast
ESP	extrasensory perception
EST,E.S.T.	Eastern Standard Time《米》東部標準時
ETA	estimated time of arrival到着予定時刻
ETD	estimated time of departure出発予定時刻
ETV	educational television教育テレビ
EV,ev	electron volt電子ボルト
EVA	extravehicular activity宇宙船外活動
EW	enlisted woman
East Asia	東アジア(日本・中国・朝鮮など)
East Berlin	東ベルリン
East China Sea	東シナ海
East End	イーストエンド(ロンドンの東部地域の工業地帯)
East Germany	東ドイツ,ドイツ民主共和国(=German Democratic Republic)
East Indies	東インド諸国(インド・インドネシア・ビルマ・タイ・マライ諸島を指す) / 東インド諸島(マライ諸島の別称)
East Side	イーストサイド(ニューヨーク市のマンハッタンの東部地区;移住者など低所得者層が多く住む)
Easter	『復活祭』,イースター(キリストの復活を祝って春分(3月21日ころ)後の満月の日の次の日曜日(Easter DayまたはEaster Sunday)に行われる祭り.新しい生命の象徴である彩色した鶏卵(Easter egg)を友人に贈ったり,盛装をして町をねり歩く習慣がある)
Easter egg	復活祭の卵(チョコレート・砂糖で作ったり,卵に彩色したりする)
Eastern Daylight Time	東部夏時間(日本との時差マイナス13時間;《略》EDT,E.D.T.)
Eastern Hemisphere	東半球
Eastern Standard Time	東部標準時(日本との時差はマイナス14時間;《略》EST,E.S.T.)
Eastern [Orthodox] Church	=Orthodox Church
Eastertide	復活祭に始まる1週間 / 復活祭の季節(宗派により,復活祭後の40,50または57日間をいう)
Ecclesiastes	伝道の書(旧約聖書の一書)
Ecuador	エクアドル(南米北西部の共和国;首都はQuito)
Edam	(オランダ製)赤玉チーズ
Eden	エデンの園(聖書で,神がはじめアダムとイブを住まわせた楽園)
Edinburgh	エジンバラ(スコットランドの首都)
Edison	エジソン(『Thomas Alva Edison』;1847‐1931;米国の発明家)
Eg.	Egypt / Egyptian
Egypt	『エジプト』(エジプトアラブ共和国(the Arab Republic of Egypt);首都はCairo)
Egyptian	エジプトの;エジプト人(語)の / 〈C〉エジプト人 / 〈U〉(古代の)エジプト語
Eiffel Tower	エッフェル塔
Einstein	アインシュタイン(『Albert~』;1879‐1955;物理学者;相対性原理を発見)
