easy chair	安楽いす
easygoing	のんきな,こせこせしたところのない
eat	…を『食べる』;〈食事〉をする;〈スープ〉を飲む / …を常食にする(進行形にできない) / 〈金属〉を腐食する;〈水,水の流れが〉…を浸食する《+『away』+『名,』+『名』+『away』》 / 〈穴など〉を腐食(浸食)してあける / 『食べる』,食事をする
eatable	(食物が)食べられる[状態にある] / (特に手を加えていない)食料品(food)
eaten	eatの過去分詞
eater	食べる人
eatery	(安くて小規模の)食い物屋
eating apple	(ジャム・パイなど料理用でなく)生で食べるりんご
eating house	レストラン,飲食店
eau de cologne	オーデコロン(=cologne)
eaves	(家の)軒,ひさし
eavesdrop	(…を)立ち(盗み)聞きする《+『on』+『名』》
eavesdropper	立ち聞き(盗み聞き)する人
ebb	『引き潮』,干潮 / (勢力などの)衰退,衰え / 〈潮が〉引く《+『away』》 / 〈勢い・力などが〉衰える,弱まる《+『away』》
ebb tide	引き潮
ebon	=ebony
ebonite	エボナイト
ebony	コクタン(ピアノの黒けんや高級家具用の黒い硬質木材) / コクタンの色 / コクタン色の
ebullience	幸福感と喜びに満ちあふれること
ebullient	沸騰した / 幸福感と喜びにあふれた
eccentric	(人・性格などが)『普通でない』,風変わりな / (2個以上の円が)中心を異にした / (軌道が)正円でない,偏心的な,離心的な / 『変人』,奇人 / 偏心輪(円運動を上下(前後)運動にかえる装置)
eccentrically	風変わりに / 偏心(離心)的に
eccentricity	〈C〉風変わりな行為(癖) / 〈U〉風変わりなこと
ecclesiastic	(キリスト教の)聖職者,牧師 / =ecclesiastical
ecclesiastical	(キリスト教の)教会の;聖職者の
echelon	(飛行機・艦船などの)梯形編成 / (役職などの)地位,段階
echo	〈C〉〈U〉『反響』[音];『こだま』,山びこ / 〈C〉〈U〉(意見・心情などに対する)共鳴,反応 / 〈C〉〈U〉(他人の行為・意見などの)繰り返し,まね《+『of』+『名』》;(…からの)影響《+『from』+『名』》;〈C〉まねをする人 / 〈場所が〉…を『反響させる』 / 〈人の言葉・意見〉を『そのまま繰り返す』,そっくりまねる / (…で)〈場所・音・声が〉『反響する』《+『with』+『名』(do『ing』)》
echolocation	レーダー反射法(レーダーを使って物体の位置を決定する方法)
eclair,éclair	エクレア(クリームの入った細長いケーキ)
eclat	華々しい成功;拍手かっさい
eclectic	取捨選択して作られた,折衷(せっちゅう)の / (学問・芸術上の)折衷主義者
eclectically	取捨選択して,折衷して
eclecticism	折衷主義;折衷派
eclipse	(太陽・月の)食(しょく) / (権力・名声などの)失墜,衰退 / 〈天体が〉〈他の天体〉を食する / …を色をあせさせる
ecliptic	黄道(こうどう)(地球から見た太陽のみかけの軌道) / 黄道の
eclogue	田園詩,牧歌(対話形式の短詩)
ecol.	ecological / ecology
ecological	生態学の
ecologist	生態学者
ecology	生態学(生物と生活環境との関連を研究する学問)
econ.	economic / economics / economy
economic	『経済の』 / 『経済学の』
economic sanction	経済制裁(貿易で相手国に圧力をかける)
economical	(人が)『節約する』,倹約家の / (物事が)経済的な,徳用の
economically	倹約して / 経済的に
economics	《単数扱い》『経済学』 / 《複数扱い》(国・人の)経済状態
economist	経済学者
economize,economise	(…を)節約する,倹約する《+『on』+『名』》 / …を節約する,倹約する
economy	〈U〉(国家・社会などの)『経済』,財政;〈C〉経済組織(機構)
ecosystem	生態系
ecru	=beige
ecstasy	『有頂天』,無我夢中,恍惚(こうこつ)
ecstatic	有頂天の,無我夢中の;(…に)夢中で《+『at』+『名』》
ecstatically	有頂天になって,無我夢中で
ectoplasm	(霊媒の体から出る)心霊体
ecumenical, ecumenical	全キリスト教会の,キリスト教各派の統一を目ざす / 全般的な,普遍的な,世界的な
ecumenicalism	全キリスト教会統一主義,世界教会主義
eczema	湿疹(しっしん)
eddy	うず,(風・霧・煙などの)渦巻き / 渦を巻く
edelweiss	エーデルワイス(アルプス産の高山植物)
edema	浮腫(ふしゅ),水腫
edge	〈C〉『縁』,『端』;(峰などの)背 / 〈C〉(刃物の)『刃』;〈U〉(刃の)鋭利さ / 〈U〉(欲望などの)強さ,激しさ / (…で)…に『へり』(『縁』)『をつける』《+『名』+『with』+『名』》 / 《副詞[句]を伴って》…を徐々に(注意深く)動かす / 〈ナイフなど〉を研ぐ / 〈声・感覚など〉を研ぎ澄ます / (相手)に小差で勝つ / 横ざまに進む / じりじり進む
edgeways	=edgewise
edgewise	刃を先に向けて / へりに沿って
edging	縁どり,縁飾り
edgy	(…で)(人が)いらいらした《+『with』(『about』)+『名』》 / しきりに(…)したがって《+『to』 do》
edibility	食用に適すること
edible	(毒性がなく)食用になる,食べられる / 食料品
edict	勅令,布告
edification	(道徳的・宗教的な)教化,啓発,感化
edifice	(特に堂々とした)大建築物
edify	…を教化する,啓発する
edit	…を編集する / 〈原稿など〉を校訂する,〈本など〉を監修する / (…から)〈文章など〉を削除する《+『名』+『out of』+『名』》
edit.	edited / edition / editor
edition	(刊行物の)『版』;(同じ版で同時に刷った)全発行部数;(同じ版の)1冊(部) / 《修飾語[句]を伴って》(装丁などから見た)…版,体裁
editor	(出版物・映画などの)『編集者』;(新聞などの)主筆,主幹;(雑誌などの)編集長 / (新聞・雑誌などの各部門の)部長
editorial	『社説』,論説(《英》leading article, leader) / 『編集者の』;編集上の / 社説の,論説の
editorialize,editorialise	《米》社説(論説)で論じる / 報道に私見をさしはさむ
editorship	編集者の地位(職)
educ.	education / educational
educate	…を『教育する』,教え込む
educated	『教育』(『教養』)『のある』 / 知識(経験)に基づいた
educated guess	ある程度の情報と自分の専門知識による推測
education	(一般に)『教育』 / (身につけた)教育,教養,知識 / 教育学,教授法
educational	教育の,教育に関する / 教育的な,教育のための
educational television	教育テレビ番組
educationist	=educator
educator	教育者,教師 / 教育学者
educe	(…から)〈隠れた能力など〉を引き出す;(表情などから)〈気持ちなど〉を推し量る《+『名』+『from』+『名』》
eel	ウナギ
eerie,eery	無気味な,気味悪い
eerily	無気味に
eeriness	無気味さ,気味悪さ
efface	(…から)〈文字・記憶など〉を消す,ぬぐい去る《+『名』+『from』+『名』》
effaceable	消すことのできる,削除可能な
effacement	消すこと,削除
effect	〈C〉〈U〉『結果』 / 〈C〉〈U〉(…への)『効果』,効きめ,影響《+『on』(『upon』)+『名』》 / 〈C〉(色・音・形などの)印象,感銘 / 《複数形で》品物;身の回り品;動産,財産 / (結果として)…を『もたらす』;〈目的など〉を果たす,遂行する
effective	『効果的な』,効きめのある / (法律などが)『有効な』,実施されている / 印象深い,感銘的な / 実際に役立つ,実動の
effectual	効果的な,効きめのある / (法律上)有効な
effectuate	…を首尾よく成し遂げる
