effeminacy	めめしさ,柔弱
effeminate	めめしい,柔弱な
effendi	エフェンディ(トルコなどで用いた男性の敬称)
efferent	(血管・導管が)輸出性の,導出性の;(神経が)遠心性の
effervesce	(…で)〈ソーダ水・ビールなどが〉泡立つ《+『with』+『名』》 / (…で)〈人が〉はしゃぐ,活気づく《+『with』+『名』》
effervescence	泡立ち / 興奮,活気
effervescent	泡立つ / はしゃいだ,興奮した,活気づいた
effete	{形} 活力を失った / 衰弱した / 時代遅れの / (けなして)女々しい
efficacious	(特に薬・治療法などが)効きめのある,効果的な
efficacy	(…に対する,における)効きめ,効力《+『against』(『in』)+『名』》
efficiency	『能率』,(仕事をする)『能力』 / (機械の)『効率』
efficiency apartment	簡易アパート(浴室・台所のほか通例家具を備えた一部屋のアパート)
efficient	『能率的な』,効率のいい / 『有能な』,敏腕な
effigy	肖像,像;(憎い人に似せて作った)人形
efflorescence	《文》(花・文明などの)開花,開花期;隆盛期 / (岩石などの)風解;白華(はっか)
efflorescent	《文》開花している / (結晶が)風化性の
effluent	流出物,廃水;(湖・貯水池などからの)放流
effluvium	臭気,悪臭
efflux	(ガス・液体の)流出 / 流出物
effort	〈U〉〈C〉《しばしば複数形で》『努力』,骨折り / 〈C〉努力の成果,労作
effortless	努力をしない,骨を折らない;骨の折れない,容易な
effrontery	(…の)ずうずうしさ,厚かましさ《+『of』+『名』》,(…する)ずうずうしさ《+『to』 do》
effulgence	輝かしさ,光輝
effulgent	さん然と輝く,まばゆいばかりの
effusion	〈U〉流出,噴出;〈C〉流出物(量) / 〈C〉(感情・言葉などの,通例過剰な)吐露,ほとばしり
effusive	むやみに心情を吐露した
egad	やあ,いやはや!
egalitarian	平等主義の / 平等主義者
egalitarianism	平等主義
egg	『卵』,卵細胞 / 鳥の卵;(特に)鶏卵 / 《英話》《形容詞を伴って》(…な)やつ / 《俗》爆弾,手投げ弾 / 〈人〉を扇動(激励)する;〈人〉をそそのかして…させる《+『名』+『on to』 do》
egg custard	エッグカスタード(卵とミルクと砂糖を混ぜあわせた菓子)
egg roll	(中国料理の)春巻き
