embryology	胎生学,発生学
embryonic	=embryo
emcee	=master of ceremonies / …の司会をする / 司会をする
emend	〈原稿〉を校正する,の誤りを正す
emendation	〈U〉(…の)校正《+『of』+『名』》 / 〈C〉《しばしば複数形で》訂正[箇所]
emerald	〈C〉エメラルド(濃緑色の宝石) / 〈U〉エメラルド色,鮮緑色
emerge	(水中・暗やみなどから)『出てくる』,現れる(appear)《+『from』(『out of』)+『名』》 / 〈問題・事実などが〉出てくる / (逆境などから)浮かび上がる《+『from』+『名』》
emergence	出現
emergency	『非常の場合』,緊急の場合
emergent	見えてくる,現れる
emeritus	名誉退職の
emery	金剛砂,エメリー(研磨剤に用いる粒状鉱石)
emetic	催吐剤 / 吐き気を催させる,催吐性の
emigrant	(他国への)『移民』,移住者 / 他国へ移住する,移民の
emigrate	(自国から他国へ)移住する《+『from』+『名』+『to』+『名』》
emigration	(他国への)移住,移住 / 《集合的に》移民,移民団
emigre,émigré	(特に政治的な)亡命者
eminence	〈U〉(地位・名声などの)高いこと;高貴,高名,傑出 / 〈C〉《文》高所,高台,高地 / 〈C〉《Eminence》(カトリック教会で)台下(枢機卿の尊称)
eminent	(地位・身分が)『高い』;著名な;(業績が)『傑作した』
eminent domain	[土地]収用権(国が公共のために私有財産を買い上げること)
eminently	高く;著しく,顕著に
emir	(アラビアの)首長,王族 / エミール(マホメットの子孫の尊称)
emirate	アラビアの首長の権限(身分)
emissary	密使,密偵
emission	〈U〉〈C〉(光・熱・液体などの)放射,放出 / 〈C〉放射物,放出物
emission control	(車・工場からの)排気ガス規制
emissive	{形} 放射に関する・放射性の
emit	〈水・熱・光・音・声など〉を『出す』,『発する』
emitter	放射体 / エミッタ(トランジスターの電極)
emollient	(医薬品などが皮膚を)軟化する,荒れ止めの / (荒れ止めクリームなどの)軟化剤
emolument	俸給,報酬,手当
emote	(芝居・映画のように)大げさに感情を表現する
emotion	『強い感情』,感動,感激 / (喜怒哀楽などの)『感情』,情緒
emotional	『感情の』,情緒の / 『感情的な』,感動しやすい / (またemotive)感情に訴える
emotionalism	感情的で過剰な傾向 / 感情に訴えること
emotionally	感情的に,情緒的に;感情に訴えて
emotive	感動的な,情緒的な
empanel,impanel	〈人名〉を陪審名簿に載せる / 〈陪審員〉を陪審名簿から選ぶ
empathize	(…に)感情移入する《+『with』+『名』》
empathy	(心理学で)感情移入,共感
empennage	(飛行機・飛行船の)尾部
emperor	皇帝;(日本の)天皇
emphasis	(…に対する)『強調』,重要視《+『on』(『upon』)+『名』》 / (音節・語・句などに置く)強勢,強調
emphasize,emphasise	…を『強調する』,重要視する
emphatic	(言動などが)断固たる,強い調子の / 際だった,目立つ / (音節・句などが)強勢のある,強調された
emphatically	断固として / 目立って;強調して
emphysema	気腫(きしゅ),肺気腫
empire	〈C〉『帝国』 / 〈U〉帝権,絶対支配力 / 〈C〉(強大な社会・経済組織としての)…帝国 / 《『the E-』》ナポレオンの帝政期(1804‐15)
empirical	経験を基礎とする,実験に基づいた
empiricism	経験論(知識は経験に基づくという理論)
emplacement	(重砲の)砲床,砲座
emplane	=enplane
