entourage	(重要人物の)取り巻き連
entracte	(芝居などの)幕合い,幕間,中入り / 幕合い音楽;幕間狂言
entrails	内臓,腸
entrain	…を列車に乗せる / 列車に乗る
entrance	〈C〉(建物・場所などの)『入り口』,玄関;(…への)入り口《+『to』+『名』》 / 〈U〉〈C〉(場所・建物・学校・会社などへ)『入ること』,入場《+『to』(『into,on,upon』)+『名』》 / 〈U〉(新しい生活・職務などに)つくこと,入ること《+『on』(『upon, into』)+『名』》 / 〈U〉(…へ)入る権利(資格)《+『to』(『into』)+『名』》 / (…で)〈人〉をうっとりさせる,恍惚(こうこつ)とさせる《+『名』+『with』+『名』》
entrant	(競技などの)参加者《+『for』+『名』》 / (…の)新会員,新入生,新入者,(新しい職務などに)つく人《+『to』(『into』)+『名』》
entrap	…をわなにかける / 〈人〉を計略にかける;〈人〉を欺いて(…)させる《+『名』〈人〉+『into』+『名』(do『ing』)》
entrapment	わなにかけること,陥れること
entreat	〈人〉に『懇願する』,嘆願する / (人に)…を懇願する,嘆願する《+『名』+『of』+『名』〈人〉》
entreatingly	懇願するように,おりいって
entreaty	懇願,嘆願
entrench	…をざんごうに入れる / 《しばしば副詞[句]を伴って》(ざんごうに入れたように)…を安泰[なもの]にする / ざんごうを掘る
entrenched	(権利・信念などが)確固とした / ざんごうで防備された
entrenchment	ざんごう掘り;〈C〉ざんごう
entrepot	貨物の集散地,中央市場 / 倉庫
entrepreneur	企業家 / 興行主(《米》producer)
entresol	(建物の)中二階
entropy	エントロピー(物質の熱力学上の量) / (熱などエネルギーの)拡散,同質化
entrust	(…を)〈人〉に任せる,ゆだねる《+『名』〈人〉+『with』(『to』)+『名』(do『ing』)》 / (人に)〈物事〉を任せる《+『名』+『to』+『名』〈人〉》
entry	〈C〉〈U〉(場所などに)『入ること』,『入場』,登場;(団体・競技などへの)参加,加入(entrance)《+『into』+『名』》 / 〈C〉《おもに米》(…への)入り口(entrance),玄関《+『of』(『to』)+『名』》 / 〈C〉(帳簿・日記・表などの)『記載事項』,項目;(…の)『記入』《+『of』+『名』》 / 〈C〉(競技・コンテストなどの)『参加者』,参加作品《+『for』(『in』)+『名』》 / 〈C〉(辞書などの)見出し語
entry visa	(パスポートに押される)入国ビザ,入国査証
entryway	入り口,玄関
entrée,entree	〈C〉〈U〉(…に)入る権利《+『into』+『名』》 / 〈C〉アントレー(《米》主要料理;《英》(ディナーで)魚と肉の間に出す料理)
entwine	〈つるやひもなどが〉…にからみつく,巻きつく
enumerate	…を列挙する;…を数え上げる
enumeration	〈U〉数え上げること;列挙 / 〈C〉目録,表(list)
enunciate	〈語・音節〉を(明瞭に)発音する / 〈理論・計画など〉をはっきり述べる / (明瞭に)発音する
enunciation	〈U〉発音の仕方,口調 / 〈C〉公表,宣言,言明
enuresis	遺尿(いにょう)症,尿失禁,寝小便
env.	envelope
envelop	(…に)…を包む《+『名』+『in』+『名』》
envelope	『封筒』 / 包むもの
envelopment	包むこと,包囲
envenom	〈特に武器〉に毒を塗る / …を憎しみで満たす
enviable	人をうらやましがらせる
envious	うらやましそうな,ねたましげな
environed	(場所などが)(…で)取り囲まれている《+『by』(『with』)+『名』》
environment	『環境』,周囲の状況;《the~》自然環境
environmental	環境の;自然環境の
environmentalism	環境保護論
environmentalist	環境保護論者
environs	(都市の)近郊,郊外
envisage	〈将来の物・事〉を心に描く,思い浮かべる
envision	=envisage
envoy	使者 / 外交官,外交使節 / 特命全権公使;公使
envoy, envoi	詩の結び句(特にバラード(ballad)の最後の4行)
