equalitarian	平等主義の / 平等主義者
equality	(数量・程度・価値・大きさなどで)『等しいこと』,均等;(特に,権利・責任などにおいて)(…間の…の)『平等』《+『of』+『名』+『between』+『名』》
equalization,equalisation	平等化,均一化
equalize,equalise	…を等しくする,同等にする;…を均一にする;(…に)…を等しくする《+『名』+『with』(『to』)+『名』》
equally	『平等に』,同等に;『均一に』,均等に / 《文を修飾して》同時に
equanimity	(心の)落ち着き,平静,冷静
equate	(…と)…が等しいと見なす,を等しく扱う《+『名』+『with』+『名』》 / (…と)…を等しくする《+『名』+『with(to)』+『名』》 / (数学で)…を等式化する
equation	等式; 方程式
equator	(地球・天体の)『赤道』
equatorial	(地球・天体の)赤道の,赤道上の / 赤道特有の
equerry	(英国王室の)侍従
equestrian	馬術の;馬上の / 騎手;(特に)曲馬師
equiangular	等角の
equidistant	等距離の
equilateral	(三角形が)三辺の等しい
equilibrium	(力・勢力・作用などの)釣り合い,均衡;(心の)平静
equine	馬の;馬のような
equinoctial	春分(秋分)の,昼夜平分の / 春分(秋分)に起こる
equinox	昼夜平分時
equip	(ある目的のために必要な装備などで)〈人〉に『したくさせる』,〈船・軍隊など〉に『装備する』《+『名』+『with』+『名』》,(…に備えて)…にしたくさせる,を装備する《+『名』+『for』+『名』》 / (必要な知識・能力などを)〈人〉に身につけさせる:《『equip』+『名』〈人〉+『with』+『名』+『for』+『名』》…に備えて…を〈人〉に身につけさせる
equipage	〈C〉馬車と従者の一団 / 〈U〉(軍隊・キャンプ用の)装備一式;《古》(一般に)一そろいの物
equipment	《集合的に》『備品』;『装備』,したく / (…を)『装備すること』(している状態)《+『with』+『名』》 / (仕事などに)必要な知識(能力)《+『for』+『名』(do『ing』)》
equipoise	〈U〉釣り合い,均衡 / 〈C〉平衡おもり;対抗勢力
equitable	公平な,公正な,正当な(just)
equitably	公平に,公正に,正当に
equity	〈U〉公平,公正,無私;〈C〉公明正大なもの / 〈U〉衡平法(公平と正義の点において慣習法(common law)の不備を補う英国の法律);(米国の法律で)抵当差額 / 〈U〉普通株主権;《英》《複数形で》固定配分のない株式
equiv.	equivalent
equivalence	(価値・重要性などの)等しいこと,等価,同量 / (原子の)等価;(数学で)等価,同値;(図形の)等積
equivalent	同等の,同量の,同価の / 同等(同価,同量)の物;(文法で)(…の)相当語句《+『for(of)』+『名』》
equivocal	二つの意味(いろいろな意味)に取れる(ambiguous) / 疑わしい(doubtful) / 〈人・行動が〉いかがわしい
equivocate	言葉を濁す,あいまいな言葉を使う
equivocation	どうにも取れる(あいまいな)言葉を使うこと
er	えー,あのー
era	(あるものの存在・でき事などで特徴づけられた)時代 / 紀元 / (地質の時代を表す)代
eradicate	…を根絶する,完全に取り除く
eradication	(犯罪・病気などの)絶滅,根絶
eradicator	根絶するもの;インク消し
erase	(…から)〈文字など〉を『ふいて消す』,削除する,取り消す《+『名』+『from』+『名』》 / …の文字(絵など)を消す / (記憶などから)…を消し去る,ぬぐい去る《+『名』+『from』+『名』》
eraser	『消しゴム』,『黒板ふき』,インク消しなど
erasure	ぬぐい消すこと; / 抹消部分,削除した語句
erbium	エルビウム(希土類元素;化学記号は『Er』)
ere	…の前に / …する前に,しないうちに(before)
erect	『直立した』,まっすぐな(upright) / …を建てる,建設する / …をまっすぐに立てる,直立させる・勃起している
erectile	(特に男性性器が)勃起する,勃起性の
erection	〈U〉建設;設置 / 〈C〉(生理現象)勃起
erectly	直立して,まっすぐに
erectness	直立,垂直性
erelong	まもなく,遠からず
eremite	=hermit
erg	エルグ(エネルギーの単位)
ergo	それ故に,したがって
ergonomics	人体工学〈C〉
ergot	麦角(ばっかく)病(麦角菌によるライ麦など穀物の病気) / 麦角(止血剤・子宮収縮剤用)
ermine	〈C〉白テン,オコジョ(北国地域に住むエゾイタチ) / 〈U〉アーミンの毛皮
erode	〈酸などが〉〈金属類〉を腐食する;〈水滴・雨・波などが〉…を浸食する
erogenous	(体のある部分が)性感を刺激する
erosion	(酸などによる)腐食;(風・水・波・氷河などによる)浸食[作用]
erosive	浸食(腐食)性の
erotic	性愛の;性愛を扱った;好色の
erotica	エロ本,春画
erotically	性愛的に,好色に
eroticism	エロチシズム;色情;好色[的傾向];性的表現
