eschatology	終末論(キリスト教の世界の終りに関する学問)
eschew	〈ある行為・悪癖・食物など〉を避ける,控える,慎む
escort	〈C〉(保護・案内・礼儀のための)『付き添い』,護衛者,(特に,パーティーなどで)女性に付き添う男性;《集合的に》(兵士・軍艦などの)武装護衛隊,(警官の)護衛 / 〈U〉案内;保護,護衛,護送 / (ある場所まで)〈人〉に『付き添って行く』《+『名』〈人〉+『to』+『名』》 / 〈軍艦など〉を護衛する
escort agency	男性同伴者斡旋所(若い男女のつき合い相手を紹介する所)・単なる売春斡旋業者だったりするようです
escritoire	書き物机(writing desk)
escrow	条件付発効証書(不動産譲渡人などが第三者の手に預けておき,一定の条件成就とともに有効となる署名捺印(なついん )証書・契約書など)
escudo	エスクード(ポルトガルの貨幣単位)
escutcheon	紋章の描かれた盾(たて),盾形の紋地
esophagus	食道(《英》oesophagus)
esoteric	(興味・知識などが)少数の人だけの / 難解な / 秘密の
esp.,espec.	especially
espadrille	エスパドリーユ(キャンバス地で底の平らなサンダル)
espalier	果樹だな(格子)(果樹などをからませる)
especial	『特別な』,格別の;特殊な
especially	『特に』,特別に;きわだって
espionage	スパイ行為,スパイ活動
esplanade	(海岸・湖畔などの)遊歩地
espousal	〈U〉〈C〉《文》(主義などの)支持,擁護 / 〈C〉《しばしば複数形で》《古》結婚;(…との)婚約《+『to』+『名』》
espouse	《文》〈主義・説など〉を信奉(擁護)する / 《古》…をめとる
espresso	エスプレッソ(黒くいったコーヒー豆に蒸気を通して作る濃いコーヒー)
esprit	(ひらめく)才気,機知,エスプリ
esprit de corps	団体精神,団結心
espy	〈遠くのもの・隠れたもの・意外なもの〉を見付ける
esquire	〈C〉(中世における)騎士の従者 / 〈C〉《英》郷士(ごうし) / 《E-》…殿,…様
essay	(ある論題・問題に関する)『小論』,評論;『随筆』,エッセイ《+『on』(『upon』)+『名』》 / 《文》試み[ること],企て(attempt) / …を試みる;…しようとする《+『to』 do》
essayist	随筆家
essence	〈U〉(…の)『本質』,真髄《+『of』+『名』》 / 〈U〉〈C〉(植物・薬物などから抽出された)精,エキス《+『of』+『名』》 / 〈U〉香水(perfume) / 〈U〉本質,実在;〈C〉(特に)霊的実在
essential	『絶対必要な』,欠くことのできない / 『本質の』,本質的な / (植物・薬剤などの)エキスの,精の / (…に)不可欠の要素;(…の)主眼点,要点《+『of』+『名』》
essentially	本質的に;本来は / 《否定構文で》必然的には(necessarily)
est.	established / estimate / established / estate / estimate
establish	…を『設立する』,創設する / (ある場所・職業などに,…として)〈人・自分〉を落ち着かせる,安定させる《+『名』+『in』(『as』)+『名』》 / 〈法律など〉を制定する / 〈ある慣習・事実など〉を『確立する』,世に認めさせる / 〈事実など〉を証明する,立証する
established	確立した,定まった;定着した;常設の
establishment	〈U〉(…の)『設立』,設置;確立,樹立;制定;立証《+『of』+『名』》 / 〈U〉(確立された)『制度』,秩序 / 《the E-》『体制』,権力機構;英国国教会 / 〈C〉(土地・家財道具・使用人などを含む)住居,家,世帯 / 〈C〉(公共または私設の)施設,機構(営業所・事業所・店・ホテル・食堂・学校・病院・図書館など);《集合的に》施設(機構)を構成する人々
estaminet	(フランス風の)小食堂,居酒屋,小さなカフェ
estate	〈C〉『地所』;(特に邸宅のある広大な)屋敷(私有地) / 〈U〉『財産』,(特に)遺産 / 〈C〉《英》住宅群,団地(《米》[housing]development) / 〈U〉《文》(生涯のある)時期,年代;(ある時期の)生活状態 / 〈C〉(封建社会での明確に区別された)身分,階級
estate agent	不動産[仲介]業;土地管理人(《米》real estate agent)
estate car	=station wagon
esteem	〈物事〉を『尊重する』,重んじる;(…に対して)〈人〉を尊敬する《+『名』+『for』+『名』》 / 《おもに文》(…と)…を『思う』(consider)《+『名』[+『to be』]+『名』(『形』)〈補〉》 / 尊敬,尊重
ester	エステル(酸とアルコールから水を分離してできる化合物の総称)
esthete	=aesthete
esthetic	=aesthetic
esthetics	=aesthetics
estimable	尊重(尊敬)に価する / 評価できる,見積りできる
estimate	…を『見積る』,概算する / 《副詞[句]を伴って》〈人物・状況など〉を『評価する』・判断する / (…を)見積る《+『for』+『名』》 / 〈C〉(寸法・数量・価値などの)『見積り』,概算,評価[額];見積書《+『of』+『名』》 / 〈U〉〈C〉評価,評定《+『of』+『名』》
estimated	見積りの,概算の
estimation	〈U〉判断;評価;尊重 / 〈C〉〈U〉(特に商業上の)(…の)見積り,概算《+『of』+『名』》
estimator	見積りをする人,評価をする人
estivate	=aestivate
estrange	…との仲を裂く(悪くする);(…から)…を遠ざける《+『名』+『from』+『名』》
estrangement	(…との,…間の)仲たがい《+『with』(『between』)+『名』》;(…からの)疎遠《+『from』+『名』》
estrogen	エストロゲン(動物の雌を発情させる卵胞ホルモン)(《英》oestrogen)
estrous cycle	(雌の)発情期(《英》oestrus cycle)
estuary	(潮のさす大きな川の)河口
et al	〈略〉他(およびその他)/ その他の人々 (ラテン語et aliiの略)
et seq.	and the following…以下参照
eta	エータ(ギリシア語アルファベットの第7字Η,η;英語のE,eに相当)
