eugenicist	〈C〉優生学者
eugenics	優生学
eulogist	賞賛者
eulogistic	(演説・文章が)賞賛の,ほめたたえる
eulogize,eulogise	(演説・文章で)〈人・物〉を賞賛する,ほめたたえる
eulogy	〈C〉賛辞 / 〈U〉賞賛,賛美
eunuch	去勢された男,(特に昔東洋の宮廷やハレムなどに仕えた)宦官(かんがん)
euphemism	〈U〉婉曲(えんきょく)語法,遠回しに言うこと / 〈C〉婉曲語句,遠回しの言い方
euphemistic	婉曲語法の,遠回しの
euphonious	(音・語句・鳴き声などが)響きのいい,耳に快い,音の美しい
euphonium	ユーフォニアム(バリトンチューバに似た大型の金管楽器)
euphony	音調(語調)のよさ,快い(美しい)響き
euphoria	幸福感
euphoric	幸福感を味わう
eureka	分かった,しめた
eurhythmic	調和のとれた / リズム体操の
eurhythmics	リズム体操
europium	ユーロピウム(希土類元素;化学記号は『Eu』)
euthanasia	安楽死術;安楽死
euthenics	環境優生学,生活改善学
eutrophic	(湖が)富栄養の / (動植物の)栄養物が豊かな
evacuate	…を明け渡す,から撤退する / (危険な所から安全な所へ)…を移動させる,疎開させる《+『名』+『from』+『名』+『to』+『名』》 / 《文》…をからにする / 《文》(…から)〈排出物〉を出す,排出する,《+『名』+『from』+『名』》
evacuation	避難,疎開;(軍隊などの)撤退 / 《文》(容器などを)からにすること / 《文》排泄(はいせつ)
evacuee	避難民,疎開者
evade	…をうまく避ける(逃げる)
evaluate	…を評価する,の数量を見積る
evaluation	(物・行為などの)評価;(物の)見積り
evanescence	(物・気持ちなどが)次第に消えていくこと
evanescent	次第に消えていく;消えやすい
evangelic, evangelical	福音[書]の / 福音主義の
evangelicalism	福音主義(儀式や教会よりも罪の自覚とキリストによる神の救いを強調する)
evangelism	福音の伝道 / =evangelicalism
evangelist	〈C〉福音伝道者 / 《E-》四福音書の著者(新約聖書の福音書を書いたMatthew,Mark,Luke,John)
evangelistic	福音伝道者の
evangelize,evangelise	〈人〉をキリスト教に改宗させる / 福音を説く
evaporate	『蒸発する』,蒸発して消える,消散する / …を蒸発させる,蒸気にする
evaporated milk	濃縮無糖牛乳
evaporation	蒸発;(蒸発による)消散
evasion	〈U〉(攻撃などを)逃れること,(責任などの)回避《+『of』+『名』》 / 〈C〉逃げ口上,言い逃れ
evasive	回避する,言い逃れの
eve	(祝祭日の)『前夜』,前日 / 《the~》(重要な事の)直前《+『of』+『名』》
even	『平らな』,平たんな / 『同じ高さの』,同一平面の,平行の / (運動・動作・品質などが)『均一の』,規則的な,一様の,むらのない / (数・量などが)『同じの』,等しい,釣り合のとれた互角の / 『偶数の』 / 公平な,公正な(fair) / 平静な,穏やかな,落ち着いた(calm) / 貸借にない,清算済みの / 端数のない,ちょうどの,きっかりの / 《意味を強めて,不審や意外の念を含み》…『でさえも』,までも / 《比較級の前に用いて》『なおいっそう』,さらに(still,yet) / 《形容詞の前または後の用いて》(…と)すら言える;《古》《時を表す副詞の前に用いて》ちょうど / …を平らにする,ならす / …を釣り合わせる,平均させる《+『up』+『名』,+『名』+『up』》 / …の変動をなくする,を安定させる《+『out』+『名』,+『名』+『out』》 / 夕べ,晩
even chances	=evens
even money	(かけで)五分五分の可能性;(もうけが)とんとん
even number	偶数
even-tempered	穏やかな気質の
evenhanded	公正な,公平な
evening	『夕方』,夕刻,晩(日没から就寝時までの間) / 《文》末期,晩年 / 夜会,夕べ / 夕方の,夕暮れの
evening dress	(またevening gown)〈C〉(長い)婦人用夜会服 / 〈U〉(男女の)夜会服(男性用は通例黒)
evening paper	夕刊[新聞]
evening prayer	=evensong
evening primrose	月見草,宵待草(夜に黄色い花が開く)
evening star	宵の明星(Venus)
evenings	毎夕方
evenly	等しく,平等に / 平らに,なめらかに / 落ち着いて,平静に
evens	(かけで)五分五分の可能性
evensong	(英国国教会の)夕べの祈り,晩祷(ばんとう)
event	(特に重要な)『でき事』,事件;行事 / (スポーツの)『種目』;勝負,試合 / 《文》成り行き,結果
eventful	でき事の多い,多事な / 重大な結果をもたらす
eventide	夕べ,たそがれ
eventual	『結果として起こる』
eventuality	起こりうる事柄,万一の事態
eventuate	(…の)結果になる,結局(…に)なる《+『in』+『名』》
ever	《疑問文・否定文,また比較級・最上級の文で》『かつて』,今まで / 《条件節,または未来時制で》いつか,いずれ / 《疑問詞を強調して》《話》いったい[ぜんたい],どれほど,そもそも / 《肯定文に用いて》いつも,常に,絶えず
everblooming	(花が)一年じゅう咲いている
everglade	(米南部の)沼沢地,低湿地
evergreen	(樹木が)常緑の / 常緑樹
everlasting	《文》『永久に続く』,永遠の / 『長い間続く』;(時に,うんざりするほど)長々しい,度重なる / 永久,永遠 / 《the E-》 神(God)
evermore	常に;永久に
every	《数えられる単数名詞と共に》『すべての』,どの…も / 『毎』…,…ごと[に] / 《数えられる単数名詞と共に》『可能な限りの』,あらゆる
every which way	四方八方に;乱雑に
everybody	『すべての人』,万人,だれもみな
everyday	『毎日の』,日々の / (日曜日などに対して)平日の / 日常の,ありふれた・(つづりに注意:一語です・everyとdayが離れずにくっついています)
everyone	『すべての人』,万人,だれでもみな
everyplace	=everywhere
everything	《単数扱い》 / 『なんでも』,何もかも,万事 / 《補語にのみ用いて》何よりも大切なもの
