fancies	高級な菓子(fancy cakes)
fanciful	空想上の,架空の,実在しない / (デザインなどが)奇抜な,風変わりな / 空想的な,気まぐれな
fancily	装飾的に,高級に
fancy	〈U〉(取りとめのない)『空想』,想像 / 空想したもの,根拠のない考え(意見) / 〈C〉(…に対する)『好み』(liking)《+『for』+『名』(do『ing』)》 / 『装飾的な』,意匠をこらした / 空想に基づく,気まぐれな / 《名詞の前にのみ用いて》(商品が)高級な,特選の,極上の / 《名詞の前にのみ用いて》《話》(値段が)法外な / 高度の技術の(を要する),こみ入った / 《名詞の前にのみ用いて》(動植物が)珍種の / …を『空想する』,想像する(《米》imagine) / …を『好む』 / 《『fancy doing』》…したい気がする / (なんとなく)…と『思う』
fancy dress	(仮装舞踏会などに着る)仮装服
fancy goods	特選品 / 小間物類,装身具類
fancy man	愛人,情夫
fancy woman	愛人,情婦
fancy-free	恋に縛られない;自由奔放な
fancywork	刺しゅう,手芸
fandango	ファンダンゴ(スペインや中南米の軽快な3拍子の踊り;その曲)
fandom	(映画スターなどの)ファン
fanfare	ファンファーレ(儀式などでのトランペットなどの高らかな吹奏) / お祝いの大騒ぎ
fang	(肉食動物の)きば,犬歯 / 蛇の毒牙 / (きばのように)とがった先
fanjet	ファンジェット(燃料節約のためのファンかついたターボジェットエンジン) / ファンジェットエンジンの飛行機
fanlight	(ドアや窓の上にある)小窓,扇窓 / 《英》=transom
fanny	《英俗》女性の性器 / 《米俗》尻
fantail	扇形の尾(部分) / クジャクバト(扇形の尾を持つハト)
fantasia	幻想曲 / 有名な旋律を集めて作った曲
fantasize	空想する / …を空想する,夢見る
fantastic	『異様な』,風変わりな,奇妙な / 『想像上の』,根拠のない / 《話》とてもすばらしい / 法外な,けたはずれの
fantastically	異様に / 空想的に / 《話》とてもすばらしく
fantasy	〈U〉想像,空想 / 〈C〉(実在しない,異様な)心象,イメージ / 〈C〉空想的作品;幻想曲
fanzine	(SF小説や漫画愛好家による)謄写版印刷の雑誌 / ゴシップ雑誌
far	《距離》『遠くに』,遠くへ,はるかに / 《時間》『ずっと後まで(に),ずっと先まで(に)』 / 《程度》《形容詞・副詞[句],およびその比較級を修飾して》『ずっと』,はるかに(much),たいそう / 《おもに文・詩》(場所が)『遠くにある』,遠い / (二つのうち)『遠いほうの』,向こう側の / 長距離(長時間)にわたる / (政治的に)極端な
far-flung	広範囲にわたる
far-gone	(症状などが)手おくれの,進んだ / 酩酊(めいてい)した
far-off	(距離的,時間的に)遠い;昔の
far-out	斬(ざん)新な,奇抜な / とてもよい,抜群な
far-reaching	(影響・効果・範囲が)遠くまで及ぶ
farad	ファラッド(静電気容量の実用単位)
faraday	ファラデー(電気分解に用いられる電気量の単位)
faraway	(距離・時間などが)遠い / (顔つき・目つきなどが)ぼんやりした,夢見るような
farce	笑劇,どたばた喜劇,道化芝居 / 茶番的行為,ばかげた事件
farcical	笑劇の,笑劇的な / 茶番めいた,こっけいな,ばかげた
fare	〈C〉(乗り物の)『料金』,運賃 / 〈C〉(料金を払って乗る乗客) / 〈U〉食物,料理 / 〈人が〉やっていく / 《古・文》《itを主語にして》〈事が〉運ぶ,成り行く
farewell	『さらば』,ごきげんよう(good-by) / 『別れの言葉』 / (…との)別れ,いとまごい《+『to』+『名』》 / 別れの
farfetched	(説明などが)無理な,こじつけの,ありそうもない
farina	穀粉(スープ・プディングなどに用いる)
farinaceous	(食物が)粉製の,でんぷん質の / 粉状の
farm	『農場』,農園(通例住宅・納屋などを伴い,しばしば家畜も飼育される) / (家畜の)『飼育場』,(魚貝の)養殖場 / 〈土地〉を耕作する;〈農場・飼育場〉を経営する
farmer	『農場経営者』,農場主 / 農業労働者,耕作する人
farmer cheese	ファーマーチーズ(全乳で作り,乾燥コテージチーズに似た固型チーズ)
farmhand	作男,農場労働者
farmhouse	農場内の家屋;部場験の住宅
farming	農業
farmland	農地,耕地
farmstead	(土地・建物を含めた)農場
farmyard	農家の庭(農場内の主要な建物の周辺全域をいう)
faro	銀行(賭けカードゲームの一種)
farrago	寄せ集め,ごちゃ混ぜ
farrier	蹄鉄(ていてつ)工,鍛冶屋(blacksmith)
farrow	ひと腹の子豚 / 〈豚が〉子を生む
farseeing	遠くが見える,遠目のきく / 先見の明のある
farsighted	(またおもに《英》longsighted) / 《おもに米》遠視の / 遠くが見える,遠目のきく / 先見の明のある
fart	おならをする / おなら,屁(へ)・いやな奴・愚かな人・むかつく奴・ろくでなし・「old fart」として「糞じじい・糞ばばあ」
farther	(距離的に)『さらに遠く』,もっと先に / (程度が)さらに,それ以上に / (距離的に)『さらに遠い』,もっと先の / (程度が)その上の,それ以上の
farthermost	最も遠い
farthest	(距離的に)『最も遠く』,いちばん離れて / (程度が)最大限に / 最も遠い / 最大限の
farthing	ファージング(英国の青銅貨,4分の1ペニー;1961年に廃止)
farthingale	ファージンゲール(16世紀ごろに用いられたスカートを広げるためのたが骨)
fascia	(髪を束ねる)細ひも / 鼻隠(はなかくし)板(軒先のたる木の木口を隠す板)
fascinate	…を魅惑する,魅了する,うっとりさせる / (恐怖などで)…を動けなくする,すくませる
fascinating	魅惑的な,うっとりさせる
fascination	〈U〉魅惑[すること],うっとりした状態 / 〈C〉引き付ける力
fascism	《しばしばF-》ファシズム(独裁的国家社会主義) / 反動的(全体主義的)政治体制
fascist	《しばしばF-》ファシズム派の人 / 《軽べつして》反動的な意見を持つ人;『全体主義者』
fashion	〈C〉〈U〉(…の)『流行』,はやり《+『for』+『名』(do『ing』)》 / 〈U〉(特に婦人服の)ファション / 《the~》人気のある人(もの) / 〈C〉〈U〉《文》(…の)『方法』,仕方《+『of』+『名』》 / 〈C〉〈U〉(…の)作り(make),様式(style),型(shape)《+『of』+『名』》 / 《古》《集合的に》上流会社[の人々] / (…から)…を作る《+『名』+『from』(『out of』)+『名』》;…を細工して(…を)作る《+『名』+『into』+『名』》
fashion designer	ファッションデザイナー
fashion plate	最新流行の服装図
fashionable	『流行の』,はやりの / 上流[社会]の,上流の(流行の先端を行く)人々が利用する
fast	『速い』,急速な,すばやい,敏速な / (時計が)『進んでいる』 / 『しっかりした』,ぐらつかない / 心の変わらない,忠実な(faithful) / (色が)あせない / 《古》(女性が)身持ちの悪い;《まれに》(生活が)享楽的な / (フイルムが)高感度の,(レンズが)高速撮影用の / 『速く』;すばやく(quickly) / 『しっかりと』,固く(firmly) / 『ぐっすりと』(soundly) / どしどし,ひっきりなしに / 断食(だんじき),絶食 / (宗教的行事としての)断食日,断食期間 / 断食する,絶食する / (…で)精進する《+『on』+『名』》
fast time	=daylight-saving-time
fast-food	(食物が)用意に手間のかからない,立ち食い(持ち帰り)用の
fast-talk	…を言いくるめる,口先うまく欺す
fastback	ファーストバック(流線形の後部[をもった自動車])
fasten	(…に)…を固定する,つなぐ《+『名』+『to』(『on』,『upon』)+『名』》 / …を『締める』 / (…に)〈注意・視線など〉を集中する,じっと向ける《+『名』+『to』(『on』,『upon』)+『名』》 / (…に)〈責任など〉を押しつける《+『名』+『on』(『upon』)+『名』》 / 『締まる』,留まる
fastener	留め具,締め具,ファスナー
fastening	〈U〉締める(留める)こと / 〈C〉締め具,留め具(錠・ボルト・かんぬき・ホックなど)
fastidious	気難しい,えり好みする;潔癖な
fastness	〈U〉しっかりしていること,固定,堅固 / 色があせないこと / 〈C〉要塞(ようさい),とりで
fat	『脂肪』,脂肪分 / (動物の)あぶら身 / (料理用の)油,ヘット / 肥満,太り過ぎ / 『太った』,肥満した / 『脂肪の多い』 / たっぷりとはいった,分厚い / もうかる / (土地が)肥えた / …を太らせる / ふとる,肥える
fat cat	多額の政治献金者;(金で)特権を得ている人,お偉がた
fat farm	減量のための保養地
fatal	『運命の』,宿命的な,避けられない(inevitable) / 『致命的な』,命にかかわる
fatalism	運命論 / なにごとも運命と考えること,締観
fatalist	運命論者
fatalistic	運命論の,運命論を信ずる;運命論的な,締観の
fatality	〈C〉(死傷者や破壊を伴う)災害,災難,不幸なでき事 / 〈C〉不慮の死;(事故などによる)死亡者[数] / 〈C〉〈U〉運命,宿命,必然[性] / 〈U〉(病気などの)致命的であること,不治
fatback	豚のわき腹上部の脂身[肉](通例塩漬けにされる)
fate	〈U〉『運命』,宿命 / 〈U〉(運命として定められた)最期,破滅,(特に)死 / 《the Fates》(ギリシア・ローマ神話の)運命の三女神(Clotho,Lachesis,Atropos) / …を運命づける
fated	宿命の,破滅を運命づけられた,運のつきた
fateful	運命を決する,決定的な / 予言的な(prophetic);不吉な / 致命的な(fatal)
fath.	fathom
fathead	ばか,おろか者
father	〈C〉『父』,父親 / 《one's fathers》(男の)『祖先』,父祖(forefather) / 〈C〉(…の)『創始者』,生みの親,始祖,元祖(founder)《+『of』+『名』》 / 《複数形で》(市町村議会などの)長老,元老 / 《[the] F-,Our F-》神,天帝,造物主 / 《敬称として》神父,教父,…師 / …の父となる / …の父親らしくふるまう / …を創始する(originate)
father figure	(父親のように)頼れる人,年長の相談相手
father-in-law	義理の父,養父,しゅうと
fatherhood	父であること,父の資格
fatherland	祖国,父祖の地
