fatherless	父のない,父親の分からない / 作者不詳の
fatherliness	父親らしさ
fatherly	父としての,父親らしい;父親のように優しい
fathom	ひろ(6フィート;1.83メートル;おもに水深を測るのに用いる) / …の水深を測る / 《通例不定文で》…を十分に理解する,〈人の心など〉を見抜く
fathomless	測れないもど深い,底なしの / 不可解な
fatigue	〈U〉(心身の激しい)『疲労』,疲れ / 〈C〉労働,労役,疲れさせるもの / 〈U〉(軍でのそうじ,料理などの)雑役 / 《複数形で》《米》(軍での)作業服 / …を『疲労させる』
fatigue party	(軍隊の)雑役班,作業班
fatless	(食物が)脂肪の少ない
fatted	(食用にするため動物が)太らされた
fatten	〈特に食肉用の家畜など〉を太らせる / 太る
fatty	脂肪質の,脂肪の多い / でぶ,太っちょ
fatty acid	脂肪酸
fatuity	〈U〉愚かであること・知性の欠如 / 〈C〉愚かな言動・馬鹿げたこと
fatuous	まぬけな,愚鈍な
faubourg	(特にフランスの)郊外,近郊
fauces	口峡(こうきょう)(咽頭に続く口腔奥部)
faucet	(たる・水道の)飲み口,蛇口(じゃぐち),コック
fault	〈C〉『欠点』,短所(defect) / 〈C〉『誤り』,落ち度 / 〈U〉(過失の)『責任』,罪 / 〈C〉断層(地層の食い違い) / 〈C〉フォールト(テニスなどでサーブの失敗) / …のあら捜しをする / あやまちを犯す / 断層を生じる
faultfinder	とがめだてする人,あら捜し屋
faultfinding	あら捜し / あら捜しばかりする
faultily	まずく,不完全に
faultless	過失のない;欠点のない,申し分のない
faulty	欠点(欠陥)のある
faun	フォーン(ローマ神話の林野・牧畜の神で半人半羊の姿をし,みだらな性質をもつといわれる;ギリシア神話ではsatyrと呼ばれる)
fauna	フォーナ,動物相(一地域または一時代の動物群)
faux pas	失策,無礼,不品行
favor,favour	〈C〉『親切な行為』 / 〈U〉『好意』;支持,賛成 / 〈U〉偏愛,えこひいき / 〈C〉(パーティーなどで客に出す)記念品,引出物 / 〈C〉《おもに英》(政党の支持者や試合の応援者のつける)会員章,記章(リボン・バッジなど) / 〈C〉《古》(商業通信文で)書簡 / …に『好意を示す』,賛成する,味方する / …を『ひいきする』,に特に目をかける / …に便宜を与える,有利である,好都合である / 《『favor』+『名』〈人〉+『with』+『名』》《文》(恩恵・好意などを)〈人〉に与える / …を大事に扱う,かばう / 《話》…のように見える,に似る
favorable,favourable	『好意的な』,賛成の / 『有利な』,都合のよい
favorably,favourably	好意的に / 有利に,都合よく
favored,favoured	好意(好感)をもたれている / 恵まれている
favoring,favouring	都合のよい,順調な
favorite son	大統領候補として自州で指名された人,人気候補者
favorite,favourite	『気に入りの』;得意の / 〈C〉(…の)『お気に入り』《+『with』(『of』)+『名』》 / 《the ~》(レースでの)人気選手;(競馬での)人気馬,本命
favoritism,favouritism	えこひいき;情実
favour	=favor
favourable	=favorable
favouritism	=favoritism
fawn	〈C〉(1歳以下の)子ジカ,(特に)黄ジカの1歳児 / 〈U〉淡黄茶色 / 淡黄茶色の / 〈犬が〉(…に)じゃれつく / 〈人が〉(…に)こびへつらう,おもねる
fay	妖精(ようせい)(fairy)
faze	…の心を騒がせる,をあわてさせる,をたじろがせる
fcy.	fancy
fealty	(領主に対する臣下の)忠誠
fear	〈C〉〈U〉『恐れ』,恐怖(dread) / 〈C〉〈U〉『不安』,心配,気づかい(anxiety) / 〈U〉(神に対する)おそれ,崇敬(awe) / …を『恐れる』,こわがる(進行形にできない) / …を『気づかう』,あやぶむ / 《古》〈神など〉を恐れる / 恐れる,こわがる / (…を)気づかう,心配する《+『for』+『名』》
fearful	『恐ろしい』,こわい / 《補語にのみ用いて》心配して,気づかって / 恐ろしがる,心配そうな / 《おもに英話》たいへんな,ひどい
fearless	『恐れを知らない』
fearsome	恐ろしい,ものすごい / 恐れている,びくびくしている
feasibility	実行できること;ありそうなこと,もっともらしさ
feasible	実行できる,可能性のある / もっともらしい,ありそうな
feasibly	実行できるように,うまくいくように
feast	(宗教的な)『祝祭』,祭礼;祭日,祝日 / 祝宴,宴会(banquet);ごちそう / (…の)目や耳を楽しませるもの,(…にとっての)楽しみ《+『for』(『to』)+『名』》 / (…で)…に『ごちそうする』,をもてなす《+名+on(upon)+名》 / 《文》(…で)〈目や耳〉を喜ばせる,楽しませる《+『名』+『on』(『upon』)+『名』》 / 宴を張って〈時〉を過ごす《+『名』+『away』》 / (…の)祝宴に列する,(…を)ごちそうになる《+『on』(『upon』)+『名』》
feat	『手柄』,功績 / 芸当,離れ業
