finis	終[り](本・映画などの最終にしるす語)
finish	…『終える』,済ます / …を食べ尽くす,使い尽くす《+『名』+『off(up)』,+『off(up)』+『名』》 / …『の仕上げをする』,磨きをかける《『名』『off(up)』,+『off(up)』+『名』》 / 《話》〈人〉を参らせる / 〈物事が〉『終わる』;〈人が〉やり終える,終わりにする《+『off』(『up』)》 / (ことの)『最終段階』,結末 / (家具などの)表面,表面の仕上げ(手触り);洗練 / (ニスなど)仕上げの材料 / 死,滅亡
finished	《補語にのみ用いて》仕上がった,完成した / 《名詞の前にのみ用いて》みごとな,申し分ない
finishing school	教養学校(若い女性に社交界での作法を教える私立学校)
finite	限りある,有限の / =finite verb
finite verb	定形動詞(主語の数・人称また時制・法によって形態が制限される動詞;たとえばbe動詞のam,is,are,was,were)
fink	密告者 / ストライキ破り / 卑しい人間,いやなやつ
finnan haddie	くん製のタラ
finny	漁の,魚がたくさんいる / ひれのような,ひれのある
fiord, fjord	フィヨルド(絶壁に深く入込んだ狭い湾でノルウェー海岸に多い)
fir	モミ,モミの木(クリスマスツリーに用いられる) / モミ材
fir tree	=fir
fire	『火』,炎 / 〈C〉『燃えているもの』,炉火,たき火 / 〈C〉〈U〉『火事』,火災 / 〈U〉(火のような)熱情,情熱 / 〈U〉(鉄砲などの)発射,射撃,砲火 / 〈炉など〉に『燃料をくべる』,の火をたく《+『up』+『名,』+『名』+『up』》 / …に『火を付ける』,を燃やす / 〈陶器など〉を焼く,焼いて作る / (…に向けて)〈銃砲など〉を撃つ,〈弾丸・ロケットなど〉を発射する《+『off』+『名』(+『名』+『off』)+『at』+『名』》 / (…で)〈感情など〉を燃え立たせる,〈人〉を興奮させる《+『名』+『with』+『名』》 / 《話》(…)〈石・ボールなど〉を投げつける,〈質問・批評など〉を浴びせる《+『名』+『at』+『名』》 / 《話》(…から)〈人〉を首にする,解雇する(dismiss)《+『名』+『from』+『名』》 / (…に向かって)〈人が〉『発砲する』,〈銃などが〉発射される《+『名』+『at(into,on,upon』)+『名』》
fire alarm	火災警報 / 火災報知機
fire brigade	=fire department
fire control	(軍隊の)射撃管制
fire department	(都市の)消防部,消防署(《英》fire brigade) / 《集合的に》消防部員
fire drill	消防演習;(学校・工場などの)防火(火災避難)訓練
fire engine	消防自動車
fire escape	火災避難装置(避難ばしご,非常階段,滑降機など)
fire extinguisher	=extinguisher
fire hydrant	消火栓
fire irons	炉辺用具(tongs火ばさみ,shovel十能,poker火かきの総称)
fire risk	火災の恐れ,火事の危険
fire screen	(暖炉の前に置く金属製の)火(熱)よけついたて
fire station	消防署
fire tower	(山林の)火の見やぐら
fire truck	=fire engine
fire walking	火渡り(熱い石や灰の上を歩く宗教的儀式)
fire-eater	火を食べて見せる手品師 / すぐかっとなる人,けんか早い人
fire-raising	放火,放火罪
fire-resistant	耐火性の
firearms	火器,(特に)小火器(rifle, pistolなど)
fireball	火の玉 / 流星 / (原子爆弾の爆発の中心の)火球
firebase	砲兵隊基地,発射基地
fireboat	消防艇
firebomb	焼夷(しょうい)弾 / …を焼夷弾攻撃する
firebox	(蒸気・ボイラーなどの)火室
