firsthand	直接の,じかに得た / 直接に,じかに
firstling	〈C〉最初に生まれた子 / 初穂 / 最初の捧げ物 / 最初の成果《文語・古風》
firstly	(事柄を列挙して)第一に,まず第一に
firth	(陸地に細長く込りんだ)河口,入り江
fiscal	国庫の / 財務の,会計の
fiscal year	会計年度(《英》financial year;政府の場合,英国では4月1日,米国では10月1日に始まり,翌年のそれぞれ前日に終わる)
fish	〈C〉『魚』;《集合的に》魚類 / 〈U〉魚肉,魚 / 〈C〉《話》人,やつ / 〈魚〉を『とる』,釣る,捕まえる;〈小川・湖など〉で魚をとる,漁をする / 釣りをする,魚をとる,漁をする
fish hawk	ミサゴ(魚類を捕食するタカの一種)
fish knife	魚肉用[食卓]ナイフ
fish ladder	魚梯(ぎょてい),魚道(魚がダムなどを登れるように作った階段状の水流)
fish slice	《英》(食卓で魚を切り分けるのに使う)魚肉ナイフ / フライ返し,魚返し
fish-and-chips	骨なし魚(主としてタラ)のフライと棒状のポテトフライ
fishbowl	金魚ばち / 人目にさらされる場所
fishcake	魚肉だんご
fisher	《古》漁夫 / 魚を捕食する動物;(特に北米産の)フィッシャーテン
fisherman	『漁夫』,漁師 / (楽しみとして)釣りをする人;釣り人(びと)
fishery	〈U〉漁業,水産業 / 〈C〉漁場;養魚場
fisheye lens	(カメラの魚眼レンズ)
fishgig	(魚を突く)やす
fishhook	釣り針
fishing	〈U〉(職業としての)『魚取り』,漁業 / (スポーツとしての)釣り / 漁場,釣り場
fishing rod	釣りざお
fishing tackle	《集合的に》釣り道具[一式]
fishmonger	魚屋
fishplate	継ぎ目板(鉄道のレールを枕木に固定するための鉄板)
fishwife	魚売り女 / がみがみ女
fishy	うさんくさい・魚のような,魚くさい / (料理が)魚から成る / (湖・川など)魚のたくさんいる / 《話》(話などが)ありそうにない / (目が)どんよりとした,無表情な
fissile	分裂しやすい / 核分裂性の / 分裂性 / 核分裂性
