flaky	薄片[状]の;薄片から成る / 薄くはがれる
flambe,flambé	(料理にブランデーなどをかけて)火をつけてこがした
flambeau	たいまつ
flamboyance	はなやかさ,華麗さ
flamboyancy	=flamboyance
flamboyant	色鮮やかな
flame	〈U〉〈C〉《しばしば複数形で》『炎』 / 〈U〉炎のような輝き;炎色 / 〈C〉《おもに文》(…の)(燃えるような)情熱,激情《+『of』+『名』》 / 『炎をあげて燃える』,燃えさかる《+『up』》 / (炎のように)照り映える《+『up』》 / 〈怒り・情熱などが〉燃え上がる;〈人が〉かっと怒り出す《+『out』(『up, forth』)》
flamenco	フラメンコ(スペインのAndalusia地方のジプシーの踊り) / フラメンコの曲(歌)
flameout	フレームアウト(不完全燃焼などによるジェットエンジンの急な停止)
flamethrower	火炎放射器
flaming	燃えている / 光り輝く;燃えるように赤い;焼けつくような / (人が)情熱に燃える;(感情が)熱烈な
flamingo	ベニヅル,フラミンゴ
flammable	=inflammable 1
flan	フラン(果物・チーズ入りパイ)
flange	フランジ,つば(管の先端などの突出したねじ留め部分) / (車輪の)輪縁(わぶち);(レールなど圧延した金属の)出縁(でぶち)
flank	(人・動物の)横腹;わき腹の[筋]肉 / (建物・山・道路などの)わき,横側,側面 / (軍隊の編隊・配置,要塞の)右翼(または左翼) / …の側面に置く(並べる)
flanker	側面にある物(人) / (米式フットボールで)フランカー(攻撃側の最前線両端の競技者の外側に並ぶ競技者)
flannel	〈U〉フランネル,ネル,フラノ / 《~ s》フランネル製衣類,(特に)ズボン;(ボート・クリケットなどの選手用の)ユニホーム
flannelette	綿ネル(フランネルのように表面がけば立っている)
flap	〈帆・旗などが〉『はためく』 / 『羽ばたく』 / 〈翼など〉を羽ばたかせる,パタパタ(ハタハタ)と動かす / (平たくしなやかなもので)…をぴしゃりと打つ / ぴしゃりとたたくこと / (片方だけ留めて)垂れ下がった薄いもの;(特に)(ポケットの)垂れぶた,(封筒の)折り返し / (飛行機の)下げ翼 / 《話》興奮状態
flapjack	ホットケーキ
flappable	(いざという時に)取り乱す,あわてふためく
flapper	(ピシャリ・パタパタと打つ)薄く平たいもの;(特に)ハエたたき;(からざおの先端についた)打ち板 / おてんば娘,フラッパー(おもに1920年代の服装・行動・道徳観などで従来の慣習を破った若い女性)
flare	(風などで)〈炎が〉ゆらゆら燃える / 〈怒りなどが〉急に燃え上がえる / (らっぱの口のように)外に向かって開く;〈スカートが〉フレアになっている / 〈U〉ぱっと燃え上がる炎(光) / 〈C〉照明装置;照明弾 / 〈C〉《単数形で》(感情などの)ほとばしり.爆発《+『of』+『名』》 / 〈U〉(らっぱの口のような)(…の)末広がり《+『of』+『名』》
flare path	(飛行機の夜間離着陸用の)照明滑走路
flared	(ズボンやスカートが)すその広がった,フレアの
flares	らっぱズボン
flash	(花・炎などの)『ひらめき』,ぴかっと(ぱっと,ちらっと)光ること;閃光(せんこう)《+『of』+『名』》 / (機知などの)『ひらめき』;(喜びなどが)急にわいてくること《+『of』+『名』》 / (写真の)フラッシュ / 瞬間 / ニュース速報,特報 / 『ぱっと光る』,(反射して)きらめく / 〈目などが〉きらりと(ぎらっと)光る / (心に)〈言葉・考えなどが〉『ひらめく』《+『through』(『into, across』)+『名』》 / 《副詞[句]を伴って》〈人・車などが〉さっと通り過ぎる / …をぱっと照らす;〈火・光〉をぱっと発する / …をちらり(ぴかり,ぎらり)とさせる / (…に)〈サイン・視線など〉をすばやく送る,さっと送る《+『名』+『at』+『名』》 / (電信で)…を急送する,速報する / 急で短い,瞬間的な / 《英話》(現代ふうで)気のきいた
flash-forward	(小説・映画などで)未来の場面をだしぬけに捜入する技法;〈C〉その場面
flashback	(映画・小説・劇などの)フラッシュバック(物語の進行途中に過去の回想(事件など)を捜入する手法)
flashbulb	(写真の)閃光(せんこう)電球
flashcard	フラッシュカード(生徒の反応速度を増すために語学・算数などの授業に用いる単語・数字・絵などのカード)
flashcube	フラッシュキューブ(4個の電球が内蔵され連続撮影ができる)
flasher	(信号機や自動車の)点滅器 / 《俗》露出狂
flashflood	鉄砲水(みず)(猛烈な勢いで流れる洪水;集中豪雨などで突発的に起こる)
flashgun	閃光(せんこう)装置(カメラのシャッターを切ると同時にflash bulbを発火させる装置)
flashily	けばけばしく
flashiness	けばけばしさ,安ぴか
flashing	雨押え(建物に雨水が入るのを防ぐため屋根の継ぎ目をおおう金属板)
flashlight	《おもに米》懐中電灯(《英》torch) / =flash bulb / (灯台などの)信号灯
flashpoint	引火点
flashy	うわべだけ輝いている,けばけばしい
flask	(実験用の)フラスコ / (一般に)びん;(特に携帯用の)薄型の小びん
flat	平『平らな』,平たんな / 《補語にのみ用いて》べったりと広がった(横になった) / 薄っぺらな(shallow) / 《名詞の前にのみ用いて》露骨な,あからさまな;(positive) / (料金・価格などが)均一(一律)の(uniform) / たいくつな,おもしろくない,気の抜けた / (発泡飲料が)気の抜けた / 空気のはいっていない,しぼんだ / (絵画で色調が)変化に乏しい,光沢を消した / (音楽で)変音の,半音下がった / 『きっぱりと』 / 正確に,きっかり / 本来の音程より下げて / 『平面』,平たい部分 / 平地,低地;《複数形で》湿地,沼地,浅瀬 / 枠張り物(舞台背景用のベニヤ・布などを張った枠組み) / 《おもに米》空気の抜けたタイヤ;パンク / 半音低い音,変音;変音記号 / =apartment(同一階にある居間・食事部屋・台所・寝室などを含んだ住居)
flat racing	(障害物のない)平地競走
flat rate	均一料金
flat spin	(飛行機の)水平きりもみ / 手に負えない状態,てんてこ舞い
flat-bottomed	(船が)平底の
flat-out	《俗》率直な,徹底的な / 《補語にのみ用いて》《話》(またflat out)へとへとに疲れた / 率直に,あからさまに / 全速力で
flatbed	平台型トラック(運転室が荷台から独立したトラック)
flatboat	(特に川の浅瀬で用いる幅の広い)大型平底船
flatcar	長物車(木材・鋼材などを運ぶ屋根・側面のない貨車)
flatfish	ヒラメ,カレイなどの魚
flatfoot	(複flatfeet)偏平足 / 《俗》(複flatfoots)巡査
flatfooted	偏平足の / 即座の,きっぱりした
flatiron	アイロン,こて
flatlet	小アパート
flatly	きっぱりと,にべもなく / 元気(活気)なく,気が抜けて
flatten	…を平らにする,平らに伸ばす《+『out』+『名』,+『名』+『out』》 / …を半音下げて歌う(演奏する)
flattener	平らにする人(物),打ち倒す人
flatter	(…について)〈人〉に『おせじをいう』《+『名』〈人〉+『about』(『on』)+『名』(do『ing』)》 / 《しばしば受動態で》〈人〉を喜ばせる,得意がらせる / 〈写真・服などが〉…を実物以上によく見せる
flattery	〈U〉へつらう(おせじを言う)こと / 〈C〉(具体的な行為・言葉となった)『おせじ』,へつらい
flattop	〈C〉(1)平らな天面のもの / (2)航空母艦 / (3)平らに刈った髪型
flatulence	腹にガスがたまること,鼓腸 / 誇張,尊大
flatulent	腹にガスのたまった / 大げさな,誇張した
flatus	腸内にたまるガス
flatware	皿類;(特に)銀食器
flaunt	自分を誇示する / 〈旗などが〉へんぽんとひるがえる / …を誇示する,見せびらかす(show off) / 誇示,見せびらかし
flaunter	見せびらかす人,自分を誇示する人
flautist	=flutist
flavor,flavour	(独特の)『風味』,味 / 味つけするもの,調味料 / 特質,味わい / (…で)…に『味をつける』《+『名』+『with』+『名』》
flavoring,flavouring	〈U〉味つけ,調味 / 〈C〉調味料,香料
flavorless,flavourless	風味のない,趣のない
flavorsome,flavoursome	おいしい,風味の豊かな
flaw	(ガラス・陶器などの)割れ目,ひび,傷 / (…の)欠点,欠陥《+『in』+『名』》 / …に傷をつける / 傷ができる
flawless	(宝石などが)傷のない / (演技・演奏などが)完全な(perfect)
flax	亜麻 / 亜麻の繊維(リンネルがつくられる)
flaxen	亜麻でできた / 亜麻色(淡黄色)
flay	〈生き物〉の皮をはぐ / …を厳しくしかる
flea	ノミ
flea market	蚤(のみ)市,ぼろ市・いわゆる「フリーマーケット」です。つづりに注意:「free market」ではありません・「蚤の市」ですから「flea market」ね。
flea-bitten	ノミにくわれた / ノミのたかった;みすぼらしい
fleabag	《まれ》ベッド,寝袋 / 《米》安ホテル / ノミのたかった犬
fleabane	ノミヨケ草
fleabite	ノミに食われた跡 / ノミに食われた程度のこと;ささいなこと
fleapit	みすぼらしい映画館(劇場)
fleck	斑点(はんてん),そばかす(freckle) / (…の)細片,薄片(flake);微量《+『of』+『名』》 / (…で)…に斑点をつける,をまだらにする《+『名』+『with』+『名』》
fled	fleeの過去・過去分詞
fledge	…を羽毛でおおう(飾る);〈矢〉に羽を付ける / (飛べるまで)〈ひな〉を育てる / 〈ひなが〉羽が生えそろう;巣立つ
fledged	羽の生えそろった,飛べるようになった
fledgling,fledgeling	羽の生えそろったばかりのひな鳥 / 青二才,未熟者
flee	(…から)『逃げる』《+『from』+『名』(do『ing』)》 / 《副詞[句]を伴って》すばやく動く(過ぎる) / 〈人・場所など〉から逃げる;〈責任など〉を逃れる,避ける
fleece	(羊などの)毛;羊毛 / 一度に刈り取った1頭分の羊毛 / 〈羊〉の毛を刈る / (…を)〈人〉から巻き上げる《+『名』+『of』+『名』》
fleecy	羊毛でできた;羊毛でおおわれた / 羊毛のような
fleer	(…を)嘲笑する,あざ笑う,ばかにする《+『at』+『名』》
fleet	『艦隊』 / (車・飛行機などの)隊,団《+『of』+『名』》 / 速い(fast, swift) / すばやく動く
fleet admiral	(米国の)海軍元帥
fleeting	速く過ぎてゆく,つかの間の
flesh	(人間・動物の)『肉』 / (魚,時には鳥を除く)食肉(meat) / 肉付き,太りぐあい / (くだもの)果肉;(野菜の)葉肉 / 《the~》(精神・魂に対して)『肉体』,身体 / 《the~》肉欲 / 肉色(ピンクがかった肌色)
flesh fly	ニクバエ(生きた動物の肉に産卵するハエ)
