flesh wound	浅い傷,軽傷
fleshings	(バレリーナ用の)肌色のタイツ,肉じゅばん
fleshly	肉体の(bodily) / 肉欲の(carnal)
fleshpot	歓楽地
fleshy	肉づきのよい,肥えた(plump, fat) / 肉の;肉のような / (果実が)多肉質の,(葉が)厚い
fleurdelis,fleurdelys	イチハツ形の紋章(フランス王家の紋であった) / イチハツ[の花](アヤメ科多年生植物)
flew	flyの過去形
flex	(仕事などを始める準備運動として)〈手足など〉を曲げる,〈筋肉〉を縮める / 電線,電気のコード
flexi time	フレックスタイム(労働時間数だけを決め就業・退社時間は自由な制度)
flexibility	柔軟性,しなやかさ;適応性,融通性
flexible	曲げられる;『曲げやすい』;しなやかな / (人・計画などが)柔軟な,融通のきく
flexure	屈曲,湾曲;ひだ
flibbertigibbet	軽薄な人;おしゃべり女,浮気女・おしゃべりで軽薄な人
flick	軽い一打ち;(指先での)一はじき;(手首などの)す早い一振り / ピシッ(パチッ)という音 / 《the flicks》《俗》映画 / (むちなどで)…をピシッ(パチッ)と打つ《+『名』+『with』+『名』》 / …をはじいて動かす / …をぱっと(さっと)払いのける《+『away』(『off』)+『名,』+『名』+『away』(『off』)》;(…から)…をぱっと払う《+『名』+『off』(『from』)+『名』》
flick-knife	=switchblade
flicker	〈火・炎・光が〉『ゆらめく』,ちらちらする,明滅する / 〈木の葉・影などが〉ゆらゆら動く,ひらひらする / ゆらゆら燃える炎;明滅する光;(木の葉などの)そよぎ / 《a ~》(希望などの)つかの間のひらめき《+『of』+『名』》
flied	fly(野球で「フライを打つ」の意味のとき)の過去・過去分詞
flier, flyer	(昆虫・鳥など)飛ぶもの / 飛行士(aviator) / 快速列車(バス,船) / 《米》ちらし,ビラ
flight	〈U〉『飛ぶこと』;〈C〉飛行;飛行距離 / 〈C〉(飛行機の)定期便,(定期旅客機の)便名(flight number) / 〈C〉《a ~》(鳥・昆虫・飛行機などの)『一団となって飛ぶ群れ』;(矢・弾などの)斉射《+『of』+『名』》 / 〈U〉(時間などが)飛ぶように過ぎること《+『of』+『名』》 / 〈C〉《a ... of stairs》(階と階,または踊り場と踊り場の間の)『一続きの階段』 / 〈C〉(思想・気持ちなどの)飛躍,高揚《+『of』+『名』》 / (…からの)『逃走』;退避;脱出《+『from』+『名』》
flight bag	航空会社名入りカバン
flight deck	(航空母艦の)飛行甲板 / 飛行機の操縦室
flight lieutenant	空軍大尉
flight line	(滑走路以外の)飛行場
flight path	飛行経路
flight sergeant	空軍軍曹
flight strip	緊急用滑走路,不時着陸場
flightless	(鳥が)飛べない
flighty	(女性が)うわついた,軽はずみな,移り気の;ちょっと頭がおかしい
flimflam	〈U〉ごまかし,ぺてん / 〈U〉でらためなこと,たわごと
flimsily	か弱く,薄弱に
flimsiness	ぜい弱,浅薄
flimsy	薄っぺらな,壊れやすい / 説得力のない;見えすいた / タイプ複写用薄紙
flinch	(…から)しりごみする,たじろぐ《+『from』+『名』(do『ing』)》
fling	《副詞[句]を伴って》…を『投げる』,ほうり出す / 《副詞[句]を伴って》〈頭・腕・身体など〉を投げかける,投げるように動かす / (ほうり出すように)急に(荒々しく)動く / (…を)『振って投げること』;振り動かすこと《+『of』+『名』》 / (定期間の)したいほうだい,かって気まま / 身ぶりの活発なスコットランドのダンス
