flysheet	(雨天の時テントの上にかぶせる)補助シート
flyspeck	はえのふん跡 / 小さい点
flyswatter	はえたたき
flytrap	ハエトリグサ(食虫植物のヘイシソウなどの俗称)
flyway	(繁殖地と越冬地の間の)渡り鳥の飛路
flyweight	(ボクシング・レスリングの)フライ級の選手(112ポンド(約50.8キログラム)以下)
flywheel	(回転を助ける)はずみ車
flywhisk	はえ払い(馬の毛で作り,しばしば権威の象徴)
fm.	fathom / from
fn	footnote
fo'c's'le,fo'c'sle	=forecastle
fo.	folio
foal	ウマ科の動物(馬・ロバ・シマウマなど)の子;(特に)ウマ科の動物の1歳未満の子 / 〈雌馬が〉子馬を生む / 〈雌馬が〉〈子馬〉を生む
foam	(液体表面の)『泡』(あわ)[のかたまり] / 《話》=foam rubber / 『泡立つ』 / 泡立って流れる(吹き出る)
foam rubber	フォームラバー(ふとん・クッションなどに使う気泡ゴム)
foamy	泡の;泡のような;泡だらけの
fob	(チョッキ・ズボンにある)時計入れポケット / (しばしば,時計入れポケットから垂らす)時計の小さな鎖(ひも・リボン) / 時計の小鎖の先端に付ける装飾品
fob watch	懐中時計;ファッション時計
focal	焦点の
focal length(distance)	焦点距離
focal plane	(レンズなどの)焦平面,焦点
focal point	焦点 / (活動・興味などの)中心,中心部(地)
foci	focusの複数形
focus	『焦点』 / 焦点距離(focal length) / 焦点整合,ピント / (活動・興味・重要性などの)焦点,中心 / (楕円・放物線・双曲線などの)焦点 / 震源[地] / (…に)〈レンズなど〉の『焦点を合わせる』《+『名』+『on』+『名』》 / (…に)〈注意など〉を集中する《+『名』+『on』+『名』(do『ing』)》 / (…に)〈レンズなどの〉焦点が合う;〈注意などが〉集まる《+『on』+『名』》
fodder	(干し草・わらなどの)家畜の飼料,かいば,まぐさ
foe	敵,かたき;(競技・論争などの)相手,敵対者
foehn,fohn	フェーン(山から吹き下ろす暖かく乾燥した風)
foeman	敵,敵兵
foetal	=fetal
foetus	=fetus
fog	霧,もや / 霧状(の…),(…の)霧《+『of』+『名』》 / (写真のネガの)曇り,かぶり / …を霧(霧状のもの)でおおう / 《話》《受動態で》〈人・頭など〉を混乱させる / 霧(もや,かすみなど)で包まれる(曇る)
fog lamp	濃霧用ライト
fogbank	霧峰(海上に立ちこめた濃霧の層)
fogbound	霧に閉ざされた,霧で運行不能の
fogey	=forgy
foggily	霧がたちこめて,ぼんやりと,あいまいに
fogginess	霧が深いこと,あいまいなこと
foggy	霧の立ちこめた,霧のかかった;(天候が)霧の多い / (像などが)霧がかかったような,ぼんやりした,はっきりしない / (考えなどが)ぼんやりした,漠然とした
foghorn	濃霧号笛,霧笛
fogy	時勢遅れの人,がんこで旧弊な人
fogyish	時代遅れの
foible	(性格上の)ちょっとした欠陥,弱点,欠点,短所
foie gras	フォアグラ(特別に太らせたガチョウの肝臓で珍味)
foil	〈U〉金属の薄片,箔(はく) / 〈C〉(比較・対照により他者の)引き立て役となる人(物)《+『for(to)』+『名』》 / 〈相手・計画など〉の裏をかく,を失敗させる,をくじく(baffle) / フォイル(けがをしないように先に皮のたんぽがつけてあるフェンシング練習用の剣)
foist	(…に)〈偽物など〉を押しつける,つかませる《+『名』+『on(upon)』+『名』》
fol.	folio / followed / following
fold	《副詞[句]を伴って》〈紙など〉を『折る』,折り重ねる / 〈両手など〉を『組む』;〈鳥が〉〈翼〉を畳む / (…に)…を巻き付ける《+『around(about)』+『名』》 / …を抱き締める(embrace) / 《副詞[句]を伴って》〈扇などが〉折り畳める / 《話》〈事業などが〉つぶれる,閉じる《+『up』》 / ひだ / 折り目,畳み目 / (土地の)くぼみ / 起伏 / (家畜,特に羊を入れておく)囲い,おり / 《比喩(ひゆ)的に》キリスト教会
foldaway	折り畳み式の
foldboat	=faltboat
