forefront	最前部,最前線
forego	=forgo
foregoing	前述の,上記の
foregone	foregoの過去分詞 / 前の,以前の,過去の
foregone conclusion	必然的結果,初めから決まっている結論
foreground	(風景・絵画・写真の)前景 / 最前面,最も目立つ位置
forehand	(テニスなどで)フォアハンドの / (テニスなどの)フォアハンドストローク(ラケットなどをにぎった手の側の打球)
forehanded	=forehand 将来に備えた・倹約する・裕福な・暮らし向きのいい・ (テニスなどで)フォアハンドの・前打ちの・倹約な・蓄えのある
forehead	『額』(ひたい),前額部
foreign	『外国の』;外国からの;外国との / 《名詞の前にのみ用いて》異質の,外部からの / 《補語にのみ用いて》(…に)無縁の,(…と)全く異なる《+『to』+『名』》
foreign aid	(大国から発展途上国への)対外援助
foreign exchange	外国為替
foreign minister	外務大臣
foreigner	『外国人』 / 外国から来た物
foreknow	…を予知する,前もって知る
foreknowledge	(…の)予知,先見[の明]《+『of』+『名』》
forelady	=forewoman
foreland	岬
foreleg	(四足動物・昆虫の)前足
forelimb	(四足動物の)前脚,前肢
forelock	前髪
foreman	(工場などの)職長,(建設工事などの)監督 / 陪審長
foremast	前檣(ぜんしょう)
foremost	第一流の,主要な / 第一番に,まっ先に
forename	(姓に対する)名(first name)
forenamed	前に名をあげた,前述の
forenoon	午前
forensic	法廷の,法廷で用いている
foreordain	(神などが)〈人の運命・破滅など〉をあらかじめ定める
forepart	(ある物の)前部;(ある期間の)初めの部分《+『of』+『名』》
forepaw	(犬や猫など爪のある哺(ほ)乳動物の)前足
foreplay	(性行為における)前戯
forequarter	(牛肉などの)半身の前部
forerunner	(…の)先駆者《+『of』+『名』》 / (…の)前触れ,前兆《+『of』+『名』》
foresail	前檣(ぜんしょう)大帆
foresee	…を『予知する』
foreseeable	予知できる,予測できる
foreshadow	…の前触れとなる,をあらかじめ示す
foresheet	《複数形で》船の最前部の空間 / 前檣帆の帆脚索(ほあしづな)
foreshore	前浜(満潮線と干潮線との間の砂浜) / なぎさ,みぎわ
foreshorten	〈物・風景〉を遠近法で描く / 〈物体・風景〉を縮小する
foresight	〈U〉『先見の明』;将来の見通し / 〈C〉(銃の)照星
foreskin	(陰茎の)包皮
forest	〈C〉〈U〉(広い地域にわたる)『森林』,山林 / 〈C〉《通例単数形で》(…の)林《+『of』+『名』》
forest ranger	森林警備隊員
forestall	…を先手を打って防ぐ,の裏をかく;〈人〉の機先を制する
forestation	植林,造林;営林
forester	森林監督官,林務官 / 森林居住者 / 森林労務者
forestry	林学;山林管理[法]
foreswear	=forswear
foretaste	(将来のことを)前もって味わうこと,先取り《+『of』+『名』》
foretell	…と『予言する』,を予告する
forethought	前もっての考慮,将来に対する深慮,用心
foretoken	…の前兆となる,…を予示する(foreshadow)
foretold	foretellの過去・過去分詞
