four-wheel	四輪の,四輪式の
four-wheeler	頭立て四輪馬車
fourfold	4倍の,4重の / 4倍に,4重に
fourpenny	4ペンスの / (くぎが)11/4インチの
fourscore	80の(eighty)
foursome	フォーサム(ゴルフで4人が2組に分かれて行う競技) / 4人組,四つ組
foursquare	(特に建物が)正方形の / 断固たる
fourteen	〈C〉(数の)『14』;14の記号(14,『XIV』など) / 〈U〉(24時間制の)14時,14分;14歳 / 〈U〉《複数扱い》14人,14個 / 〈C〉14(14人,14個)1組のもの / 14の;14個の;14人の / 《補語にのみ用いて》14歳の(で)
fourteenth	《the fourteenth》『第14の』,14番目の / 14分の1の / 《the fourteenth》『第14』;(月の)14日 / 〈C〉14分の1
fourth	《the fourth》『第4の』,4番目の / 4分の1の / 〈U〉《通例the fourth》『第4番目』;(月の)4日 / 〈C〉4分の1 / 〈C〉(音楽で)4度
fourth dimension	第四次元,時間
fourth estate	第四階級(ジャーナリスト,言論人をいう)
fourth-class	第4番目,第4級 / 《米》第四種郵便[物] / 第4番目(第4級)の / 《米》(郵便物が)第四種の
fowl	〈C〉にわとり(鶏)(アヒル・七面鳥など)家で飼う鳥 / 《修飾語を伴って》《集合的に;複数扱い》 / 〈U〉鶏肉,鳥肉
fowling piece	鳥撃ち銃,猟銃
fox	〈C〉『キツネ』,雄ギツネ / 〈U〉キツネの皮 / 〈C〉《話》(キツネのように)こうかつな人,ずるい人 / …を欺く / 〈人〉を当惑させる / 偽る
fox terrier	フォックステリア犬(もと猟犬として用いられたが今は愛がん用)
foxed	(古本などが)黄ばんだ,黄褐色のしみのついた
foxfire	狐火(きつねび)(枯木の菌などから生じる有機発光体) / 狐火を起こす菌類
foxglove	ジギタリス(釣り鐘状の紅紫色または白色の花をつける;葉は強心剤に用いる)
foxhole	(敵の砲火を避けるための)一人(二人)用のざんごう,たこつぼ
foxhound	キツネ狩り用の猟犬
foxhunt	キツネ狩り
foxtrot	フォックストロット(4/4拍子の軽快なダンス;その曲)
foxy	悪賢い,ずるい
foyer	(劇場・ホテルなどの)休憩室,ロビー(lobby) / 《米》玄関の広間
fp.	foolscap / foot-pound / freezing point
fpm	feet per minute
fps	feet per second
fr.	franc / from / fragment
fracas	(通例多人数の)けんか騒ぎ;騒々しい口論
fraction	『破片』,断片;(…の)一部,わずか《+『of』+『名』》 / 『分数』
fractional	断片の;わずかの,取るに足りない / 分数の
fractious	(特に子供・老人・病人が)怒りっぽい,気難しい / (動物が)手に負えない
fracture	〈U〉(特に)骨を折ること;骨を折った状態 / 〈C〉割れ(裂け)目,(鉱物の)破砕面 / 〈足・腕などを〉を骨折する;…を砕く / 骨折する;砕ける
frag	(手投げ弾で)〈気にくわぬ上官〉を粉々にしてやる,襲う
fragile	『壊れやすい』,もろい / (体質が)虚弱な(weak);《おどけて》調子が悪い / (幸福などが)はかない
fragility	壊れやすさ,もろさ;虚弱;はかなさ
fragment	(…の)『破片』,断片《+『of』+『名』》 / (特に詩文などの)未完の部分,断章《+『of』+『名』》 / ばらばらになる,砕ける / …をばらばらに壊す
fragmental	=fragmentary
fragmentary	破片の,かけらの;断片的な
fragmentation	ばらばら(こなごな)になること,分裂
fragrance	〈U〉かぐわしさ / 〈C〉芳香,快いかおり
fragrant	(草花・場所などが)『かおりのよい』,いいかおりのする / 快い,楽しい(delightful)
frail	『もろい』;か弱い;はかない / 意志が弱い,誘惑に負けやすい
frailty	〈U〉もろさ;虚弱,はかなさ / 〈U〉意志の弱さ,誘惑に負やすいこと / 〈C〉(人間的な弱さから生じる)欠点
frame	〈C〉(建造物・機械などの)『骨組み』《+『of』+『名』》 / 〈C〉(戸・窓などの)『枠』;額縁《+『of』+『名』》《複数形で》めがねの枠 / 〈C〉『体格』 / 〈C〉(…の)構造,体制《+『of』+『名』》 / 〈C〉(簡略な)温室,温床 / 〈C〉(ボウリングで)フレーム(10回で1ゲームを構成するその各回);各回の得点を記入する枠 / 〈C〉(映画のフイルムの)一こま / 《修飾語を伴って》《a~》気持ち,気分 / (組み合わせて)…を『形作る』,組み立てる;(ある目的などに合うように)〈人・物〉を作り上げる / 〈考え・構想など〉を心に抱く / 〈絵など〉を枠に入れる,縁どる / 〈言葉など〉を言う / 《話》〈人〉にぬれぎぬを着せる
frame aerial	円状のアンテナ
frame house	(板張りの)木造家屋
frame of reference	準拠体系(個人や集団の価値・概念などの構造)
frame-up	(無実の人を罪に陥れるための)でっちあげ,陰謀
framework	(建物などの)骨組み;(…の)枠組《+『of』+『名』》 / (…の)構成;組織《+『of』+『名』》
franc	フラン(フランス・ベルギー・スイスなどの貨幣単位)
franchise	〈C〉《おもに米》(政府・メーカーが事業を行う個人・団体に与える)(…の)免許,一手販売権《+『of』+『名』》;(する)免許《+『to』do》 / 〈U〉《the~》公民権;(特)に参政権,選挙権 / 〈U〉フランチャイズ[制](プロ野球の球団がある都市に根拠をおいて特別な興行権をもつこと)
franchisee	(製造主から)一手販売権を与えられた人
franchiser,franchisor	一手販売権を持つ業者(会社)
francium	フランシウム(放射性元素;化学記号は『Fr』)
frangible	壊れやすい,折れやすい
frank	『率直な』,隠しだてをしない / 無料郵送の印・無料郵送の特典・無料郵送の郵便物・〈郵便物〉に料金別納郵便の印を押す・〈公的郵便物〉を無料で郵送する / =frankfurter
frankfurter	フランクフルトソーセージ(牛肉または牛肉と豚肉で作る)
frankincense	乳香(古くから祭式などに香料としてたかれた樹脂)
franklin	(14‐15世紀英国中産階級の)自由土地保有者
frankly	『率直に』;あからさまに / 率直に言えば
frantic	(恐怖・喜びなどのために)『気も狂わんばかりの』,狂乱した / 《話》激しい,すごい
frantically	狂気のように,死にもの狂いで
frappe,frappé	(飲物,特にワインが)少し冷えた / フラッペ((1)かき氷にリキュール・ワインなどをかけた飲物(2)果汁をなかば凍らせたもの)
fraternal	(比較変化なし)《名詞の前にのみ用いて》兄弟の,兄弟らしい(brotherly) / 兄弟のような,友愛の(friendly)
fraternal society	友愛(共済)組合(男性会員のみの宗教・慈善活動組織)
