free speech	言論の自由(freedom of speech)
free thought	(宗教上の)自由思想
free throw	(バスケットボールなどの)フリースロー
free trade	自由貿易
free university	自由大学(大学生が非公式に運営し従来の大学にはないコースや方法をとった学校)
free verse	自由詩(伝統的な定型を守らない詩)
free world	自由世界,自由主義諸国(共産主義などの支配を受けない国々)
free-fall, freefall	〈U〉自由落下 / 〈U〉(パラシュートが開く前の)降下
free-floating	(主義・政党に)縛られない;(感情などが)ばく然とした
free-for-all	飛び入り自由の試合(競技,討論)
free-living	(飲んだり食ったりして)好き放題に暮している
free-range	放し飼いの,放し飼いのめんどりの(が産んだ)
freebie, freebee	ただの物,無料入場券
freeboard	乾舷(水面と船の上甲板間の距離) / 喫水標(水中に沈んでいる船体の最上部)
freebooter	略奪者,海賊(pirate)
freeborn	(奴隷(どれい)としてでなく)自由の身に生まれた
freedman	(奴隷(どれい)の身分から解放された)自由民
freedom	〈U〉〈C〉『自由』 / 〈U〉〈C〉(束縛・義務・不安などからの)『解放』,免除《+『from』+『名』》 / 〈U〉自由自在,のびのびしていること〈C〉なれなれしさ,無遠慮 / 《the~》(市民権・会員権などの)権利享有権(権物などへの)出入りの自由,(…の)自由使用権《+『of』+『名』》
freehand	(絵などを)(器具の助けを借りずに)手でかいた / 手がきで / 自由行動(裁量)
freehanded	気前のよい,物惜しみない
freehold	(期限・条件なしの)土地・不動産の自由保有権
freeholder	土地・不動産自由保有権者
freelance	自由契約者(専属でない自由契約の寄稿家・記者・芸術家・俳優など) / 自由契約者として働く / (仕事などが)自由契約の
freelancer	=freelance
freeload	(飲食物などを)人にたかる
freeloader	たかり屋,食客,いそうろう
freely	『自由に』;かってに / 『惜しげなく』,十分に / 率直に;無遠慮に / 自分から進んで
freeman	自由民 / 公民(citizen)
freemasonry	(同じ経験に基づく)相互理解,以心伝心 / 《F-》フリーメーソン主義
freepost	配達された郵便物料金をその会社が支払うという制度
freesia	フリージア(アヤメ科の植物で芳香性の花をつける)
freestanding	(彫刻などが)支えなしに立っている
freestone	種離れのよい果実(ある種のモモ・スモモなど) / 軟石(石目がなく)切り出しやすい岩石 / 種離れのよい
freestyle	(水泳・レスリングの)自由型 / 自由型の
freethinker	自由思想家(既成の考え,特キリスト教会の型にはまった考え方にとらわれない人)
freethinking	(宗教について)自由思想を持った / (宗教的束縛を受けない)自由思想
freeway	(平面交差のない,多車線式の)高速道路
freewheel	(ペダル・エンジンを止めて)惰性で走る / 自由に行動する / (自動車の)自由回転装置,(自転車の)自在輪
freewheeling	(人が)気楽にふるまっている,自由奔放な
freewill	自由意志,任意決定 / 自由意志論 / 自由意志の,自発的な
freeze	『凍る』;冷凍される / 《『it』を主語にして》凍るほど寒い;《it・場所を主語にして》氷が張る / 〈体が〉凍える,《話》冷えきる / (恐怖・ショックなどで)〈体などが〉こわばる,〈態度などが〉ぎごちなくなる;ぞっと(ぎょっと)する;〈気持ちなどが〉冷たくなる,ひんやりする / (霜などで)〈植物が〉枯れる / 〈物〉を『凍らせる』,冷凍する / 〈人〉を『凍えさせる』,凍死させる / …を『ぞっとさせる』;〈体・態度など〉をこわばらせる《+『名』+『up』,+『up』+『名』》 / 〈気持ちなど〉を冷たくする / 〈物価など〉を凍結する / 氷結,凍結状態 / (物価・賃金などの)凍結
freeze-dry	〈食物〉を冷凍乾燥する
freezer	冷凍器,フリーザー,冷凍室,冷凍庫
freezing	凍るように寒い,(雨などが)氷混じりの / 冷凍する / 冷淡な,よそよそしい / 《副詞的に》凍るように
freezing point	氷点(0℃,32°F)
freight	〈U〉貨物運送 / 〈U〉運送料,運賃《米》運賃先払い(《英》carriage forward) / 〈U〉[運送]貨物,積み荷 / (また『freight train』)〈C〉《米》貨物列車(《英》goods train) / 〈船・貨車〉に(…の)貨物を積む《+『名』+『with』+『名』》 / (貨物として)…を運送する
freight car	貨車
freight train	貨物列車
freighter	貨物船;貨物輸送機 / 貨物運送業者
freightliner	大型貨物(コンテナ)列車
frenetic	逆上した;熱狂した
frenetically	逆上して;熱狂的に
frenzied	逆上した,血迷った(frantic)
frenzy	狂乱,逆上,激しい興奮,熱狂
frequency	〈U〉しばしば起こること,頻繁 / 〈C〉頻度数,(発生・生現などの)回数 / 〈C〉振動数;周波数
frequency modulation	周波数変調(放送),FM放送(《略》『FM』)
frequent	『しばしば起こる』,頻繁な / 『常習的な』 / に『しばしば行く』,常に出入りする
frequently	『しばしば』,たびたび
fresco	〈U〉フレスコ画法(塗りたてのしっくい壁面に水彩で描く画法) / 〈C〉フレスコ壁画
fresh	『新鮮な』,生きのいい / 『はつらつとした』,若々しい / (印象・色などが)『鮮やかな』,薄れていない;(色が)塗りたての / これまでになかった,初めての;新規の新たな / 新米の,未熟な / (空気が)さわやかな,涼しい / (風が)やや強い / (水が)塩けのない;飲用できる / 《米話》(特に異性に対して)なれなれしい,ずうずうしい《+『with』(『to』)+『名』》 / 新たに,新しく
freshen	新しくなる;生き生きする / (風が)強くなる
fresher	=freshman
freshet	(降雨・雪解けのための)出水 / (海に注ぐ)淡水の流れ
freshly	新たに,新しく(newly) / 新鮮に,すがすがしく
freshman	(高校・大学の)新入生,1年生
freshness	新しさ,新鮮;すがすがしさ;鮮明;生き生きしていること
freshwater	淡水の,淡水性の;淡水産の
fret	(…のことで)『いらいらする』 / 〈人・人の心〉を『悩ます』 / 〈さび・水などが〉〈物〉を浸食する;〈虫などが〉〈物〉に食い込んで穴をあける / いらだち,焦り;苦労,苦悩 / 雷文(らいもん),まんじ模様 / …を雷文(まんじ模修)で飾る / (ギター・マンドリンなどの)フレット(指押さえの区切り)
fretful	いらだつ,いらいらする
fretsaw	(くり抜き細工用)糸のこ
fretwork	(雷文などの)透かし彫り細工[術]
friable	(岩などが)砕けやすい,もろい
friar	(カトリック托鉢(たくはつ)修道会の)修道士
friary	(托鉢(たくはつ)修道士の)修道院
fricassee	フリカッセ(鳥・子牛・ウサギなどのこま切れ肉を用いた汁の少ないシチュー) / 〈肉〉をフリカッセにする
fricative	〈C〉摩擦音(言語学) / 摩擦子音([f][v][θ][ð][s][z][ʃ][ʒ][h]) / {形} 摩擦音の
friction	〈U〉摩擦,こすること / 〈U〉〈C〉衝突,不和
friction tape	(裸電線に巻く)絶縁テープ
frictional	摩擦の,摩擦によって起こる
fridge	(おもに家庭用の)冷蔵庫(refrigerator)
fried	fryの過去・過去分詞 / 油で焼いた(揚げた)
fried cake	揚げ菓子(ドーナツなど)
friend	〈C〉友人,友だち / 〈C〉味方,支持者 / 〈C〉役に立つもの / 〈C〉《F-》フレンド派(Society of Friends)の人,クエーカー教徒(Quaker) / 《丁重な呼びかけ》友よ
friendless	友のない
friendliness	友人らしさ,仲の良さ;優しさ,親切;親善,友好
friendly	好意的な,友情のこもった,親切な / 友好的,仲の良い / 役に立つ;受け入れる / 親善試合
friendly society	(特に労働者の)共済組合
friendship	〈U〉友情,親交 / 〈C〉友情の具体例や関係
frier	=fryer
frieze	(彫刻で装飾した)小壁
frigate	フリゲート艦(対潜水艦用小型駆逐艦) / (昔の)木造の快速帆船(今日の巡洋艦に当たる軍船)
frigate bird	軍艦鳥(熱帯産の海鳥)
fright	〈U〉〈C〉(突然の激しい)恐怖,驚き / 〈C〉《話》ぞっとするほど醜い(異様な)人(物)
frighten	(突然)…をひどく驚かせる,おびえさせる / ひどく怖がる,おびえる
frightening	ぎょっとさせる,恐ろしい
frightful	ぎょっとするような,恐ろしい / 《英話》不愉快な,いやな / 《話》非常な,ひどい
frightfully	ぎょっとするほど,恐ろしく / (英話)ひどく,非常に
frightfulness	ぎょっとするようなこと,恐ろしさ
frigid	寒さの厳しい,極寒の / 冷淡な;形式的な(formal) / (女性が)性的不感症の
frigidity	厳寒 / 冷淡
