ft-lb	foot-pound, foot-pounds
ft.	foot / feet
fuchsia	フクシャ(釣り鐘状の桃色,赤,紫の花を咲かせる観賞植物) / 赤紫色の
fuck	性交する / [男性が]…と性交する / 性交 / 性交するためだけの女 / いらいらする時などに発する強勢語
fucker	(特に男の)ばか者,とんま
fucking	いらいらした時などに用いる強勢語
fuddle	(ウイスキーなどで)〈人,人の意識〉をもうろうとさせる / 意識がもうろうとすること,思考の混乱
fuddy-duddy	時代遅れの人,古くさい人
fudge	ファッジ(砂糖・ミルク・バター・チョコレートに香料を入れて柔らかに固めて作ったキャンデー) / (…について)煮えきらない態度をとる《+『on』+『名』》 / …をごちゃまぜにする
fuel	〈U〉『燃料』;〈C〉(特定の種類の)燃料 / 〈U〉(感情などを)たきつけるもの《+『to』(『for』)+『名』》 / 〈炉・船など〉に燃料を供給する / 〈船・飛行機などが〉燃料を補給する《+『up』》
fuel injection	燃料噴射
fuel injector	燃料噴射装置
fug	よどんだ空気,むっとする空気,人いきれ
fugitive	(…からの)逃亡者,脱走者,亡命者《+『from』+『名』》 / 逃亡した / 《文》(考え・色などが)変わりやすい;(草花・幸福などが)はかない
fugue	フーガ,遁走(とんそう)曲
fulcrum	(てこの)支点,てこ台 / 支えとなるもの
fulfill,fulfil	〈命令・約束など〉を『果たす』,実行する / 〈要求・希望など〉を満たす,かなえる / 〈期限・仕事など〉を完了する,終える(finish)
fulfillment,fulfilment	(義務・約束などの)遂行;(夢・希望などの)実現《+『of』+『名』》
full	『いっぱいの』,満ちた / (数量が)『たくさんある』,たっぷりある / (程度・量・数などが)『完全な』 / 《名詞の前にのみ用いて》最大限の / 《名詞の前にのみ用いて》正式の,本格的な / 《補語にのみ用いて》(…で)(腹・胸・頭が)いっぱいの(で)《+『of』+『名』》 / (形・体の一部が)ふっくらした,盛り上がった / (衣服などが)ゆったりしている / 《名詞の前にのみ用いて》(声・におい・色が)豊かな,濃い / まともに / 非常に(very) / 全部;十分;絶頂
full board	(ホテルなどの)食事つき,まかないつき
full circle	一巡して,ひとりめぐりして
full dress	正装,夜会服
full house	(映画・演劇などの興行が)大入り満員 / フルハウス(ポーカーで同種の札3枚と同点数の札2枚からなる手;=full hand)
full moon	《the ~;時にa ~》満月 / 満月時
full pitch	=full toss
full stop	=period / 7
full tilt	全力を傾けて,全速力で
full toss	(クリケットなどの)フルトス(ねらった地点へ地面に触れないように打つこと)
full-blooded	純血の,純粋の / (顔などが)元気な;(文体などが)力強い
full-blown	(花が)満開の / 十分に発達した
full-bodied	(味)こくのある
full-dress	正装の
full-face	正面を向いた(向いて)
full-fashioned	(ニット服などが)体の線にぴったりした
full-fledged	(鳥が)羽の生えそろった,飛べる;(人が)一人前の,十分訓練を積んだ(《英》full-fledged)
full-grown	十分に成長した(《英》fully-grown)
full-hearted	=whole-hearted
full-length	(肖像画・彫刻・鏡などが)等身大の / (小説・映画などが)省略していない,完全な
full-page	(新聞などで)全面の,一面全部の
full-scale	実物大の / 《名詞の前にのみ用いて》全面的
full-throated	大声の,ありったけの声をふりしぼった
fullback	(フットボールなどの)フルバック,後衛
fuller	(毛織物などの)縮絨(しゅくじゅう)工(業者)
fullers earth	フーラー土(かつては織物の油おとしに,現在は油の処理剤として用いる)
fullness	満ちていること,充足,十分 / (顔・唇などの)ふくよかさ
fulltime	(フットボールなどの)時間切れ,試合終了 / 全時間勤務する,専任の,常勤の
fully	『十分に』,完全に / まるまる
fully-fashioned	=full-fashioned
fully-fledged	=full-fledged
fully-grown	=full-grown
fulmar	フルマカモメ(寒い北の海に住む海鳥)
fulminate	(…を)声高に激しく非難する,(…に)大声で強く抗議する《+『against』(『at』)+『名』》 / (突然勢いよく)爆発する
fulmination	〈U〉激しい抗議,強い非難 / 〈C〉叱責の言葉
fulsome	(お世辞・追従が)度を過ぎている,鼻につく,いやらしい
fumarole	(火山の)噴気孔
fumble	(…を)不器用に手で捜す,手探りする《+『about』(『around』)『for』+『名』》 / (…を)不器用に(ぼんやりと)いじる《+『with』(『at』)+『名』》 / (つかもうとして)ボールを落とす,ファンブルする / …を不器用に取り扱う / 〈ボール〉を落とす,ファンブルする
fumbler	手探りする人,不器用にいじり回す人 / (球技などで)ファンブルする人,つかみそこねる人
fume	(悪臭を放つ)煙,ガス,蒸気 / 〈煙・ガス蒸気が〉出る,煙る / 怒る,いらだつ
fumigant	燻蒸(くんじょう)剤(消毒・殺虫剤用の化合物)
fumigate	(殺虫・殺菌のために)…をいぶす,いぶしい消毒する
fumigation	(部屋などを)いぶして消毒すること
fumy	煙を出す,蒸気の多い
fun	『楽しみ』,慰み / 戯れ,ふざけ / 愉快な気持ちにさせるもの(人)
function	(人・物の果たすべき)『働き』,機能,役目;《しばしば複数形で》職務 / (公式の)儀式,《話》大きな催し(集まり),式典 / (数学で)関数 / 〈機械などが〉『機能を果たす』,動く / (…の)役目をする,代用となる《+『as』+『名』》
function word	機能語(文法的な関係を示す助動詞,前置詞,接続詞,冠詞など)
functional	『機能上の』 / (余分なものが無く)機能的な,実用的な / (数学で)関数の
functionalism	(建築などにおける)機能主義(美観のみならず機能本位の建物を作るべきだという考え)
functionalist	機能主義者 / 機能主義の
functionary	小役人
fund	(特定の目的のための)『資金』,基金《+『for』+『名』》 / 《a ~》(すぐに役立つ知識などの)『蓄え』,蓄積(stock)《+『of』+『名』》 / 《複数形で》手元資金,所持金;《英》公債,国債 / 〈事業・研究など〉に資金を提供する / 〈負債〉を長期公債にする
