fur seal	オットセイ
furbelow	(婦人服の)花づな状のすそひだ / 《軽べつして》けばけばしい装飾,よけいな飾り
furbish	〈剣など〉を研ぐ,〈銀器など〉を磨く《+『up』+『名,』+『名』+『up』》 / 〈長い間放置していたもの〉を一新する,に磨きをかける《+『up』+『名,』+『名』+『up』》
furcula	叉骨(さこつ)(鳥に二またに分かれた鎖骨)
furious	(人が)『怒り狂った』 / (風・スピードなどが)すさまじい,猛烈な
furiously	怒り狂って,激怒して
furl	〈旗・帆など〉を巻く;〈傘・扇子・翼など〉を畳む / 巻かれる,畳まれる
furlong	ファーロング(長さの単位;8分の1マイル;約201m)
furlough	(兵士や外国駐在公務員などに与えられる)休暇
furnace	(スチームの)暖房炉 / 溶鉱炉,かまど
furnish	〈家・部屋など〉に『家具を備え付ける』;(家具を)〈家・部屋など〉に備え付ける《+『名』+『with』+『名』》 / 《文》〈必要なもの〉を『供給する』,『提供する』;(…を)〈人など〉に供給する《+『名』〈人〉+『with』+『名』》;(人などに)…を供給する《+『名』+『to』+『名』〈人〉》
furnished	家具付きの
furnishings	家具調度品 / 《米》服飾品
furniture	(特にテーブル・いす・ベッドなどの動かせる)『家具』・(集合的) 家具 (a piece of ～ 家具一点); 備品; 調度.
furor	(怒り・反対・熱狂などで生じた)興奮状態,大騒ぎ
furrier	毛皮商人,毛皮加工製造業者
furring	下地付け(補強のため壁などに取りつける木材や金属)
furrow	(うねの間の)溝 / (車輪の)わだち / (額などの)深いしわ / (すきで)…にうねを立てる / 〈顔・額など〉にしわを寄せる
furry	毛[皮]の / 毛で覆われた
further	(距離が)『もっと遠い』,さらに先の / (時間・数量・程度などが)『もっと進んだ』,それ以上の / (距離が)『さらに遠く』,もっと先に / (時間・数量・程度などが)『もっと進んで』,なおその上に / 『その上』,さらにまた(besides) / …を進める,助長する,促進する(promote)
further education	=adult education
furtherance	(企画・運動・主義などの)推進,促進,助長
furthermore	なお,その上に(besides),さらに(moreover)
furthermost	最も遠い(farthest, furthest)
furthest	(farの最上級)=farthest
furtive	(動作が)ひそかな,人目を忍んだ
fury	〈C〉〈U〉(抑えきれないほどの)『激しい怒り』,激怒 / 《単数形で》(天候・戦争・病気などが)激しく荒れ狂うこと,猛威 / 〈C〉《話》激しい気性の人(特に女性) / 《F-》復しゅうの女神の一人
furze	ハリエニシダ(《英》gorse)
fuse	ヒューズ / (またfuze)(爆発物などの)信管,導火線 / (熱で)〈金属など〉を溶かす,融合する / 〈金属などが〉溶ける;(…と)溶け合う / 《比喩(ひゆ)的に》(…と)融和する《+『with』+『名』》;溶け合って(…に)なる《+『into』+『名』》
fuse wire	ヒューズ用の針金
fused	ヒューズのついた
fusee,fuzee	マッチ / 鉄道の発炎警報器 / =fuse2
fusel oil	フーゼル油(ニスの原料に用いる無色のアルコール混合物)
fuselage	(飛行機の)胴体,機体
fusilier	フュージリア(伝統ある英国歩兵連隊の兵士)
fusillade	(銃の)一斉射撃,連続射撃 / (質問・批評・攻撃・雨などの)続いて起こるもの《+『of』+『名』》
fusion	〈U〉(金属などが)溶けること,融解,融合《+『of』+『名』》 / 〈C〉融合物 / 〈C〉(政党・党派などの)連合,合同;(民族などの)融合《+『of』+『名』》 / 〈U〉〈C〉核融合(nuclear fusion)
fusion bomb	=hydrogen bomb
fuss	(つまらないことに)『騒ぎたてること』,やきもきすること《+『about』(『over』)+『名』》 / (ささいなことについての)『言い合い』,言い争い《+『about』+『名』(『wh-節』)》 / ぶつぶつ文句を言うこと / (しなくてもいいのに)(…を)騒ぎ立てる,(…に)やきもきする《+『about』(『over』)+『名』》 / (ささいなことで)(人と)言い争う《+『with』+『名』》 / …に気をもませる
fussbudget	=fusspot
fussily	口やかましく
fussiness	小うるさいこと,口やかましさ
fusspot	から騒ぎする人,口やかまし屋
fussy	小うるさい,口やかましい / (仕草などが)気が抜けない,細心の注意を要する / (文章・衣服などが)凝った,念入りな
fustian	ファスチアン(昔のじょうぶなあや織り綿(麻)布) / 《軽べつして》大げさな言葉,大言壮語
fustiness	かび臭さ,むっとすること
fusty	(部屋・着物などが)かび臭い,むっとする / (考え方などが)古風な,古くさい
futile	(努力などが)むだな,むなしい / (人が)軽薄な,くだらない
futility	〈U〉むだ,無益 / 〈C〉《軽べつして》むだなもの
future	〈U〉〈C〉『未来』,将来 / 〈C〉将来の可能性,(有望な)将来性 / 《the ~》(文法で)未来時制,未来形 / 《複数形で》先物[契約] / 『未来の』,将来 / (文法で)未来の,未来形の
future perfect tense	(文法で)未来完了時制
future shock	進歩する社会について行けないこと[米国の作家A.Tofflerの新造語]
future tense	(文法で)未来時制
futureless	望みのない,将来性のない
futurism	(芸術の)未来派
futurist	未来派の人(芸術家) / 未来派の
futuristic	進んだ,時代に先がけた / 《話》《しばしば軽べつして》奇抜な,今までにない / 未来派の,未来派的な
futurity	〈U〉未来 / 〈C〉《しばしば複数形で》未来のでき事
futurology	未来学
fuze	=fuse2
fuzee	=fusee
fuzz	《話》ふわふわした物,綿ぼこり,綿毛 / 《時にa ~》《話》うぶ毛 / 《米俗》交番,警察
fuzzy	毛羽立った / 薄毛のような / はっきりしない,ぼやけた
fwd.	forward
