G clef	(音楽の)ト音記号
G,g	〈C〉英語アルファベットの第7字 / 〈U〉(音階の)ト音,ト調 / 〈U〉重力の加速度 / 〈U〉《G-》《米俗》1,000ドル
G-Spot	Gスポット(ドイツの医師Grafenbergが女性の膣内に発見した性感スポット)
G-man	連邦検察局(FBI)の刑事,秘密警察員,ジーメン[Government man]
G-suit	重力服(加速度の影響を防ぐ服)
G.	German / Gulf
G.A.	General Assembly 国連総会 / general average(海上保険の)共同海損
G.A.W.	guaranteed annual wage 年間保証賃金
G.B.GB	Great Britain
G.C.T.	Greenwich Civil Time
G.M.	General Manager / guided missile
G.O.P.,GOP	Grand Old Party米国共和党
G.T.	gross ton総トン,英トン
GA	General Admiral / (またGa)Georgia
GA,Ga.	Georgia
GATT	General Agreement on Tariffs and Tradeガット(関税ならびに貿易に関する一般協定;1947年Genevaで調印1948年発効)
GCA	ground-controlled approach地上からの誘導着陸[装置]
GCE	General Certificate of Education《英》中等学校終了資格試験
GDP	Gross Domestic Product国内総生産
GHQ	General Headquarters 総司令部
GI	アメリカ兵[Government Issue(政府支給)の略]・官給の,軍隊式の
GK.	Greek
GLC	Greater London Council 大ロンドン市会
GMT,G.M.T.	Greenwich Mean Time グリニッジ標準時
GNP	Gross National Product国民総生産
GP	general practitioner一般開業医
GPO	general post office《米》郵便本局
GSA	Girl Scouts of America / General Services Administration総合調達局
Ga	galliumの化学記号
Gabon	ガボン(アフリカ南西部の共和国;旧フランス領赤道アフリカ)
Gabriel	天使ガブリエル(処女マリアにキリストの降誕を予告した)
Gad,gad	とんでもない,ちぇっ[godの変形]
Gael	ゲール人(アイルランド・スコットランド・マン島のケルト系住民;特にスコットランド高地人)
Gaelic	ゲール人の;ゲール語の / ゲール語
Galahad	ガラハッド(アーサー王伝説中の円卓の騎士中最も高潔の士) / 〈C〉高潔な人
Galilee	ガリラヤ(Palestineの最北端の地域で,キリストの生地Nazarethを含む) / (the Sea of Galilee)ガリラヤ湖
Galileo	ガリレオ(Galileo Galilei;1564‐1642;地動説を唱えたイタリアの物理学・天文学者)
Gallic	ゴール(Gaul)の;ゴール人の / 《通例おどけて》フランスの(French)
Gallipoli	ガリポリ半島(ダーダネルス海峡とエーゲ海に挾まれた半島)
Gallup poll	ギャラップ[世論]調査[米国統計学者G.H.Gallupにちなむ]
Gama	バスコ・ダ・ガマ(Vasco da Gama;1460‐1524;ポルトガルの航海家;アフリカ大陸を回ってインドに至る航路の発見者)
Gambia	ガンビア(アフリカ西部にある共和国)
Gandhi	ガンジー(Mohandas Karamchand~;1869‐1948;インド独立運動指導者;Mahatma Gandhi(偉大なる魂ガンジー)とも呼ばれる)
Ganges	ガンジス川(インドの北東部を通りベンガル湾に注ぐ大河)
Garden of Eden	=Eden
Gaul	〈U〉ガリア(古代ローマ時代の地域名。現在のフランス、ベルギー、スイス西部などを含む)/〈C〉ガリア人(古代ガリアに住んでいたケルト系民族)
Ge	germaniumの化学記号
Geiger counter	ガイガー計数管,放射能測定器
Gemini	(星座の)双子座
Gen.	General / Genesis
General Assembly	国連総会 / (米国の)州議会(《略》G.A.)
Geneva	ジュネーブ(スイスの都市)
Genghis Khan	ジンギスカン(1162?‐1227;モンゴル帝国の創設者)
Genl.	General将軍
Genoa	ジェノバ(イタリア北西部の商港;イタリア名Geneva)
Gents	男性用公衆便所(《米》men's room)
George	聖ジョージ(Saint(St.)~;英国の伝説的英雄;Englandの守護聖者) / 6人の英国王の名(George1世からGeorge6世まで)
Georgia	ジョージア州(米国南東部の州;州都はAtlanta;《略》Ga.,GA)
Georgian	(英国の)George王朝時代の(George1世から4世(1714‐1830)またはGeorge5世(1910‐1936),George6世(1936‐1952)の時代) / (米国の)Georgia州の / ジョージ王朝時代の人(特に作家) / (米国の)Georgia州の人
Ger.	German / Germany
German	『ドイツの』;『ドイツ人の』;ドイツ語の / 〈C〉『ドイツ人』 / 〈U〉《無冠詞で》『ドイツ語』
German measles	風疹(ふうしん)
German shepherd	ドイツシェパード犬(警察犬に使う)(《英》Alsatian)
Germanic	ゲルマン(チュートン)民族の,ゲルマン(チュートン)語の / ドイツ語の / ゲルマン語派の / ゲルマン語(英語・ドイツ語・オランダ語・スカンジナビア諸国語など)
Germany	『ドイツ』(第二次世界大戦後1949年東西両ドイツに分割された)
Gestapo	ゲシュタポ(ナチスドイツの秘密警察)
Gethsemane	ゲッセマネ(Jerusalem東方,キリストが捕らえられた場所;新約聖書「マタイによる福音書」) / 《g-》〈C〉苦難,苦難の時(場所)
Gettysburg	ゲティスバーグ(米国Pennsylvania州の都市;南北戦争の激戦地)
Gettysburg address	1863年南北戦争の戦死者をGettysburgの国立墓地に葬ったときのAbraham Lincolnの演説
Ghana	ガーナ(西部アフリカの共和国;首都はAccra)
Gila monster	アメリカドクトカゲ(米国南西部産)
Girl Guides	=Girl Scouts
Girl Scouts	ガールスカウト
Giza	ギザ(エジプトCairo付近の町;近くにthe Great Pyramidとthe Great Sphinxがある)
Gladstone bag	まん中で二つに開く小型の旅行かばん
Glasgow	グラスゴー(Scotland南西部の港市)
Glorious Revolution	名誉革命(1688‐89)
Gmc,Gmc.	Germanic
Gobi	(モンゴル地方の)ゴビ砂漠
God Save the Queen	英国国歌(Kingの統治の場合God Save the King)
God-fearing	神を恐れる;信仰深い
Godspeed	成功,幸運(good luck)
Goethe	ゲーテ(『Johann Wolfgang von Goethe』;1749‐1832;ドイツの詩人・小説家・戯曲家)
Golden Fleece	(ギリシア神話で英雄Jasonらが盗み出した)金の羊毛
Golden Gate	ゴールデンゲート(San Francisco湾の入り口にある海峡)
Golden Gate Bridge	金門橋(San FranciscoとMarin群島間の釣り橋)
Golgotha	ゴルゴタ(キリストが処刑されたJerusalem付近の丘)
Goliath	ゴリアテ(Davidに殺されたペリシテの巨人)
Gomorrah,Gomorrha	ゴモラ(聖書で,住民が邪悪であるため,ソドムとともに神に滅ぼされた町)
Good Book	聖書(the Bible)
Good Friday	聖金曜日(復活祭の前の金曜日;キリストの受難を記念する日)
Good Hope	喜望峰(アフリカ南端の岬)
Goodwife	=Mrs.
Gordian knot	フリュギア(Phrygia)王ゴルディオス(Gordius)の結び目(これを解く者は将来のアジアの支配者とみなされていたのをAlexander大王が剣で断ち切った) / 〈C〉難問題
Gorgonzola	ゴルゴンゾラチーズ(イタリアの強い臭いの青カビチーズ)
Goth	ゴート人
Gothic	ゴート族の;ゴート語の;ゴート文化の / (建築が)ゴシック式の / (文学が)ゴシック派の(グロテスク・怪奇などを特徴とする) / ゴシック字体の / ゴート語
Gouda	ゴーダチーズ(赤色の表を被せたオランダ産のチーズ)
Gr.	Greek / Grecian / Greece
Gr.Br.,Gr Brit	Great Britain
