galloping	(病気が)急速に悪化する,進行の速い
gallows	〈C〉《複数形》《しばしば単数扱い》絞首台 / 《the ~》絞首刑
gallows bird	絞首刑に処すべき極悪人;犯罪(事件)を起こしそうなならず者
gallows humor	不快(危険)な人(物事)をこっけいにみせるユーモア
gallstone	胆石
galluses	ズボンつり(suspenders)
galore	豊富に,どっさりと
galosh	ガロッシュ(《米》くるぶしの上までくるゴム製の雨天用オーバーシューズ;《英》雨天用の低いオーバーシューズ)
gals.	gallons
galumph	意気揚々と(どしんどしんとぎごちなく)歩く,(どすんどすんと)喜び飛びまわる
galvanic	(化学反応によって生じた)直流電気の / (笑い・動作などが)ひきつった,どきっとさせる
galvanism	(化学反応によって生じる)直流電気 / 電気療法
galvanize,galvanise	…を電流をかけて刺激する / 〈予期しない事件・情報などが〉〈人〉を驚かせて突然(…に)する《+『名』〈人〉+『into』+『名』(do『ing』)》
galvanometer	(微少電流の)検流計
gam	(特に女性の)魅力的な脚,すんなりした脚
gambit	(チェスで展開を有利にするための)序盤の手,指し始めの手 / (事を有利に運ぶための)手始めの行動(発言)
gamble	(…で)『かけごとをする』,とばくをする《+『at』+『名』》;(…に)かける《+『in』(『on』)+『名』》 / (…にかけて)のるかそるかの冒険をする《+『on』+『名』》;(…をかけて)一か八かやってみる《+『with』+『名』》 / (…に)〈金・名誉など〉を『かける』《+『名』〈金など〉+『on』+『名』》 / …をかけごとで失う,とばくでする《+『away』+『名,』+『名』+『away』》 / 『かけごと』,『ばくち』 / 《a ~》一か八かの冒険
gambler	かけごとをする人,ばくち打ち
gambling	かけごと(とばく)をすること
gambling den	とばく場
gamboge	黄橙色 / 雌黄(しおう)樹の樹脂(黄橙色の絵の具の原料となる), ガンボジ
gambol	(子ヤギ・子供などの)跳び回り,はね回り / 跳び回る,はね回る
gambrel roof	駒形切妻屋根(途中までゆるい傾斜の切妻屋根)・腰折れ屋根
game	〈C〉『遊び』,遊戯 / 〈C〉『競技』,試合;《複数形で》競技[大]会 / 〈C〉(1試合の一部をなす)1ゲーム,1勝負 / 〈C〉〈U〉試合ぶり,ゲーム運び / 〈U〉(試合途中の)得点 / 〈C〉ゲーム用品,遊び道具 / 〈C〉(商売などの)競争 / 〈C〉計略,策略 / 〈U〉〈C〉冗談,たわむれ,いたずら / 〈U〉《集合的に》猟の獲物;獲物の肉 / 〈U〉《米話》職業,仕事,商売 / 闘志のある,勇気のある / 《補語にのみ用いて》《話》元気(気力)がある / かけ事(とばく)をする(gamble) / (手や足が)かたわの,不具の
game point	(テニスなどで)勝負を決める得点
gamecock	闘鶏
gamekeeper	(密猟防止・鳥獣保護・飼育などのための)猟場管理人
gamely	勇敢に,闘志をもって
gamesmanship	(スポーツで)反則すれすれの巧妙な勝ち方
gamesome	陽気な,はしゃぐ
gamester	ばくちうち,とばく師(gambler)
gamete	(細胞の)配偶子
gamin	浮浪児
gamine	おてんば娘
gaming	かけ事(とばく)
gaming table	とばく用テーブル
gamma	ガンマ(ギリシア語アルファベットの第3字Γ,γ;英語のG,gに相当)
gamma globulin	ガンマグロブリン(血漿(けっしょう)の蛋白(たんぱく)質成分の一つ)
gamma ray	ガンマ線
gammer	老婆
gammon	豚のわき腹肉または後脚肉 / くん製ハム / でたらめ,ぺてん,たわごと
gammy	{形}《英口語》不自由な / 痛む / 役に立たない / 壊れて使い物にならない
gamp	ばかでかい雨がさ
gamut	《しばしばthe ~》あらゆる種類(の…),(…の)全領域《+『of』+『名』》 / 全音階,全音域
gamy,gamey	(肉が)猟獣(猟鳥)のにおいがする,(特に)生のままで少しいたみかけたにおいがする
gander	ガチョウの雄
gang	(人の)『一団』,群れ《+『of』+『名』》 / (悪人の)一味,ギャング団《+『of』+『名』》 / 《話》親しい仲間,遊び仲間 / 《米》(特に他のグループと争う青少年の)非行グループ / 〈人〉を一団にまとめる(組織する) / 一団になる,徒党を組む《+『up』》
ganger	(労働者の)組がしら,人夫がしら
gangland	暗黒街
gangling	(身長・脚などが)ぶざまなほどひょろ長い
ganglion	神経節・ガングリオン,結節腫 《主に手首にできる良性の嚢腫(のうしゅ)》・〔知的・産業的活動の〕中心,中枢 〔of〕
gangplank	道板(みちいた)(船から桟橋へ渡して客の乗降に使う移動式の橋)
gangplow	(2個以上連結した)連動すき
gangrene	壊疽(えそ),脱疽(だっそ) / …を壊疽(えそ)にかからせる / 壊疽にかかる
gangrenous	壊疽(えそ)の,壊疽にかかった
gangster	犯罪組織(ギャング)の一員
gangway	《英》(劇場などの座席間の)通路(aisle) / 舷門(船腹の出入口) / =gangplank / 道をあけろ,どいたどいた
gannet	カツオドリ(海岸に住み魚をとる)
gantlet	笞刑(ちけい)(昔の軍隊などで,むち・こん棒を持って2列に並ぶ間を罪人に走らせて打った刑罰)
gantry	信号橋(鉄道線路をまたいで架設された信号台) / ガントリー(クレーンを移動させるための陸橋型の鉄枠) / ミサイル発射(組立作業)台
gaol	=jail
gaolbird	=jailbird
gaoler	=jailer
gap	(壁・へいなどの)『割れ目』,『すき間』《+『in』+『名』》 / (連続するものの)『途切れ』,空白[部分]《+『in』+『名』》 / (意見・性格などの)『大きなずれ』《+『between』+『名』》 / (山の尾根を分断する)深い峡谷(峠) / …に割れ目(すき間)を作る / 割れ目(すき間)ができる
gap-toothed	(歯が抜けたりして)歯の間にすき間のある
gape	(…に)口をぽかんとあけて見とれる《+『at』+『名』》 / (あくびなどで)口を大きくあける / 〈地面・貝・傷などが〉大きな口をあける,ぱっくり開く / 〈C〉口をぽかんとあけて見とれること / 〈C〉割れ目,裂け目 / 〈U〉《the gapes》張嘴(ちょうし)病(口ばしを開いたまま死ぬ鳥の病気) / 〈U〉《the gapes》あくび[の発作]
gar	ダツ(北米産の淡水魚)
garage	(自動車の)『車庫』 / 自動車修理場 / 〈車〉を車庫に入れる(入れておく)
garage sale	(特にガレージで開く)不要品特売市,はんぱ物市
garb	(時代・国・職業などに特有な)服装 / …に着物を着せる
garbage	(台所から出る)生ごみ,食べかす,残飯 / くだらないもの,がらくた
garbage can	ごみ入れ,ごみ容器(《英》dustbin)
garbage collector	ごみ収集作業員(《英》dustman)
garbage truck	ごみ回収車(《英》dustcart)
garbanzo	=chickpea
garble	〈事実・文章など〉をかってにゆがめる / …をうっかり混同する
garden	〈C〉『庭』,庭園 / 〈U〉庭面積 / 〈C〉《しばしば複数形で》『公園』,遊園 / 《Gardens》《地名の後に置いて》…街,…通り / 庭いじりをする,園芸をする / 〈場所・土地〉を耕して庭にする / 庭で育つ;庭園用の
garden city	田園都市(緑地帯などを整備した住宅開発都市・地域)
garden party	園遊会
gardener	『植木屋』,庭師,園丁
gardenia	クチナシ;クチナシの花(アカネ科の常緑低木)
gardening	造園,園芸
garfish	=gar
gargantuan	とてつもなく大きい,巨大な(gigantic, huge)
gargle	〈うがい液・水など〉でうがいする / 〈口・のど〉をうがいする / うがいする / うがい[すること] / うがい液,うがい薬 / うがいの音
gargoyle	(人・動物の頭部を奇怪に形どった)屋根の雨水の落とし口(ゴシック建築などの特徴)
garish	(服装・色が)けばけばしい,はですぎる;ごてごてと飾り立てた
