geometric progression	等比数列
geometric, geometrical	幾何学の / (図案などが)幾何学的な
geometrician	幾何学者
geometry	〈U〉『幾何学』 / 〈C〉幾何学書
geomorphology	地形学
geophysical	地球物理学[上]の
geophysicist	地球物理学者
geophysics	地球物理学
geopolitics	地政学
georgette	ジョーゼット(薄地の絹の婦人服地)
geoscientist	地球学者
geostationary	(衛星が)静止軌道に乗っている
geothermal	地熱の
ger.	gerund
geranium	テンジクアオイ,ゼラニウム(園芸植物;赤・桃色・白の花を咲かせる) / ゼラニウム(鮮紅)色
gerbera	ガーベラ(キク科の多年草)
gerbil	アレチネズミ(穴に住む齧歯(げっし)類の動物)
geriatric	老人病の
geriatrician	老人病専門医
geriatrics	老人病学
germ	細菌,ばい菌 / (植物の)胚(はい),幼芽;(動物の)卵子 / 原因;(発達の)初期
germ cell	胚胞(はいほう),生殖細胞
germ warfare	=biological warfare
germane	(…と)密接な関係にある《+『to』+『名』》
germanium	ゲルマニウム(希金属元素;化学記号はGe)
germicide	殺菌剤 / 殺菌力のある
germinal	芽の,胚(はい)種の / (発達の)初期段階の;原始の
germinate	〈種子・胞子・球根などが〉発生する,発芽する / 〈種子・胞子・球根など〉を発生させる,発芽させる
germination	発芽,発生
germplasm	胚(はい)原質,生殖質, 遺伝資源
gerontology	長寿学
gerrymander	ゲリマンダー(自党に有利なように選挙区を区割りすること;その選挙区) / 〈選挙区〉を自党に有利に改正する
gerund	動名詞(動詞の‐ing形で名詞の働きをするもの)
gestalt	形態,ゲシュタルト
gestation	妊娠;妊娠期間 / (計画などの)立案
gesticulate	(会話などで,強調したり感情を込めたりして)身ぶり(手まね)をする
gesticulation	(会話などで)身ぶり(手まね)をすること / (その)身ぶり,手まね
gestural	身ぶりの,手ぶりの
gesture	〈U〉〈C〉(気持ちや考えを表現するときの)『身ぶり』,手まね,しぐさ / 〈C〉《修飾語[句]を伴って》(うわべにせよ,心からにせよ,礼儀・尊敬・友情などを表す)行為,しぐさ,印 / 〈人が〉身ぶり(手ぶり)をする;(人が…するように)身ぶり(手ぶり)で示す《+『for』+『名』〈人〉+『to』 do》
gesundheit	(くしゃみをした人に)おだいじに(ドイツ語);(乾杯などで)健康を祝して
get	…を『受け取る』,もらう(受動態にできない) / …を『手に入れる』,得る(受動態にできない) / …を『取ってくる』,持ってくる / 〈人〉に『させる』,『してもらう』 / …を『する』 / 《目的語の名詞の意味を受けて》…『する』,『される』 / 〈病気〉にかかる(受動態にできない) / …を捕らえる,捕まえる / …を覚える,知る / …を聞く,聞き取る(hear);《話》…を理解する,了解する,分かる / 〈放送局〉をキャッチする;…と連絡がつく / 〈食事〉の準備をする,したくする / 《話》《『have got』+『名』》…を持っている(have) / 《話》《『have got to』 do》…しなくてはならない / 〈人〉をやっつける,参らせる / 《副詞[句]を伴って》(ある場所に)『着く』,達する;(ある場所・方向に)動く / (ある状態に)『なる』 / 《『get』+『過分』〈補〉》(…)『される』 / 《話》《『get to』 do=『get』 do『ing』》『やっと』(…)『するようになる』,(…)しだす,し始める
get-together	(通例小人数で非公式の)集まり,懇親会
get-up-and-go	進んでやろうとする元気,熱意,覇気(はき)
getatable	=accessible 1
getaway	逃亡,逃走(escape) / (競走・車などの)スタート
getup	(物の)作り,体裁 / 身なり;(特に)いっぷう変わった服装
gewgaw	安ぴかもの,見かけ倒しのもの / 安ぴかの,見せかけだけの
geyser	間欠泉(周期的に熱水をふき上げる温泉) / 《英》自動湯わかし器
gharry	(インドの)辻馬車
ghastliness	ぞっとするさま;死人のようであること
ghastly	『ぞっとする』,ものすごい(dreadful) / (人・顔つきなどが)『死人のような』,青ざめた / 《話》(人・天気・痛みなどが)ひどい,特に悪い,はなはだしい / 恐ろしく / 青ざめて
ghat,ghaut	峠道,山道 / 《通例複数形で》山脈 / (寺院・民家から直接川・湖へ降りるため設けた)階段(石段) / 火葬場
ghee,ghi	(水牛の乳で作った)液状バター
gherkin	(酢づけにする)小キュウリ
