goatherd	ヤギ飼い
goatskin	〈C〉ヤギの皮 / 〈U〉〈C〉なめしたヤギの革 / 〈C〉(酒を入れる)ヤギ革の袋
gob	(米国の)水兵 / 〈C〉《俗》(粘土などの)塊 / 《複数形で》《米俗》たくさん / 口(mouth)
gobbet	(食物の)一切れ,一塊
gobble	〈食物〉をがつがつ(ぺろっと)食う《+『up』+『名,』+『名』+『up』》 / 《話》…につかみ掛かる,飛び付く《+『名』+『up,』+『up』+『名』》 / 〈七面鳥が〉ゴロゴロのどを鳴らして鳴く / 七面鳥の鳴き声
gobbledygook,gobbledegook	(公文書のような)ややこしいが大して意味のない表現
gobbler	雄の七面鳥
goblet	ゴブレット(長い足つきの杯(グラス))
goblin	人に害やいたずらを働く奇怪な姿の悪霊
goby	通り過ぎること,見て見ぬふり
god	〈C〉(ギリシア・ローマ神話や多神教などの)『神』;(特に)男神 / 〈C〉(崇拝の対象となる)神像,偶像(idol) / 〈C〉(神のように)崇拝される人,非常に重要なもの,非常に価値あるもの / 〈U〉《G-》(キリスト教など一神教の)『神』
godchild	名付け子(洗礼で名付け親から名を付けられる子)
goddamn	(のろい・悔しさなどを表して)ちきしょう,こんちきしょう / =damned
goddaughter	名付け娘,教女
goddess	『女神』 / 絶世の美人
godfather	教父,名付け親
godforsaken	(人が)神に見放された / (土地が)荒れ果てた
godhood	神格,神性
godless	神を信じない,不信心の / 邪悪な(wicked)
godlike	神のような,神神しい
godly	信心深い
godmother	教母,名付け親
godown	(アジア諸国で)(港の)倉庫
godparent	名付け親(生まれた子の洗礼式に立ち会って名前を与える人)
godsend	天の賜物,思わぬ幸運
godson	名付け息子
goer	行く人(物) / 《話》新しい事に常に目を向けている人,順応性のある人
goes	goの三人称単数現在
goggle	(…に)目をぎょろつかせる,(…を)目を丸くして見る《+『at』+『名』》 / 〈C〉(目を丸くした)凝視 / 《複数形で》ゴーグル(オートバイやスキーなどのときにかける防塵(ぼうじん)めがね)
goggle-box	テレビ
goggle-eyed	(特に驚いて)目を丸くした,ぎょろ目の
going	《one's going》『行くこと』,出発 / (道路などの)状態 / 進行,速度 / 《複数形で》行為,ふるまい / 《名詞の前にのみ用いて》(商店などが)盛業中の;(機械などが)動いている / 《名詞の前にのみ用いて》現行の,目下の / 《話》《名詞の後に用いて》現存の,現在入手できる
going-over	徹底的検査(調査) / 厳しくしかること,叱責(しっせき)
goings-on	(通例望ましくない)行為,ふるまい
goiter,goitre	甲状腺腫(せんしゅ)
gold	『金』,黄金(おうごん) / 《集合的に》『金貨』(gold coins) / 金銭,富,財宝 / 黄金色,金色 / 《しばしば…of goldの形で》(金のように)価値のあるもの;純真,親切 / 『金の』,金製の / 金色の
gold bug	金本位制支持者(金を投資の対象として有利だと考える人)
gold dust	砂金
gold leaf	金箔(きんぱく)
