grampus	ハナゴンドウ(暖かい海にいるイルカ科の動物)
granary	穀倉 / 穀倉地帯
grand	『壮大な』;豪壮な / 《名詞の前にのみ用いて》『威厳のある』,気高い / (順位などが)最高の / 重大な,重要な / 《名詞の前にのみ用いて》全体の,全部を合わせた(complete) / 《話》すてきな,すばらしい / 尊大な,うぬぼれた / =grand piano / 《米俗》1,000ドル
grand duchess	大公妃 / (大公国を統治する)女大公 / (帝政ロシアの)皇女
grand duchy	大公国
grand duke	大公 / (帝政ロシアの)皇子
grand jury	大陪審
grand mal	悪性てんかん症
grand opera	グランドオペラ(対話の部分も含め全部の筋を歌で上演するもの)
grand piano	グランドピアノ
grand prix	大賞,グランプリ / 《G- P-》グランプリレース(世界各地のレーサーが参加する長距離自動車レース)
grand slam	グランドスラム(ブリッジでトリックの全部に勝つこと) / (野球で)満塁ホームラン / (一般にスポーツで)主要な大試合に全部勝つこと
grand tour	(昔,英国の上流家庭の男子子弟の)欧州研修旅行
grandad	=granddad
grandam	祖母 / 老婆,おばあさん
grandaunt	大おば(親のおば)
grandchild	孫
granddad	祖父,おじいちゃん / (一般に)ご老人,おじいさん
granddame	高貴の老婦人
granddaughter	孫娘
grandee	大公(スペイン・ポルトガルの最高貴族) / (一般に)身分の高い人,貴人,高官
grandeur	(自然などの)雄大さ,壮大さ;(建物などの)威容,豪壮さ;(眺めなどの)壮観《+『of』+『名』》 / (人・行為などの)威厳(dignity);(目的などの)崇高(nobility)《+『of』+『名』》
grandfather	『祖父』
grandfather['s] clock	(分銅・振子付きの箱入りの)大時計
grandiloquence	(文章などの)仰々しさ,大げさな言葉づかい
grandiloquent	(話し方・文章が)ぎょうぎょうしい,大げさな
grandiose	堂々たる,壮大な / 大げさな,もったいぶった
grandiosity	雄大,壮大 / 大げさ,ぎょうぎょうしさ
grandly	雄大に,壮大に / 威厳をみせて;崇高に
grandma	おばあちゃん
grandmaster	チェス名人 / 《G- M-》(騎士団・友愛会などの)団長,会長
grandmother	『祖母』
grandmotherly	祖母の;祖母のような / こまごまと世話をやく
grandnephew	おい(めい)の息子,兄弟の孫息子
grandness	雄大[さ],壮大[さ],堂々としていること
grandniece	おい(めい)の娘,兄弟の孫娘
grandpa	おじいちゃん
grandparent	祖父母;その一方
grandson	孫息子
