gravestone	墓石,墓碑
graveyard	(おもに教会に付属する)墓地
graveyard shift	深夜交代制の勤務
gravimeter	比重計 / 重力計
gravimetric	重量測定の
graving dock	乾ドック(船底の掃除・修理のための排水ドック)
gravitate	〈物体が〉(…のほうに)引力で引かれる《+『to』(『toward』)+『名』》 / (自然に)(…のほうへ)向かって行く《+『to』(『toward』)+『名』》;(…することに)なっていく《+『into』 do『ing』》
gravitation	引力,引力の作用 / (…に)引き寄せられること《+『to(toward)』+『名』》
gravitational	引力の,重力の
gravity	(地球の)『引力』,『重力』;重量(weight) / 『厳粛さ』,まじめさ / 『重大さ』,ゆゆしさ
gravure	グラビア印刷法
gravy	グレービー(肉を焼くときに出る肉汁,またそれをもとにして作った肉汁ソース) / 《俗》楽に手に入った金,あぶく銭
gravy boat	(小さな舟形の)ソース入れ
gravy train	楽に金を得られる仕事(地位)
gray matter,grey matter	(大脳の)灰白質 / 《話》知力,頭脳
gray power	老人パワー(社会の暴力から身の安全を守るための老人組織)
gray, grey	『灰色の』,ねずみ色の,鉛色の / (顔色が)青白い(pale) / (空が)曇った / (気持ちなどが)陰気な,寂しい(gloomy) / しらがの多い / 〈U〉『灰色』,ねずみ色,鉛色 / 〈U〉灰色の服 / 〈C〉灰色の絵の具,灰色の染料 / 《gray,grey》《米》(南北戦争当時の)南軍兵士 / …を灰色にする / 灰色(白髪)になる
gray-haired,grey-haired	半白髪の
gray-headed,grey-headed	半白髪の頭の
graybeard, greybeard	老人
grayish,greyish	灰色がかった
grayling	カワヒメマス
graze	〈家畜が〉『牧草を食う』,草を食う / 〈家畜が〉(草などを)食(は)む《+『on』+『名』》 / 〈家畜〉に『牧草を食べさせる』;〈家畜〉を放牧する / 〈草原〉を牧場に使う / 〈家畜が〉〈生草〉を食う / …をかする / …の皮膚をすりむく / (…を)かすめて通る《+『along』(『by』,『past』)+『名』》 / (…で)こすってすりむく《+『against』+『名』》 / 〈U〉〈C〉かすめて通ること / 〈C〉すりむいた傷
grazing	〈U〉放牧(家畜が草を食べること) / 〈C〉放牧地,牧草地
grease	グリース(機械の潤滑油) / …にグリースを塗る;…を油で汚す
grease gun	(強力な)グリース注入器
greasepaint	(俳優のメーキャップに用いる)どうらん
greaseproof	(紙が)防油脂性の
greaser	(機械に)油を差す人 / 《俗》《軽べつして》ラテンアメリカ人,(特に)メキシコ人
greasily	油染みて / 脂っこく / すべすべして
greasiness	油染みていること / 脂っこさ / すべすべしていること
greasy	油だらけの;油を塗った / 脂っこい,脂ぎった / つるつるした,すべすべした
great	(規模・範囲などが)『大きい』,巨大な / 『多数の』;『多量の』 / 『偉大な』,すぐれた;《the Great》《称号・肩書に用いて》 / (身分・地位などの)高い / 気高い,崇高な / 《名詞の前にのみ用いて》重要な,重大な / 《人を表す名詞の前にのみ用いて》大の,たいへんな / 《話》すてきな,すばらしい / 《名詞的に》《the great》偉大な人たち,重要人物 / とても,すごく / とてもよく(very well) / 大物,花形
great circle	大圏(たいけん)(地球上の2点間の最短距離)
great-aunt	=grandaunt
great-grandchild	ひ孫,曾孫(そうそん)
great-granddaughter	女のひ孫,ひ孫娘
great-grandfather	ひいじいさん,曾(そう)祖父(父または母の祖父)
great-grandmother	ひいばあさん,曾(そう)祖母(父または母の祖母)
great-grandparent	曾(そう)祖父母
great-grandson	男の曾(そう)孫(ひ孫)
great-uncle	=granduncle
greatcoat	(厚地で重い)外とう
greathearted	心の広い,寛大な(generous) / 勇気のある(brave)
greatly	『大いに,非常に』
greatness	『大きいこと』,巨大;多大 / 『偉大さ』,高貴;高名
grebe	カイツブリ(尾のない水鳥)
greed	(…に対する)どん欲,強欲《+『for』+『名』》
greedily	欲深く,どん欲に / がつがつと
greediness	どん欲,がつがつしていること
greedy	『どん欲な』,欲張りの / 『食い意地の張った』,がつがつした
greedy-guts	大食漢
