grillroom	グリル(ホテル・クラブなどで肉・魚などをその場で焼いて出すレストラン)
grim	(顔つき・態度などが)『険しい』,こわい / 『断固とした』,妥協を許さない / 《話》ぞっとする,不快な / 容赦のない,すさまじい
grimace	しかめつら / (…に)しかめつらをする《+『at』+『名』》
grime	(表面にこびりついた黒っぽい)汚れ,あか,すす / (あかなどで)…を汚す《+『名』+『with』+『名』》
grimy	汚れた,あかじみた,すすけた
grin	(軽べつ・満足・興味などの気持ちで)(…に)『歯を見せて[にやりと]笑う』《+『at』+『名』》 / (苦痛・敵意・怒りなどで)(…に)歯をむき出す《+『at』+『名』》 / 歯をむき出した笑い
grind	(粉などに)〈穀物など〉を『ひく』,細かく砕く《+『名』+『into(to)』+『名』》 / (…から)〈粉など〉を『ひいて作る』《+『名』+『from』+『名』》 / 〈ナイフなど〉を研ぐ;〈レンズなど〉を磨く / …を『きしらせる』;(…に)…をこすりつける《+『名』+『into』(『under』)+『名』》 / 〈人・圧制・貧困などが〉〈人・心など〉を苦しめる,圧迫する《+『名』+『down,』+『down』+『名』》 / 〈回転式器具〉のハンドルを回す / 《話》(人の頭などに)〈学科など〉をたたき込む,詰め込む《+『名』〈学科〉+『into』+『名』》(学科などで)〈人〉に骨折って教え込む《+『名』〈人〉+『in』+『名』》 / 〈穀物などが〉(よく,細かく)ひける,粉になる / ギーギーすれ合う,きしる / 《米話》(…を)こつこつ勉強する(働く)《+『away at』(『for』)+『名』》 / 〈U〉粉にひくこと;研ぐこと / 〈U〉(コーヒーなどの)ひいた粒の大きさ / 〈C〉《話》つらくて退屈な勉強(仕事) / 〈C〉《米話》がり勉屋,がりがり仕事をする人
grinder	ひく人;研ぐ人,研ぎ屋 / 粉ひき機,粉砕機;砥(と)石 / 臼歯(きゅうし)
grindstone	丸砥(と)石,回転砥石
gringo	(中南米にいる)外国人,(特に)英米人
grip	《単数形で》(…を)『しっかり握る』(『つかむ』)『こと』《+『on』+『名』》 / (特にスポーツ用具などの)握り方;握力 / (…に対する)支配力,制御力《+『on』+『名』》 / 《単数形で》(…に対する)『理解力』《+『on』(『of』)+『名』》 / (道具・機械などの)『握り』,取っ手,柄 / 《おもに米》小型の手さげ旅行かばん / =grippe / …を『しっかりつかむ』(『握る』) / 〈人・物・事が〉〈人・関心・注意など〉をつかむ,引きつける / 〈人が〉〈意味・要点など〉をつかむ,理解する
gripe	《話》〈物事が〉〈人〉をいらいらさせる,悩ます / 〈人〉を激しい腹痛で苦しめる。 / 《話》(…について)絶えず不平を言う,ぼやく《+『about』(『at,over』)+『名』(do『ing』)》 / 激しく腹が痛む / 〈C〉《話》(…についての)不平,苦情,ぼやき《+『about』(『at,over』)+『名』》 / 《the gripes》激しい腹痛
grippe	インフルエンザ(influenza)
gripping	(芝居・本などが)注意(興味)を引く
grisly	ぞっとするような,恐ろしい
grist	製粉用の穀物;ひき割り
gristle	(特に料理した)軟骨
gristly	軟骨の;軟骨のような
gristmill	粉ひき場,製粉所
grit	(機械・食物に混じる)小砂 / 《話》根性,勇気 / …をきしらせる
grits	外皮をとってあらくひいた小麦(エンバクなどの穀物) / 《米》グリッツ(オートミールに似た穀物食の一種で,かゆ状にした白いあらびきとうもろこし)
gritty	小砂混じりの;砂だらけの / 《米話》意志の強固な
grizzle	〈特に小さな子供が〉しくしく泣く / (…のことで,…だと)だだをこねる,不平を言う《+『about』+『名』,+『that節』》
grizzled	灰色の(gray),灰色がかった(grayish) / しらが混じりの
grizzly	灰色の / しらが混じりの / =grizzly bear
grizzly bear	灰色グマ(北米Rocky山脈に住むどう猛な大グマ)
gro.	gross12ダース
groan	(苦痛・悲嘆などで出す)『うなり声』,うめき声 / 不平(不満,不賛成,あざけりなど)のうめき声 / ギーッときしむ音 / (苦痛・悲嘆などで)『うめく』,うなる《+『with』+『名』》;(圧倒・重荷などに)うめき苦しむ《+『under』+『名』 / うなるような音を出す,うめきに似た声を出す / 〈棚・テーブルなどが〉きしむほど(…を)載せている《+『with』+『名』》 / 〈話・言葉〉をうめきながら言う,うめくように言う《+『out』+『名』,+『名』+『out』》 / 〈人〉を不満(非難)の声で黙らせる《+『down』+『名』,+『名』+『down』》
groat	(17世紀中ごろまで用いられた英国の)ペンス銀貨
groats	ひき割り小麦
grocer	『食料品』[『雑貨』]『商人』,乾物商
grocery	〈C〉《米》『食料品』[『雑貨』]『店』(《英》ではgrocer's, grocery shopなどが普通) / 《複数形で》『食料』[『雑貨』]『品類』,乾物類 / 〈U〉食料品[雑貨]販売業
grog	グログ酒(ラム酒など強い酒を水で割った飲料) / 強い酒
groggily	ふらふらして,千鳥足で
grogginess	ふらふらすること,千鳥足
groggy	(疲れたり,酒に酔ったりして)ふらつく,ふらふらの
groin	鼠蹊(そけい)部 / 穹稜(きゅうりょう)(円形天井の相交わる稜線)
grommet	金属製はと目 / (帆桁(げた)などを支索につなぎ止める)短いロープ,索環
groom	『馬丁』 / =bridegroom / 〈馬〉の手入れをする / 〈身なり,頭髪など〉をきちんと整える,身づくろいする / (公職・役柄などのために)〈人〉を仕込む,訓練する《+『名』+『for』+『名』》
groove	(石・木・金属などに刻んだ)みぞ / (レコード盤面の)みぞ / 慣例,きまり / …にみぞを掘る(刻む)
groover	かっこいい人, 溝を付ける道具[人]、すてきな人
groovy	当世流行のスタイルの・かっこいい・素敵な・溝のような
grope	手探りする / …を手探りで見付ける / (暗がりで)手探りすること
gropingly	手探りで
groschen	(オーストリアの)グロシェン青銅貨
gross	『全体の,総計の』(entire) / (人が)太りすぎた,でぶの / 粗野な,下品な(vulgar) / (食物が)粗悪な / (誤り・誤解などが)はなはだしい,全くひどい(very bad) / (植物が)はびこった,伸びほうだいの…(霧などが)濃い,密な / グロス(12ダース,144個) / 《the~》《文》全体;大部分 / …の総利益をあげる
gross domesticl product	国内総生産額(《略》 GDP)
gross national product	国民総生産額(《略》 GNP)
grosser	大ヒットした作品
grotesque	(形・外見が)奇怪な,異様な / おかしくなるほどばかげた / (芸術作品が)怪奇(グロテスク)様式の / 《the~》グロテスク模様;グロテスクふう / 奇異なもの
grotto	岩穴;それに似せて作った避暑用の小屋
grotty	きたない,不潔な,不快な
