Hindi	ヒンディー語(北部インド地方で話される印欧語系の言語)・北部インドの
Hindu	ヒンズー教徒 / インド人,(特に)北部インド人,ヒンズー人 / ヒンズー教[徒]の;インド(ヒンズー)人の
Hinduism	ヒンズー教,インド教
Hindustan	ヒンドスタン(インド中央部の平原地方)
Hindustani	ヒンドスタン語(インドの主要な公用語)
Hippocrates	ヒポクラテス(460?‐357B.C.;古代ギリシアの医者で医学の父と称される)
Hippocratic oath	ヒポクラテスの誓い(医者の倫理綱領;ヒポクラテスが作ったとされる)
Hispanic	スペインの / ラテンアメリカの / スペイン系アメリカ人
Hispaniola	ヒスバニョラ島(西インド諸島の島でハイチ共和国とドミニカ共和国に分かれる;旧称Haiti)
Hitler	ヒトラー(『Adolf Hitler』;1889‐1945;ドイツ国家社会党(the Nazis)の党首)
Hitlerism	ヒトラー主義(ヒトラーによるドイツ国家社会主義)
Hittite	〈C〉ヒッタイト人(小アジアおよびシリアの古代民族) / 〈U〉ヒッタイト語{形}ヒッタイト人の;ヒッタイト語の
Ho	holmiumの化学記号
Ho Chi Minh	ホーチミン(1890‐1969)ベトナム民主共和国の初代大統領
Ho Chi Minh City	ホーチミン市(ベトナム南部の港市;旧名Saigon)
Hobson's choice	選択の余地のない選択,えり好みの許されない選択
Hodgkin's disease	ホジキン病(リンパ系の疾患)
Hogmanay	大みそか,大みそかの集まり
Holland	『オランダ』(王国で公式にはthe Netherlands) / 〈U〉《h-》オランダ布(ブラインドなどに用いる目のあらい麻布)
Hollander	オランダ人(Dutchman)
Hollywood	ハリウッド(カリフォルニア州ロサンゼルス市郊外にある映画産業の中心地) / 米国映画界
Holmes	ホームズ(Oliver Wendell~;1809‐94;米国の詩人・小説家) / (Sherlock~; 1 シャーロックホームズ 《Conan Doyle 作の推理小説中の主人公で名探偵》)
Holocene	=the Recent現世の, 完新世の, the ... 完新世
Holstein	ホルスタイン種の牛(白黒ぶちのすぐれた乳牛の一品種)(《おもに英》Frisian)
Holy Bible	聖書(the Bible)
Holy Communion	=communion4
Holy Father	ローマ教皇(Pope)の尊称
Holy Ghost	=Holy Spirit
Holy Grail	=Grail
Holy Land	聖地(キリストの住んだPalestineをいう)
Holy Roman Empire	神聖ローマ帝国(962‐1806)
Holy See	ローマ教皇の地位(権威);ローマ教皇庁
Holy Sepulchre	聖墓,聖陵(復活までのキリストの死体が横たわっていた墓)
Holy Spirit	聖霊(三位(さんみ)一体(Trinity)の第三位)
Holy Thursday	聖木曜日(Easter前の木曜日) / (キリストの)昇天の祝日(Ascension Day)
Holy Week	聖週間(Easter前の1週間)
Holy Writ	聖書
Home Counties	英国London近郊の諸州
Home Guard	国防義勇兵;《the~》《集合的に》(第二次世界大戦中の英国の国防市民軍)
Home Office	英国内務省
Homer	ホメロス,ホーマー(紀元前8世紀ごろのギリシアの詩人;IliadおよびOdysseyの2大叙事詩の作者といわれる)
Homeric	ホメロスの,ホメロスの詩の / (笑いが)大声の
Homo	ヒト属(霊長目ヒト科の一属),ヒト[の学名]
Homo sapiens	ヒト,人類(動物学での学名)
Hon.	The Honorable
Honduras	ホンジェラス(中央アメリカの共和国;首都はTegucigalpa)
Hong Kong	ホンコン(香港;英国植民地) / =Victoria 4
Honolulu	『ホノルル』(米国Hawaii州の州都)
Hoosier	米国Indiana州の住民(出身者)のあだ名
Hoover	フーバー(Herbert Clark~;1874‐1964;米国第31代大統領1929‐33)
Horace	ホラチウス(65‐8B.C.;ローマの詩人)
Horn	ホーン岬(みさき)(『Cape~』;南米の南端にある)
Host	ホスチア,聖餐式のパン,聖体
Hottentot	〈C〉ホッテントット人(南アフリカの原住民) / 〈U〉ホッテントット語
House of Commons	英国下院 / (イギリス・カナダ・オランダの)下院
House of Councilors	(日本の)参議院
House of Lords	(イギリスの)上院
House of Representatives	(米国・オーストラリアなどの)下院;(日本の)衆議院
Houses of Parliament	国会議事堂
Houston	ヒューストン(米国Texas州東南部の都市:NASAの宇宙船飛行管制センターがある)
Hoyle	カードゲームの本
Hts.	Heights (地名として)…台,…丘
Hudson	ハドソン川(米国New York湾に注ぐ川)
Hugo	ユーゴー(Victor Hugo;180285;フランスの詩人・小説家・劇作家)
Huguenot	ユグノー(16‐17世紀のフランスの新教徒)
Hun	フン族(4‐5世紀ヨーロッパに浸入したアジアの遊牧民族) / 《しばしばh-》(文化の)破壊者,野蛮人
Hun.	Hungarian / Hungary
Hundred Years War	百年戦争(1337‐1453,王位継承をめぐる英仏間の戦争)
Hung.	=Hungarian / Hungary
Hungarian	ハンガリーの;ハンガリー人の;ハンガリー語の / ハンガリー人;〈U〉ハンガリー語
Hungary	ハンガリー(ヨーロッパ中部の共和国;首都はBudapest)
Hunnish	フン族の,フン族のような / 野蛮な,破壊的な
Huron	ヒューロン湖(『Lake~』;米国北部五大湖の一つで,2番目に大きい)
Hyde Park	ハイドパーク(ロンドンにある大公園)
Hydra	ヒドラ(ギリシア神話の九頭の蛇でHerculesに退治された) / 〈C〉《h-》ヒドラ(ヒドラ属の腔腸(こうちょう)動物)
Hymen	ヒューメン(ギリシア神話の婚姻の神) / 〈U〉《the h-》処女膜
Hz	〈略〉ヘルツ(Hertz の略。周波数の単位で「1秒間の周期数」を表す)
h.,H.	hour / harbor / high
h.c.f.	highest common factor 最大公約数
ha	おや,はああ,ああ(驚き・喜び・疑い・ためらいなどを表す声) / hectare; hectares
ha-ha	はは(笑い声) / 境界溝, 隠れ垣, 景観を損なうことなく土地の境界を示すのに使われた擁壁(ようへき)付きの溝
habanera	ハバネラ(キューバ起源の2拍子のスローダンス・その曲)
habeas corpus	身柄堤出令状,人身保護令状(人身保護の目的で拘禁の当・不当を調べるために被拘禁者を出廷させる令状)
haberdasher	《英》小間物商人 / 《米》男子用服飾品商人
haberdashery	《英》〈U〉小間物類;〈C〉小間物販売店 / 《米》〈U〉紳士用服飾類;〈C〉男子用服飾品販売店
habiliment	衣服,着物
habit	〈C〉 / 〈U〉〈C〉(個人の)『習慣』;(動・植物の)習性 / 〈C〉(麻薬などの)常用癖 / 〈C〉(僧衣など,特殊な)衣服
habit-forming	常用癖をつける
habitable	住むことができる,住むのに適した
habitat	(動・植物の)産地,生息地
habitation	〈U〉居住 / 〈C〉住所,住み家
habitual	《名詞の前にのみ用いて》(行いが)『癖になった』,いつもの,常習的な / (人が)『常習の』 / (物事が)いつもの,例の
habituate	(…に)〈人〉を慣らす《+『名』+『to』+『名』(do『ing』)》
habituation	慣らす(慣れる)こと
habitue	(…の)常客,常連《+『of』+『名』》
hacienda	(スペイン語圏の中南米諸国で)農場,牧場,(所有者の邸宅を含める)
hack	《副詞[句]を伴って》(おのなどで)…をたたき切る,めった切りにする / …をたたき切って作る / (…を)たたき切る《+『at』+『名』》 / からせきをする / (…を)たたき切ること《+『at』+『名』》;刻み目,切り傷 / 《おもに米》からせき / 《英》貸し馬;《米》貸し馬車 / 老いぼれ馬 / 《米話》タクシー / 下働きをする人,(本の)下書き屋 / 《英》(楽しみとして)馬を走らせること / 《米話》タクシーを運転する / (楽しみとして)馬を走らせる / 下働きの / 平凡な,つまらない・下働きする・(コンピュータシステムに)不正侵入する・～をうまくやって行く、うまくやり抜く、やり遂げる、我慢}する、耐える、許す・「I can't hack it anymore」で 「もうこれ以上耐えられない」
hackie	タクシー運転手
hacking cough	(しつこい)からせき
hackle	(おんどりなどの首回りの)細長い羽毛 / (怒ったときなどに逆立つ犬などの)毛
