hackman	貸し馬車の御者
hackney	乗用馬,貸し馬車 / 雇われた,賃貸しの
hackney carriage	《文》タクシー / 貸し馬車
hackneyed	使い古した,ありふれた
hacksaw	(金属を切る)弓のこ
hackwork	二番煎(せん)じの仕事(著作),おざなりの仕事
had	haveの過去・過去分詞 / haveの過去形・《過去のある時における動作の完了・結果》…『して[しまって]いた』 / 《過去のある時までの経験》…『したことがあった』 / 《過去のある時までの継続》(ずっと)…『していた,してきた』 / 《過去のある時より前の事柄を表す》 / 《時制の一致により間接話法の従節に用いられて》 / 《仮定法》《過去の事実と反対の仮定》 / 《実現されなかった希望や意図》
haddock	(北太平洋産)タラ
hadji	=hajji
hadn't	had notの短縮形
hadst	=had, haveの二人称単数・過去形
haemorrhage	=hemorrhage
hafnium	ハフニウム(金属元素;原子記号は『Hf』)
haft	(ナイフ・短刀などの)柄,つか
hag	醜い老女 / 魔女(witch)
haggard	(悩み・心配などで)『やつれた』,げっそりした
haggis	ハギス(羊などの臓物を腸詰めにして煮たスコットランド料理)
haggle	(値段を)押し問答する,値切る《+『about』(『over』)+『名』》 / (…のことで)言い争う《+『about』(『over』)+『名』(do『ing』)》 / 押し問答,値切り,言争い
haggler	値切る人,押し問答する人
hagiographer	聖人伝の著者
hagiography	聖人伝
hagridden	悪夢などに悩まされた
hah	=ha
hail	〈U〉『あられ』,ひょう / 《a~》(…の)雨あられ,あらし《+『of』+『名』》 / あられ(ひょう)が降る / (人に)〈石・悪口など〉を雨あられと浴びせる《+『名』+『on』+『名』》 / …を『歓呼して迎える』 / あいさつ;呼び掛け / 万歳
hail-fellow-well-met	慣れ慣れしい,愛想のよい
hailstone	あられ,ひょう
hailstorm	あられ(ひょう)を伴うあらし
hair	〈C〉(人間・動物の1本の)『毛』;(植物・昆虫などの)毛 / 〈U〉《集合的に》『髪の毛』,毛,毛髪;(動物の)体毛 / 《a~》1本の毛ほどの量(距離,程度),ごくわずか
hair shirt	ばす(馬巣)織りシャツ(修道僧などが苦行の時に着た)
hair slide	髪留めクリップ
hair trigger	(銃の)触発引き金
hair weaving	人工植毛
hair's breadth,hair's-breadth	=hairbreadth
hair-raising	身の毛もよだつような,ぞっとする(terrifying)
hair-restorer	発毛促進剤
hairball	毛球(猫などが飲み込んだ毛が腸の中で球状になったもの)
hairbreadth	毛ほどの幅(間隔) / 毛ほどの,ほんの少しの
hairbrush	ヘアブラシ
haircloth	ばす(馬巣)織り(馬の尾毛を織り込んだ布で,洋服の衿芯(えりしん)に用いる)
haircut	散髪;頭の刈り方
hairdo	(特に女性の)髪の結い方,髪型
hairdresser	=beautician
hairgrip	(飾りなどの付いた小さな)ヘアピン(bobby pin)
hairiness	毛深さ
hairless	髪のない,はげの
hairline	非常に細い線 / 頭髪の生え際
hairnet	ヘアネット
hairpiece	ヘアピース,入れ毛;(はげ隠し用の小さい)かつら
hairpin	ヘアピン / U字型の
hairpin bend	(道路・川などの)U字形カーブ
hairsplitter	細かいことにうるさい人
hairsplitting	細かいことにうるさいこと,重箱の隅をほじくること / 細かいことにうるさい
hairspray	ヘアスプレー
hairspring	(懐中時計の)ひげぜんまい
hairstyle	髪型
hairy	毛深い,毛だらけの・粗い,ざらざらした・《俗》 ぞっとするほど危険な; 困難な,難しい
hajji,hadji	メッカ参りを済ませたイスラム教徒[の称号]
hake	タラ科の食用魚
halberd	ほこやり(中世に用いられた,やりとまさかりを兼ねたもの)
halcyon	カワセミ類の鳥(冬至のころ海上に巣を作って,波を静め卵をかえすと信じられた) / (冬至のころの)のどかな
hale	元気な,達者な(healthy) / 〈人など〉を引っ張る,引きずる
