halftime	(フットボール・バスケットボールなどの)中休み,ハーフタイム
halftone	〈U〉(美術・写真などの)暗部と明部との間の階調;中間調(色) / 〈C〉(写真印刷の)網版(あみはん);網版画 / 半音
halftrack	(軍用の)半無限軌道車,軍用トラック
halfway	(2点間の)中間の / 中途はんぱの / 中途で,中途まで / ほとんど
halfway house	(精神病患者・罪人などの)社会復帰施設
halfwit	精神薄弱者 / ばか,まぬけ
halibut	オヒョウ,オオヒラメ(北方海洋産の大型の食用魚)
halite	岩塩
halitosis	口臭
hall	『会館』,公会堂,集会場;本部,事務所 / (大きな建物の一部となっている)『大広間』,ホール / (また《おもに米》『hallway』)『玄関の広間』(玄関のドアを入った所とそこから各部屋の前まで通じる廊下) / 《米》(学校・ビルなどの)『廊下』,通路 / 学校内の特別の用途のための建物(校舎,寄宿舎,集会所,大食堂など) / 《おもに英》地方の大地主の邸宅
hall of residence	寄宿舎(hall)
hallah	=challah
hallelujah, halleluiah	ハレルヤ(神をたたえて唱える声) / (神を賛美して歌う)ハレルヤ聖歌
halliard	=halyard
hallmark	(金・銀の純度を証明する)極印(ごくいん);(一般に)品質証明印 / (…の)品質を証明するもの,特徴となるもの《+『of』+『名』》 / …に極印を押す,折り紙をつける;…の品質を証明する
hallo	おーい,もしもし,やあ,ええっ,まあ(人の注意を引いたり,驚いたりするときに発する声) / それっ,ほれっ(猟犬をけしかけるときの掛け声) / “hallo"の叫び声 / “hallo"と叫ぶ
halloo	=hallo
hallow	…を神聖にする,神聖なものとする
hallowed	神聖な;(神聖なものとして)あがめられる
hallower	聖人
hallstand	(玄関の)コート掛け
hallucinate	幻覚を生じる
hallucination	〈U〉〈C〉幻覚 / 〈C〉(幻覚に現れる)幻影,幻
hallucinatory	幻覚の
hallucinogen	幻覚剤
hallucinogenic	幻覚を生じさせる
hallway	=hall3
halma	ハルマ(飛び将棋の商標名)
halo	(月・太陽などの回りに現れる)かさ / (聖像の)光背,後光,光輪
halogen	ハロゲン(フッ素・塩素・ヨウ素・アスタチンの総称)
halt	《a~》『停止』,休止 / 《おもに英》停車場;バス停 / 『停止』(休止)『する』 / …を停止(休止)させる / ためらう / 脚の不自由な人
halter	はづな(馬・牛を引いたりつないだりするためおもがい(馬の頭部に掛けたひも)につなぐ綱) / (絞首刑に使う)絞首索;絞首刑 / ホールター(婦人用の衣服でひもで首と背にかけて結び,腕と背があらわになるもの)
halter neck	(ドレスが)首からつって背中をあらわにした
halting	ためらう / 《古》びっこをひく
halve	…を半分に分ける / (人と)…を半分ずつ分け合う《+『名』+『with』+『名』〈人〉》 / …を半減する
halvers	(分け前などの)半分, go halversで「折半する」
halves	halfの複数形
halyard,halliard	(帆げた・帆・旗などを所定の位置に上げる)揚げ綱
ham	〈U〉〈C〉(豚肉の)『ハム』 / 〈C〉(動物,特に豚の)もも / 〈C〉《しばしば複数形で》(豚肉の)しりとももを合わせた部分 / 〈C〉アマチュア無線家(radio ham) / 〈C〉(大げさに演じる)へぼ役者 / 〈役〉を大げさに演じる / 大げさに演技する
ham-fisted	無器用な
hamadryad	(ギリシア神話の)木の精 / マントヒヒ / インドコブラ(king cobra)
hamburger	《米》〈U〉牛のひき肉(ground beef) / (また『Hamburg steak』)〈C〉ハンバーグステーキ(牛のひき肉を焼いたもの) / 〈C〉(また《米話》『burger』)ハンバーガー(ハンバーグステーキをはさんだサンドイッチ)
hamlet	小さな村,村落
