harelip	みつくち
harelipped	みつくち(兎唇(としん))の
harem	〈C〉ハレム(回教国の婦人部屋) / 〈U〉《集合的に》ハレムの女たち
haricot	インゲン豆
hark	聞く(listen)
harken	=hearken・》〔…に〕耳を傾ける 〔to〕
harlequin	《H-》ハーレクィン,アルルカン(無言劇などの道化役) / 〈C〉道化師,道化もの
harlequinade	道化芝居,道化が主役の無言劇
harlot	《古》売春婦(prostitute)・みだらな女・あばずれ女
harlotry	売春
harm	『害』,『損害』;危害 / (精神的な)害,災い;不幸;不都合 / …を『害する』,に損害を与える,危害を加える
harmful	『有害な』,害になる
harmless	『無害の』 / 悪意のない,無邪気な
harmonic	調和する,音楽的な / (音楽で)和声の,倍音の / =overtone 1
harmonica	ハーモニカ
harmonics	和声学
harmonious	和声の,(音・声が)美しい調子の / 調和のとれた
harmoniously	調子よく,釣り合いよく;打ち解けて,円満に
harmoniousness	調子のよさ,釣り合いのよさ;仲の良さ,円満
harmonium	ハルモニウム(オルガンに似た足踏み式の鍵盤楽器)
harmonize,harmonise	…を調和させる,一致させる;(…に)…を調和させる《+『名』+『with』+『名』》 / 調和する,和合する。(…と)調和する《+『with』+『名』》 / 和声で歌う,〈歌声などが〉よく合う
harmony	〈U〉(色など)『調和』;(意見などの)一致,和合;(…との)調和《+『with』+『名』》 / (音楽ど)和声(音)
harness	『馬具』,引き具 / 〈馬〉に馬具を着ける;〈馬など〉を車に着ける;〈人〉を仕事に就かせる / 〈自然の力〉を利用する
harp	たて琴,『ハープ』 / たて琴を弾く
harpist	ハープ奏者
harpoon	捕鯨用もり / …にもりを打ち込む,もりでしとめる
harpoon gun	捕鯨砲
harpsichord	ハープシコード(16‐18世紀に用いられた有鍵(けん)楽器の一種;ピアノの前身)
harquebus	火縄銃
harridan	口やかましい意地悪の老女,鬼ばば
harrier	ハリヤー犬(ウサギ狩りに用いる) / クロスカントリーレースの走者
harrow	まぐわ(農具の一種) / 〈掘り起こした土〉をまぐわでならす《+『up』+『名,』+『名』+『up』》 / 〈人〉に精神的な苦痛を与える;〈人の心〉を傷つける
harrowing	痛ましい,悲惨な,胸のはり裂けるような
harry	…を繰り返し攻撃する / (…のことで)〈人〉を苦しめる,悩ます《+『名』〈人〉+『for』+『名』》
harsh	(感触や目・耳など五感に)『不快な』,いやな / 『厳しい』(severe);過酷な(stern)
hart	雄ジカ(特に5歳以上のアカシカ)
hartal	(インド・パキスタンで)同盟閉店,同盟休業,ストライキ
hartebeest	シカレイヨウ(南アフリカ産の大カモシカ)
harum-scarum	むちゃな(に),無鉄砲の(に) / 無鉄砲な人
harvest	〈C〉(穀物・果物などの)『収穫』,取り入れ / 〈C〉『収穫期』,取り入れの時期 / 〈C〉収穫物;収穫高(量) / 《a~,the~》(仕事などの)結果,報い / 〈作物〉を取り入れる,〈畑〉の作物を取り入れる / 〈結果など〉を獲得する
harvest festival	(教会での)収穫[感謝]祭
harvest home	収穫祭
harvest moon	中秋の満月
harvester	収穫する人,刈り取りをする人 / 刈り取り機
has	haveの三人称単数現在
has-been	盛りを過ぎた人,過去の人
hasenpfeffer	マリネード(marinade)につけたウサギ肉のシチュー
hash	〈U〉〈C〉刻み肉料理,ハヤシ料理 / 《a~》寄せ集め,ごた混ぜ / 〈C〉(古い作品などの)焼き直し / 〈肉〉を細かく刻む / 《話》…を検討する,討論する《+『out』+『名,』+『名』+『out』》 / 《話》…をだいなしにする《+『up』+『名,』+『名』+『up』》
hash mark	(軍服に付ける)年功袖章(そでしょう)
hash-head	ハシッシュ(hashish)中毒者
hasheesh	=hashish
hashish	ハシッシュ(インド大麻の花・葉から作った強力な麻酔剤,麻薬)
hasn't	=has notの短縮形
hasp	(ドア・ふたなどの)留め金,掛け金 / 〈ドア・窓など〉に留め金(掛け金)を掛ける
hassle	激論 / 苦心,苦闘 / (…と)議論する《+『with』+『名』》 /面倒な[厄介な・困難な・煩わしい・困った・イライラさせられる]こと[問題]、骨の折れる仕事、悩ませるもの / けんか、混乱、騒ぎ、小競り合い、いざこざ、激論、口論 / 口論する、激論する、いざこざを起こす / ～をうるさがらせる、悩ます、イライラさせる
hassock	(お祈りのときに使う)ひざ布団 / 草むら(tussock)
hast	=have
hasta la vista	(スペイン語)また会う日まで,さよなら(goodbye)
haste	『急ぎ』(hurry);『あわてること』,軽はずみ
hasten	…を『急がせる』 / 『急ぐ』,『急いでする』
hastily	『急いで』;あわてて
hastiness	急ぎ;あわてること,軽率
hasty	『急ぎの』,急な,せわしい / 『早まった』,せっかちな
hasty pudding	《米》(ニューイングランド地方の)トウモロコシのかゆ / 《英》(小麦粉を湯または牛乳で煮たてた)即席プディング
hat	(回りに縁のついた)『帽子』 / …に帽子をかぶせる
hat trick	ハットトリック(スポーツなどで一人が3回得点すること)
hatband	帽子のリボン,(帽子に巻く)黒の喪章
hatch	〈ひな・卵〉を『かえす』,ふ化する / 〈陰謀・計画など〉を企てる,たくらむ / 〈ひな・卵が〉『かえる』《+『out』》 / (卵の)ふ化;(…の)一かえり《+『of』+『名』》 / (上下に仕切ったドアの)半戸,下とびら / (また『hatchway』)(船・飛行機の)『昇降口』,ハッチ / (壁に取りつけた)配膳窓,格子口 / (製図・彫刻で)…に線影を引く
hatchable	ふ化し得る
hatchback	ハッチバック,リフトバック(背部に上に開くドアの付いた車)
hatchery	(魚卵の)ふ化場
hatchet	『手おの』 / (北米インディアンの)戦争用おの,まさかり
hatchet job	〈C〉(報道・記事・批評などによる)徹底的な中傷 / 酷評 / 〈C〉(意図的な)破壊行為 / 破壊工作
hatchet man	(ボスの命令で動く)殺し屋 / 上役に代わっていやな仕事をする人
hatching	線影を引くこと
hatchway	〈C〉昇降口 / ハッチ(特に船・飛行機・建物などの床や甲板にある出入口) / 〈C〉小さな開口部(人や物の出入り用)
hate	…を『憎む』,『ひどくきらう』;《話》…をいやだと思う / 憎しみ,憎悪(hatred)
hateful	『憎い』,憎むべき,いまいましい,嫌な
hath	=has
hatless	帽子をかぶっていない
hatpin	婦人帽の留め針
hatred	(…に対する)『憎しみ』,憎悪,《話》大嫌い《+『of』(『for』)+『名』》
hatter	帽子屋;帽子製造人
hauberk	(中世の戦士の)鎖かたびら
haughtily	ごう慢に,横柄に
haughtiness	ごう慢,横柄[さ]
haughty	『ごう慢な』,横柄な
haul	…を『引っぱる』;…を引きずる《+『up』+『名,』+『名』+『up』》 / (警察などへ)…を引っぱって行く《+『名』+『before』(『to』)+『名』》 / 〈船〉の針路を変える / (…を)引っぱる《+[『away』]『at』(『on, upon』)+『名』》 / 《a ~》引っぱること / 《a ~》《修飾語句を伴って》引っぱられる距離 / 一網の漁獲;《話》(特に盗品の)もうけ
haulage	引っぱること / (貨物の)運搬;運搬料
haulm	(穀類・豆類など脱穀後の)茎
haunch	(人・動物の)しり,(食用になる動物の)腰の肉
haunt	…に『しばしば行く』 / 《しばしば受動態で》(幽霊などが)…に出没する / 《通例受動態で》〈考え・思い出などが〉〈人・人の心〉に『付きまとう』 / 人がよく行く場所,人の集まる所
haunted	幽霊のよく出る
haunting	絶えず心に浮かぶ
