haven	安全な所,避難場所 / 《まれ》港
haven't	have notの短縮形
haver	くだらないおしゃべりをする
haversack	《まれ》(兵士の食料・衣類を入れる)雑のう
havoc	(自然の力・暴動などによる)大破壊,荒廃,大混乱,大騒ぎ
haw	サンザシ(hawthorn)の実 / (口ごもって発する)ええ[という声] / 「ええ」と言う,口ごもる
hawk	『タカ』 / 《話》(国際問題などで)強硬論者,タカ派の人 / 〈商品〉を呼び売りする,行商する / 〈うわさなど〉をふれ回る,広める
hawker	タカ匠 / 呼び売り商人,行商人
hawkeyed	(タカのように)目の鋭い
hawkish	タカのような / タカ派的な,好戦的な
hawser	(船で使う)大索(だいさく),太綱
hawthorn	サンザシ(バラ科の落葉低木;おもに生け垣用)
hay	『干し草』(家畜の飼料) / 干し草を作る / を干し草にする;に干し草を与える
hay fever	枯草熱,花粉熱(花粉などで目や鼻の粘膜が冒されるアレルギー性の病気)
haycock	(畑のあちこちに作った円すい状の)干し草の小山
hayfork	干し草用くまで
hayloft	(馬小屋の納屋の2階にある)干し草置き場
haymaker	干し草を作る人(機械) / 《米話》強烈な一撃
haymow	=hayloft / (納屋に積まれた)干し草の山
hayrick	=haystack
hayride	干し草を積んだ馬車に乗って出かけるピクニック
hayseed	干し草の種子 / 《話》いなか者
haystack	干し草の山(雨を防ぐため屋根をすることもある)
haywire	干し草を束ねる針金 / 混乱した;故障した / 気が狂った,取り乱した
hazard	危険,冒険;(…にとっての)危険物《+『to』+『名』》 / (ゴルフや障害レースの)障害物 / 〈生命・財産など〉を危険にさらす / …を思い切ってする(言う)
hazardous	冒険的な,危険な
haze	〈C〉〈U〉もや,かすみ / 〈C〉(精神の)もうろう / かすむ / …をかすませる / …をいじめる,いびる / (入部の儀式として)〈新入生〉をいじめる
hazel	〈C〉ハシバミ;ハシバミの実(食用になる) / 〈U〉ハシバミ色,淡かっ色 / ハシバミ色の
hazelnut	ハシバミの実
hazily	かすんで,もうろうとして
haziness	かすんだ状態,ぼんやりした様子
hazy	もやのかかった,かすんだ / (考えなどが)もうろうとした,はっきりしない
hd.	hand / head
hdbk	handbook
hdkf.	handkerchief
hdqrs.	headquarters
hdw.,hdwe.	hardware
he	彼は,彼が / 《指す人の性別が分からないか,または分かる必要のない場合に》その人,あの人,自分 / 《he who(that)の形で》《文》…するものはだれでも / (動物の)おす(雄) / 鬼ごっこ(tag,tick,tig)
he'd	he had; he wouldの短縮形
he'll	he will; he shallの短縮形
he's	he is, he hasの短縮形
he-man	男っぽい[魅力のある]男
head	(顔を含めた)『頭』,頭部,首;(髪の生えている部分の)頭 / 『頭脳』,頭の働き,知力,才能;理性 / 『長』,指導者,支配者 / (ある物の)頭,上部,先端,先頭 / (川・泉の)源,水源 / (人・動物の)頭数,一人,1頭 / 『首席』,首位 / 《複数形で》(頭像のある)貨幣の表 / 項目,表題(新聞の)見出し / 《米俗》マリファナ常用者 / 長の,指導者の / …の先頭に立つ,を率いる;…の長である / (…の方へ)…を向ける《+『名』+『for』(『toward』)+『名』》 / (サッカーで)〈ボール〉を頭で受ける,ヘディングする / (…に向かって)進む《+for(toward)+名》・「give a head」で「オーラルセックスをする・相手の性器をなめる」
head cold	鼻かぜ
head of hair	毛髪, 濃い頭髪
head start	(事業・競技などで)(…よりも)有利なスタート《+『over』(『on』)+『名』》
head table	(会議場などの)主テーブル
head-on	正面の / 真正面に
headache	『頭痛』 / 《話》悩みの種
headband	鉢巻き,ヘッドバンド(髪を押さえたり,飾りとして用いるもの)
headboard	寝台の頭板(あたまいた)
headcheese	ヘッドチーズ(豚肉を加工した食品)(《英》drawn)
headdress	頭飾り,かぶり物
headed	頭[部]のある,見出しのある / (キャベツなどが)結球した / 《複合語を作って》「…の頭を持つ」「頭が…の」の意を表す
