hearing aid	補聴器
hearken	(…を)注意して聞く,傾聴する(listen)《+『to』+『名』》
hearsay	うわさ,風聞
hearse	霊きゅう車,葬儀車
heart	〈C〉『心臓』;胸 / 〈C〉(感情の中心をなす)『心』,気持ち / 〈U〉愛情,同情 / 〈U〉『勇気』,元気,熱意 / 《the ~》『中心』,内部,(物事の)本質,核心 / 〈C〉ハート形の物;(カードの)ハートの札
heart attack	心臓発作,心臓まひ
heart disease	心臓病
heart failure	〈U〉心不全(心臓が十分な血液を全身に送り出せなくなる状態) / 〈U〉心停止
heart's blood	(人の)命
heart-to-heart	心を打ち明けた,隠しだてのない
heartache	心痛,悲嘆
heartbeat	心臓の鼓動
heartbreak	胸も張り裂けるような悲しみ,悲痛
heartbreaker	人の心を傷つける人(女),(特に恋人を振って)男の心を痛ませる女
heartbreaking	(物事が)胸も張り裂けんばかりの / 飽き飽きする
heartbroken	(人が)悲嘆にくれた,失望した
heartburn	胸やけ / 不満;ねたみ
hearted	「…の心を持った」「心が…の」の意を表す
hearten	〈物事が〉〈人〉を元気づける,励ます《+『up』+『名,』+『名』+『up』》
heartening	勇気づける
heartfelt	深く心に感じた,心からの
hearth	〈C〉『炉床』(暖炉の前に突き出した石やれんがの床) / 〈U〉(家庭生活の象徴としての)炉辺,家庭 / 火床(ほど)(溶鉱炉などの下部で溶けた金属を集める所)
hearthrug	炉の前に敷く敷物
hearthside	炉ばた
hearthstone	〈C〉炉石 / 〈U〉炉辺,家庭
heartily	『心から』,親しみを込めて / 熱心に,元気よく / 食欲旺盛に,腹いっぱい,たらふく / 完全に,徹底的に,とても
heartiness	元気よさ,熱心
heartless	無情な,冷酷な
heartrending	胸も張り裂けるような,悲痛な
heartsease	=pansy
heartsick	悲嘆に暮れた,意気消沈した
heartstrings	心の琴線,深い感情
heartthrob	(心臓の)鼓動 / 情熱,激情 / 《俗》女の胸をときめかせる男
heartwarming	心暖まる
heartwood	(材木の)心材,赤身
hearty	『心のこもった』,親切な,温かい / 元気な,達者な / (食事が)たくさんの;栄養のある / (仲間の船員への呼び掛けで)いいやつ
heat	〈U〉『熱さ』,『暑さ』,熱い状態 / 〈U〉熱度,温度 / 〈U〉(家などの)暖房装置 / 〈U〉熱心,熱烈;(物事の)最高潮《+『of』+『名』》 / 〈U〉(エネルギーとしての)熱 / 〈C〉(競技の)1回,1ラウンド / …を『熱する』,暖める《+『up』+『名,』+『名』+『up』》 / …を興奮させる,怒らせる《+『up』+『名,』+『名』+『up』》 / 熱くなる,暖まる《+『up』》 / (雌の)発情(in heatとして使う)・金・銭・緊迫、プレッシャー、批判、批評、警察の追跡
heat barrier	(ロケットなどの)速度限界点(それを越すと大気の摩擦で危険)
heat lightning	(雷鳴を伴わない)閃光(せんこう)
heat pump	熱ポンプ(建物内の温度を調節するパイプ装置)
heat rash	=prickly heat
heat shield	熱遮蔽(しゃへい)(宇宙船が大気圏に戻った時の過熱を防ぐもの)
heat wave	(夏季の)熱波(高温の空気が広い範囲を覆いゆっくりと移動する現象) / 酷暑の期間
heated	熱せられた / 興奮した,怒った
heater	(ストーブ・スチームなどの)暖房装置,ヒーター
heath	〈U〉ヒース(欧州産の常緑低木;英国の荒れ地に自生する) / 〈C〉《英》ヒースの茂った荒野
heathen	異教徒(キリスト教・ユダヤ教・イスラム教の信者がそれぞれ他の教徒を指していう語) / 《話》野蛮人 / 異教の,異教徒の / 《話》野蛮な
heathendom	異教の信仰,異端 / 《集合的に》異教徒
heathenish	異教徒の / 野蛮な
heather	(Scotlandの荒野に自生する)ヒース属の植物
heather-mixture	(ツイード服地など)紫色がかったヒース色の / ヒース色の服地
heating	加熱;暖房[装置]
heatstroke	=sunstroke
