hidalgo	(スペインの)小貴族,下級貴族
hidden	隠された,隠れた,秘密の
hidden tax	間接税(indirect tax)
hide	…を『隠す』 / 〈感情など〉を人に知られないようにする,おもてに出さない,秘密にする / 〈物が〉…を見えなくする,おおい隠す / 『隠れる』,潜む / (狩猟・撮影などのため)動物を観察する隠れ場所 / (大きい獣の)皮 / 《話》(人間の)皮膚
hide-and-seek	かくれんぼ
hideaway	人目に付かない場所,隠れ場所
hidebound	(家畜が)やせこけた,骨と皮ばかりの / (人が)偏狭な,がんこな
hideous	『恐ろしい』,(外見が)ひどく醜い,ぞっとする / (道徳的に)憎むべき,いまわしい
hideout	(特に犯人の)隠れ場所
hiding	隠れること,隠すこと / むちで打つこと
hie	急ぐ,急いで行く / …を急がす
hierarchic	=hierarchical
hierarchical	聖職階級組織の;階級組織の
hierarchy	聖職の階級組織 / 聖職位階制政治 / (一般に)階級組織,職階制;階層
hieroglyph	=hieroglyphic
hieroglyphic	(特に古代エジプトの)象形文字 / 《複数形で》象形文字の書き物 / 《複数形で》判読しにくい書き物 / 象形文字の,象形文字に似た / 象形文字で書かれた
hierophant	(古代ギリシアの)高僧,祭司
hifalutin	=highfalutin
higgledy-piggledy	めちゃめちゃの,ひどく乱雑な / ひどく乱雑に,めちゃめちゃに
high	『高い』,高い所にある / 《数の後に置いて》高さが…ある / (数量・程度などが標準より)『高い』,大きい,激しい / (身分・地位が)『高い』,高貴な / 『気高い』,高潔な / (声の調子が)『高い』,鋭い / 値段の高い,金の掛かる,ぜいたくな / 楽しい,陽気な,上得意の / (時・季節が)盛りの,たけなわの / (色が)濃い,赤い / 《話》(酒・麻薬などに)酔って / 『高く』,高い所に / (価値・程度などが)高く,高度に,激しく / 〈C〉《話》高水準,高値 / 〈U〉(自動車の)高速ギア / 〈C〉《話》(麻薬などによる)酔った状態
high beam	(自動車のヘッドライトの)上向きライト,遠方照射ライト
high commission	高等弁務官事務所[員]
high commissioner	高等弁務官(植民地などに駐在する首席事務官)
high court	最高裁判所
high explosive	高性能爆薬
high fidelity	高忠実度(ラジオ・録音機などで原音再生度が高いこと;《略》『hi-fi』)
high frequency	高周波
high gear	(自動車の)高速ギア,トップギア
high hat	シルクハット(top hat)
high horse	傲慢な態度, 高慢
high jinks	お祭り騒ぎ
high jump	走り高跳び[の競技]
