hormonal	ホルモンの,ホルモンの影響を受けた
hormone	ホルモン
horn	〈C〉(牛・羊・ヤギ・シカなどの)『角』;(カタツムリの)触角;(ミミズクの)耳 / 〈U〉(細工の材料としての)角 / 〈C〉角製の物,角笛 / 〈C〉『警笛』 / 〈C〉ホルン(金管楽器で,初めは動物の角で作ったが,現在は金属やプラスチックで作る);フレンチホルモン(French horn);《俗》トランペット / 〈C〉角状のもの;新月(三日月)のとがった先端 / …を角で突く / 角でできた,角製の
horn of plenty	(ギリシア神話で)豊饒(ほうじょう)の角(=cornucopia)
horn-rimmed	(めがねが)角製(べっ甲製)のふちのついた
hornbeam	〈C〉北米産のシデ属の樹木 / 〈U〉シデの木材
hornbook	読み方自習帳 / 入門書
horned	《しばしば複合語を作って》「…のある」の意を表す / 《古》三日月形をした
horned toad	ツノトカゲ(頭に角状のとげのある食虫トカゲ)
hornet	スズメバチ
hornless	角のない
hornlike	角のような,角状の
hornpipe	ホーンパイピの踊り(特に水夫が一人で踊る);その舞曲
horny	角製の,角のような物軸でできた / 角のある,角のようなもののある / 角のように堅い・欲情している・性的に興奮してムラムラしている、性欲をかき立てられている、発情している、やりたがっている
horology	時計学,測時学
horoscope	星占い / (星占い用の)天宮図,十二宮図
horrendous	身の毛をよだたせる,ものすごい
horrible	『恐ろしい』,身の毛のよだつ / 《話》『ひどくいやな』;ひどい
horribly	恐ろしく / 《話》ひどく
horrid	『いやな』,不愉快な(unpleasant)
horridly	ひどく
horridness	恐ろしさ
horrific	ぞっとするような,恐ろしい
horrify	…をぞっとさせる,こわがらせる(frighten) / …をあきれさせる
horror	〈U〉『恐怖』,身の毛のよだつ思い / 《a~》(…の)『嫌悪』(けんお),毛ぎらい《+『of』+『名』》 / 〈U〉(…の)恐ろしさ《+『of』+『名』》 / 〈C〉ぞっとさせるもの,いやな人 / 〈C〉《話》実にひどいもの
horrorstricken	恐怖に襲われた,ぞっとした
horrorstruck	=horror-stricken
hors d'oeuvre	オードブル,前菜
hors de combat	(負傷で)戦闘力を矢った / 戦闘不能で
horse	〈C〉『馬』,(特に成長した)雄馬 / =vaulting horse / 〈C〉(物を載せたり,支えたりする)脚付き枠(台など),掛け台,のこひき台,きゃたつ / 〈U〉《集合的に;複数扱い》騎兵,騎兵隊 / 〈人〉を馬に乗せる;〈馬車〉にをつける
horse chestnut	トチの木;トチの実
horse feathers	考慮に値しないもの,くだらないこと / くだらん,ばかばかしい
horse latitudes	亜熱帯無風帯(南・北緯30度あたりの静かな海域をいう)
horse opera	西部劇
horse sense	常識
horse-and-buggy	(車時代の前の)軽装馬車時代の / 旧式の,時代遅れの
horse-trading	馬の売買 / 抜け目のない価格の交渉,値の駆け引き
horseback	馬の背
horsebox	馬運搬用貨車(トレイラー)
horseflesh	馬肉 / 《集合的に》馬
horsefly	ウマバエ,アブ
horsehair	馬の毛(特にたてがみ・尾の毛) / 馬巣(ばす)織り
horsehide	馬の生皮(なめし皮)
horselaugh	(無礼な)高笑い
horseman	『騎手』,乗馬者 / 馬術家
horsemanship	馬術
horsemeat	馬肉
horseplay	馬鹿騒ぎ
horseplayer	競馬狂
horsepower	『馬力』(仕事率の単位;《略》『HP,H.P.,hp,h.p.』)
horseracing	競馬
horseradish	西洋ワサビ
horseshit	たわごと,くだらないこと / くだらん,ばかな
horseshoe	てい鉄;馬てい形のもの / 〈馬〉にてい鉄をつける
horseshoe crab	カブトガニ
horsetail	馬の尾(昔トルコで軍旗として用いた) / トクサ(シダ植物トクサ属の多年草の総称)
horsewhip	馬を打つむち / (人や馬を)むちで打つ
horsewoman	女騎手,婦人乗馬者
horsey,horsy	馬の[ような] / 馬好きの,競馬好きの
hort.	horticultural / horticulture
hortative	=hortatory
hortatory	勧告の,奨励的な
horticultural	園芸の,園芸学(術)の
horticulture	園芸;園芸学(術)
horticulturist	園芸家
