hubris	強い自負,ごう慢,おごり高ぶり
huckaback	ハッカバック織り(タオル地用の粗布)
huckleberry	ハックルベリー(北米産のコケモモ類の植物でその実は食用になる);その低木
huckster	(果物・野菜などの)行商人 / 《話》(強引な)セールスマン / 《米話》(ラジオ・テレビの)広告作家
huddle	群がり寄る,体を寄せ合う《+『up』(『together』)》;縮こまる《+『up』》 / (アメリカンフットボールで作戦を打ち合わせるために)スクリメージ線の後方に集合する / 《おもに英》…をごちゃごちゃに集める《+『名』+『up』(『together』)『,』+『up』(together)+『名』》 / 〈体〉を縮こまらせる,丸くする / (人・動物の)乱雑な群れ;《英》(物の)ごちゃ混ぜ / (アメリカンフットボールで)スクリメージ線後方の集合
hue	(color);〈U〉〈C〉『色合い』(tint) / (追跡の)叫び声
huff	(突然の短い)怒り,立腹 / フット息を吹く / 〈人〉を怒らせる / (チェッカーで)〈相手のこま〉を取る
huffily	腹を立てて
huffiness	怒りっぽいこと,立腹
huffish	気むずかしい,怒りっぽい / いばった
huffy	怒りっぽい;腹を立てた / いばりちらす
hug	《副詞[句]を伴って》(特に愛情を持って)…を『抱き締める』;(両腕・ひざなどで)…をぎゅっと締めつける / (船・車・人などが)…に接近して進む / 〈考えなど〉に固執する(cling to) / (特に愛情の印としての)抱擁
huge	(かさ・量・程度などが)『巨大な』,ばく大な;《話》たいへんな
huggermugger	混乱,無秩序 / 秘密 / 混乱した / 秘密の / 混乱して / ひそかに
huh	ふん,へえ;えっ(驚き・軽べつ・質問などを表し,鼻にかけて発音する)
hula	(ハワイの)フラダンス
hula-hoop	フラフープ(腰の回転で回して遊ぶプラスチック製の輪)
hulk	無残な姿になった物(倉庫・牢獄などに使われる廃船,装備を取り払った船体・車体など)・老朽船,ぶかっこうな大型船[大男, 荷物]・体の大きい人;かさばるもの
hulking	かさばった
hull	(穀物などの)外皮,殻;(豆の)さや;(イチゴなどの)へた / (一般に)おおい / …のさやをむく(shell) / 主船体(マスト・煙突などを含まない)
hullabaloo	わいわい,がやがや;大騒ぎ
hullo	=hello
hum	〈ハチ・機械などが〉『ブンブンいう』,ブーンと鳴る / 『鼻歌を歌う』,ハミングする / (ちゅうちょ・当惑で)ふむふむいう / 《話》〈雰囲気・事業などが〉活気がある,活発に動く;(…で)活気づく《+『with』+『名』》 / …を『ハミングで歌う』,鼻歌を歌って…を(ある状態に)する / (ハチ・機械などの)『ブンブン』[『うなる音』];鼻歌 / (雑踏などの)ガヤガヤ[いう音],騒音 / ふーむ,うーん(ちゅうちょ・当惑・黙考・疑惑・不快などの声)
human	(動物・神に対して)『人間の』,人の / 『人間らいし』,人間的な,人情味のある / 〈C〉《複数形》(動物に怠して)人間(human being) / 〈U〉《the human》人類
human being	人,人間
human race	人類,人間
human rights	人権(発言・行動・労働などの自由を保障する権利)
humane	『人道的な』,人情味のある,思いやりのある / 《まれ》(学問が)人文の,教養の
humanism	人間主義,人道主義 / 《時に『H-』》(ルネサンス期の)人文主義;人文学;(ギリシア・ローマに関する)古典文学研究
humanist	人文主義者;古典文学研究者
humanistic	人間主義的な,人文主義的な / 人間性[研究]の
humanitarian	人道主義的な / 人道主義者,博愛家
humanitarianism	人道主義,博愛
humanity	〈U〉『人間性』,人間らしさ / 《集合的に》《単数・複数扱い》『人類』,人間(human beings) / 〈U〉『人道』,人情味,親切(kindness);〈C〉慈善行為 / 《the humanities》(ギリシア・ローマの)古典文学;一般教養,人文科学
humanize,humanise	…を人間化する,に人間性を与える / …を人間らしく(人情味があるように,情け深く)する
humankind	人類(mankind)
humanly	人間の能力で;人力で / 人間的に,人間らしく
humanoid	人間の特質を持った / 人間に近い機能を持ったロボット
humble	(身分・質などが)『低い』,卑しい,そまつな;わずかな(scanty) / 『控え目な』,謙そんな,出しゃばらない(modest) / 甘んじて屈辱を受ける,平謝りさせられる / 〈人・心など〉を謙虚にする / …を卑しめる,はずかしめる・「eat humble pie」で「屈辱を忍ぶ・ ひたすらわびる・甘んじて屈辱を受ける」
humble pie	(謝罪あるいは撤回という形での)屈辱
humbly	卑しく;謙そんして
humbug	〈U〉〈C〉詐欺,ごまかし;たわごと,ばかげた話 / 〈C〉詐欺師,ぺてん師 / 〈C〉《英》ハッカ入りのキャンディー / 〈人〉をだます;〈人〉をだまして(…を)させる《+『名』+『into』 do『ing』》;〈人〉をだまして(…を)巻き上げる《+『名』+『out of』+『名』》 / ばかな(nonsense)
humdinger	すばらしい人(物),いかす(物)
humdrum	平凡な,ありふれた;単調な(monotonous);退屈な(dull) / 平凡;単調;退屈 / 単調な話;退屈な人
humerus	(人・動物の)上腕骨
humid	(空気・天候などが)湿気のある,湿っぽい(damp)
humidify	…を湿らす,ぬらす
humidity	湿気,湿度
humidor	たばこ加湿器(たばこに適度の湿気を与えるための容器)
humiliate	〈人〉の自尊心を傷つける,に恥ずかしい思いをさせる
humiliating	不面目な,屈辱的な
humiliation	辱めること;辱めを受けること;〈C〉辱め,屈辱[感]
humility	謙そん,卑下;〈C〉《複数形で》謙虚な行為
humming	(虫・機械などが)ブンブンいう(うなる);鼻歌を歌う,ハミングで歌う / 《話》(商売などが)活発な,活気のある
hummingbird	(アメリカ種の)ハチドリ
hummock	小さい丘(knoll) / (氷原の)氷の丘
humor,humour	〈U〉『ユーモア』,こっけい,おかしさ / 〈U〉ユーモアが分かる(表現する)力 / 〈C〉(一般に)ユーモアのある言葉(話,作品) / 〈C〉《単数形で》《ややまれ》(…の)『気分』,心理状態《+『for』+『名』(do『ing』)》 / 〈C〉(血液・リンパ液・胆汁のような)体液;《古》(人間の体質・気質を決定すると考えられていた) / 〈人〉のごきげんをとる,を甘やかす
humorist	ユーモア作家;喜劇俳優 / すぐれたユーモアの持ち主;ひょうきんな人
humorous	『こっけいな』(funny),おかしい(comical);ユーモアのある,ユーモアが分かる
humour	=humor
