I	『私は』,私が / iodineの化学記号
I'd	I had, I wouldの短縮形
I'll	I will, I shallの短縮形
I'm	I amの短縮形
I've	I haveの短縮形
I,i	〈C〉英語アルファベットの第9字 / 〈C〉I字型[の物] / 〈U〉(ローマ数字の)1
I.	Island; Islands / Isle; Isles / Interstate [Highway]
I.E.	Indo-European / Industrial Engineer
I.N.R.I.	(ラテン語)Iesus Nazarenus,Rex Iudaeorumユダヤ人の王,ナザレのイエス
I.R.	information retrieval 情報検索
ICBM	intercontinental ballistic missile 大陸間弾道弾
ICC	Interstate Commerce Commission・(米国)(the ～) 州間通商委員会 (略 ICC)
ICJ	International Court of Justice 国際司法裁判所
ICU	intensive-care unit 集中治療設備
ID card	=identity(identification) card
IE	Indo-European
IF	intermediate frequency (無電の)中間周波
IGY	International Geophysical Year 国際地球観測年
IHP	indicated horsepower 指示馬力
IL	Illinois
ILO	International Labor Organization 国際労働機構
ILS	instrument landing system(飛行機の)計器着陸方式
IMF	International Monetary Fund 国際通貨基金
IN	Indiana
IOC	International Olympic Committee 国際オリンピック委員会
IOU	借用証(I owe you.「私はあなたに借金がある」の音をとった略字)
IP	(野球で)innings pitched
IPA	International Phonetic Alphabet 国際音標文字
IQ,I.Q.	intelligence quotient 知能指数
IRA,I.R.A.	Irish Republican Army アイルランド共和国軍
IRBM	intermediate range ballistic missile 中距離弾道弾
IRO	International Refugee Organization 国際難民救済機関
ITA	Independent Television Authority(英国)独立テレビジョン公社
ITV	instructional television 教育テレビ
IUD	intrauterine device 子宮内避妊具
IWW	Industrial Workers of the World 世界産業労働者組合
Ia.,IA	Iowa
Iberia	イベリア半島
Iberian	イベリアの,イベリア人の,イベリア語の
Iberian Peninsula	イベリア半島(スペインとポルトガルを含む半島)
Ice.	Iceland / Icelandic
Icel.	Iceland / Icelandic
Iceland	アイスランド(北大西洋の独立共和国;首都はReykjavik)
Icelandic	アイスランドの,アイスランド人(語)の / アイスランド語
Id.,ID	Idaho
Ida.	Idaho
Idaho	アイダホ州(米国北西部の州;州都はBoise;《略》『Id.,Ida.,ID』)
Iliad	イリアード(Troyの攻囲戦を歌った叙事詩;ギリシアの詩人Homerの作)
Ill.	Illinois
Illinois	イリノイ州(米国中部の州;州都はSpringfield;《略》『Ill.,IL』)
Immaculate Conception	(ローマカトリック教会で)聖母マリア処女懐胎
In	indiumの化学記号
Inauguration Day	大統領就任式の日(選挙の翌年の1月20日)
Inc.	incorporated
Inca	《the Incas》インカ族(11世紀ごろから現在のペルー・ボリビア・チリ北部に一大帝国を建設したインディアンの一種族;16世紀スペイン軍によって滅亡) / 〈C〉インカの支配者;インカの高官
Ind.	India / Indian / Indiana
Independence Day	米国独立記念日(7月4日)
India	『インド』(公式名は 『the Republic of India』 インド共和国;首都はNew Delhi;《略》『Ind.』)
India ink	(日本・中国の毛筆用の)墨(Indian ink)
India paper	インディア紙(薄くて強い上質の印刷用紙)
India rubber	=rubber 1 / 〈C〉消しゴム
Indian	インドの,インド人の / アメリカインディアンの / 〈C〉インド人 / (また『American Indian』)〈C〉『アメリカンインディアン』 / 〈U〉アメリカインディアンの言語
Indian Ocean	インド洋
Indian club	体操用の瓶形こん棒
Indian corn	=corn 1
Indian file	一列縦隊(single file)
Indian hemp	インド大麻 / マリファナ
Indian ink	India ink
Indian pipe	ギンリョウソウモドキ(パイプの形に似た花をつける植物)
Indian summer	小春びより(晩秋・初冬の初霜の降りたあとにくる一時的な暖かい穏やかな天気)
Indiana	インディアナ州(米国中部の州;州都はIndianapolis;《略》『Ind』,『IN』)
Indianapolis	インディアナポリス(米国Indiana州の州都)
Indies	=East Indies / =West Indies
Indo-European	インドヨーロッパ語族(ヨーロッパ・西南アジア・インドなどの諸言語)
Indochina	インドシナ(広義にはベトナム・ラオス・カンボジア・タイ・マレーシア・シンガポール・ビルマを含む)
Indochinese	インドシナの / インドシナ人
Indonesia	インドネシア(アジア南東部の共和国;正式名the Republic of Indonesia;首都はJakarta)
Indonesian	インドネシアの;インドネシア人の / インドネシア人;〈U〉インドネシア語
Indus	インダス川(インドの大河)
Industrial Revolution	産業革命(18世紀末から19世紀初頭にかけて英国を中心に興った)
Inland Revenue	《the~》国税庁 / 〈U〉《時にan~》国内税収入
Interferon	インターフェロン (virusの増殖を抑制する)
International	インターナショナル(19‐20世紀に結成された国際的な社会主義的労働者組織)
International Date Line	日付変更線
Internationale	〈U〉《the~》インターナショナルの歌(共産主義者・労働者の間で歌われる革命歌) / =International
Interpol	国際警察(国際犯罪を防止するための国際機構)
Invincible Armada	=Spanish Armada
Ionia	イオニア(小アジア西岸にあった古代ギリシアの植民地)
Ionic	イオニアの;イオニア人の / (建築物が)イオニア式の(女性的で優雅;柱頭の渦巻形がその特徴)
Iowa	アイオワ州(米国中西部の州;州都はDes Moines;《略》『IA』,『Ia』.)
Ir	iridiumの化学記号
Ir.	Ireland / Irish
Iran	イラン共和国(旧称はPersia;首都はTeheran)
Iranian	イランの,イラン人(語)の / 〈C〉イラン人;〈U〉イラン語
Iraq,Irak	イラク(アジア南西部の共和国;首都はBaghdad)
Iraqi	〈C〉イラク人 / 〈U〉イラク語 / イラクの,イラク人(語)の
Ire.	Ireland
Ireland	『アイルランド』(首都はDublin;北東部は英本国の一部であるが,南部はthe Republic of Ireland(アイルランド共和国)という独立国)
Irish	『アイルランドの』;アイルランド語の;アイルランド人の / 《the~》アイルランド国民 / 〈U〉アイルランド語
Irish Republic	アイルランド共和国(公式にはthe Republic of Ireland)
