ideologist	観念論者;空想家
ideology	〈C〉イデオロギー(社会・政党などが持つ典型的な思考形態) / 〈U〉《軽蔑して》空理,空論
ides	(古代ローマ暦で)3・5・7・10月の15日,および他の月の13日
idiocy	白痴;〈C〉愚かな言行
idiom	〈C〉『慣用語法』,熟語 / 〈U〉(ある言語の)語法;(ある民族・地方の)方言,なまり(dialect);(美術・音楽などの)作風
idiomatic, idiomatical	慣用語法にかなった,慣用的な,慣用語法の多い
idiopathic	特発性疾患の(病気の原因があいまいな,また不明な場合)
idiosyncrasy	(個人的)特質,特異性;特異な行動(反応)
idiot	(3‐4歳以下の知能しかない)白痴 / 《話》ばか(fool)
idiot light	(車などで部品の)故障警告灯
idiotic	大ばかの,ばかげた
idiotically	ばかげたことに,愚かにも
idle	(人が)『働いていない』(unemployed),(機械などが)使われていない,(時間が)空いている / (人が)『怠惰な』,怠けている / 価値のない,むだな / 〈人が〉何もしないでいる,ぶらぶらと時間を過ごす《+『about』》 / 〈機械などが〉から回りし続ける,アイドリングする / 〈時間〉を空費する,ぶらぶらして過ごす《+『名』+『away』,+『away』+『名』》 / 〈不景気・ストライキなどが〉〈人・機械など〉を遊ばせる,暇にさせる
idleness	『怠惰』,怠けていること
idler	怠け者,役立たず
idly	何もしないで,怠けて,無益に
idol	『偶像』,偶像神 / 『アイドル』,崇拝される人(物)
idolater	偶像崇拝者 / (一般に)崇拝者,心酔者
idolatrous	偶像崇拝の,偶像崇拝的 / 心酔する
idolatry	偶像崇拝 / 盲目的崇拝,心酔
idolize,idolise	…を偶像化する / …を盲目的に崇拝する,に心酔する
idyll,idyl	牧歌,田園詩;田園生活
idyllic	牧歌的な / 田園詩の
if	《仮定・条件を表して》『もし』…『ならば』,もし…したら,…とすれば / 《条件の実現の可能性がある場合》 / 《if … shouldの形で可能性の少ない未来の仮定を表す場合》 / 《if … were(was) to…の形で可能性の有る無しとは関係ない仮定を表す場合》 / (a)《「if…過去形…,…助動詞の過去形」の形で現在の事実に反する仮定を表す場合》 / (b)《「if…過去完了…,…助動詞の過去形+完了形」の形で過去の事実に反する仮定を表す場合》 / 《譲歩を表して》『たとえ』…『でも』,…としても(even though) / …『すると』[『いつでも』](whenever) / 《間接疑問文を導いて》…『かどうか』(whether) / 《独立節を導いて願望・驚き・怒りなどを表して》…であればなあ,…とは驚いた,…をやりでもしたら / 仮定,条件
iffy	不確かな,疑わしい
igloo,iglu	イグルー(氷や雪で作るエスキモー人の家)
igneous	火の,火のような / (岩石が)火成の
ignis fatuus	〈C〉鬼火,きつね火
ignite	…に火をつける,点火する,を燃やす / 火がつく,燃え始める
ignition	〈U〉点火,発火,燃焼 / 〈C〉(エンジンなどの)点火装置
ignoble	下劣な,下品な(base)
ignominious	不面目な,恥ずべき,卑しむべき
ignominy	〈U〉屈辱,恥辱 / 〈C〉恥ずべき行為
ignoramus	〈C〉無学な人,無知な人
ignorance	『無学』,『無知』,無教育;(…を)知らないこと《+『of』+『名』》
ignorant	(人が)『知識がない』,無知な,教育を受けていない / 《補語にのみ用いて》『知らない』,気づかない(unaware) / 《話》(行為などが)無知から起こる,非常識な
ignore	…を『無視する』,顧みない
iguana	イグアナ(熱帯アメリカ産の大トカゲ)
ikon	=icon
ileitis	回腸炎
ileum	回腸(小腸の下部の1/3の部分)
ilex	ウバメガシ(常緑のカシの一つ) / 西洋ヒイラギ
ilk	家族,同種
ill	《補語にのみ用いて》『病気で』,気分が悪い(sick) / 《名詞の前にのみ用いて》不十分な,好ましくない;正常でない / 《名詞の前にのみ用いて》不運な,不吉な / 《名詞の前にのみ用いて》(道徳的に)『悪い』,邪悪な,敵意(悪意)のある;不きげんな / 《名詞の前にのみ用いて》『有害な』,悪い,損害を与える / 『悪く』,不正に;残酷に / 『意地悪く』,不親切に;不満足に,不十分に / ほとんど…ない(scarcely) / 《分詞と共に複合語を作って》悪く,まずく,不完全に / 〈U〉 / 悪,罪悪 / 〈U〉危害,災難 / 〈C〉《しばしば複数形》苦しみ(悩み)の種,不幸,病気
ill breeding	育ちの悪いこと,無作法
ill humor	不きげん
ill temper	怒りっぽさ,気むずかしさ
ill treatment	虐待,冷遇
ill will	悪意,悪感情
ill-advised	無分別な,思慮のない
ill-assorted	不調和,つりあいのとれていない
ill-bred	しつけ(育ち)の悪い,無作法な
ill-disposed	たちの悪い,意地の悪い / 《補語にのみ用いて》(…に対して)不賛成の,好意を持たない《+『toward』(『towards』)+『名』》
ill-fated	不運な,不幸な
ill-favored,ill-favoured	不器量な(ugly);不快感を与える
ill-gotten	不正な手段で得た
ill-humored,ill-humoured	不きげんな,怒りっぽい
ill-mannered	無作法な,ぶしつけな
ill-natured	意地の悪い,ひねくれた
ill-omened	不運な,不吉な
ill-starred	星回りの悪い,不運な
ill-suited	不適当な,不相応な
ill-tempered	怒りっぽい,気むずかしい
ill-timed	時機を失した,折の悪い
ill-treat	…を虐待する,冷遇する
ill-use	…を虐待する,酷使する / 虐待,酷使
ill.	illustrated / illustration / illustrator
illegal	『不法の』,違法の
illegality	違法,不法;〈C〉不法行為
illegible	(筆跡などが)読みにくい,判読しがたい
illegitimacy	規則に合わないこと,非合法 / 私生児として生まれたこと,庶出
illegitimate	規則で許されていない,非合法の(unlawful) / 私生の,庶出の
illiberal	心の狭い,狭量の / 物惜しみする,けちな
illicit	不法の,禁制の
illimitable	無限の,限りのない
illiteracy	無知,無教育 / 文盲
illiterate	読み書きのできない,文盲の / 無学の,無教育の,無知な / {名}〈C〉 / 読み書きのできない実,無教育な人
illness	(心身の)『病気』,不健康
illogical	非論理的な,不合理な;《話》もの分かりの悪い
