imaginative	想像力(創作力,構想力)に富む,想像する / 想像上の,想像[力]の生み出した
imagine	…を『想像する』,思い描く / 《『imagine』+『that節』》…と『思う』 / 《『imagine』+『wh-節』(『句』)》…かどうかを推測する / 想像する,考える,推測する
imagism	(詩の)写象主義(20世紀初めの自由詩運動).
imago	(昆虫の)成虫
imam	〈C〉(イスラム教の)僧,導師 / 《I-》イスラム教国の宗教的元首の称号
imbalance	不均衡,釣り合いがとれていないこと
imbecile	低能の,愚かな / 低能者,ばか
imbecilic	=imbecile
imbecility	〈U〉低能;愚かさ / 〈C〉愚かな言動 / ばかげたこと
imbed	=embed
imbibe	…を飲む / 〈水・光・熱など〉を吸収する / 〈知識・思想など〉を吸収する / 飲む / 液体(湿気)を吸収する
imbrication	かわら(屋根板など)の重なり合い / 重なり模様,うろこ模様
imbroglio	(個人・国家間などの)紛糾(ふんきゅう),もつれ,ややこしい事態
imbrue	(血などで)…を汚す,染める《+名+with+名》
imbue	《受動態で》(思想・感情などを)〈人,人の心〉にしみ込ませる,吹き込む / (水分・色などを)…にしみ込ませる
imitate	…を『見習う』,手本にする / …の『まねをする』 / …を『模写(模造)する』,に似せて作る
imitation	〈U〉(…を)『見習うこと;』(…の)『まねをすること』,模倣;(…を)模写(模造)すること《+of+名》 / 〈C〉(…の)物まね,人まね(+of+名) / 〈C〉模造品,にせ物,まがい物 / 模造の,人造の
imitative	模倣の,模造の / まね好きの
imitator	まねをする人
immaculate	少しも汚れていない / (人・人の行為などが)清純な;(物が)欠点のない
immanence	(物質・要因などの)内在 / (神・神の意志の)宇宙遍在
immanent	(特質・要因などが)(…に)内在する《+in+名》 / (神・神の意志が)宇宙に遍在する
immaterial	重要でない,取るに足りない / 実体のない,非物質の
immature	(人・動物・果実などが)未[成]熟な,円熟(成熟)していない / おとなげない
immaturity	未熟,未完成
immeasurable	測ることができない,無限の
immediacy	即時性,緊急性
immediate	『即座の』,即時の / 当座の,当面の / (時間・空間的に)すぐ近くの / 直接の,じかの(direct)
immediately	『ただちに』,即座に / 直接に,じかに(directly) / …するや否や(as soon as)
immemorial	人の記憶にない,遠い昔の
immense	(大きさ・広がり・程度などが)『巨大な』,多大な,測り知れない / 《話》すばらしい,すてきな
immensely	広大に,ばく大に / 《話》非常に,とても(greatly)
immensity	〈U〉広大,巨大 / 《an~》無限の広がり,ばく大な量;《複数形で;単数扱い》広大(巨大)なもの
immerse	(水・液体に)…を浸す,沈める《+『名』+『in』+『名』》 / (仕事などに)〈自分〉を没頭させる《+one『self』+『in』+『名』(do『ing』)》
immersion	〈U〉水(液体)に浸す(沈める)こと / 〈U〉〈C〉浸礼(体全体を水中に浸す洗礼)
immersion heater	投込式電熱器(コードの先端の発熱体を液の中に入れる)
immigrant	(外国からの)『移住者』,移民,入植者 / 帰化植物
immigrate	(外国から…へ)移住する,入植する《+『to』(『into』)+『名』+『from』+『名』》
immigration	(外国からの)移住,入植 / 《集合的に》入植者,移民国
imminence	〈U〉切迫,急迫 / 〈C〉差し迫った危険(事)
imminent	(危険・あらしなどが)差し迫った
immiscible	(特に液体などが)混合できない,混じらない
immitigable	(怒り・苦痛など)緩和できない,なだめられない
immobile	動かせない;動けない / 動いていない,静止している
immobility	不動,静止
immobilize,immobilise	…を動かないようにする,固定する
immoderacy	=immoderation
immoderate	度を越えた,行き過ぎの・法外な
immoderation	節度のないこと,過度,法外
immodest	(特に女性が)慎みのない,みだらな / うぬぼれた,厚かましい
immodesty	慎みなさ,みだら;無遠慮,うぬぼれ
immolate	(…のために)…をいけにえ(犠牲)にする《+『名』+『to』+『名』》
immolation	いけにえ(犠牲)にすること
immoral	不道徳な,不品行な / わいせつな,みだらな
immorality	不道徳,不品行;不倫
immortal	『不死の』,永遠に生きる / 永遠の名声を持つ,不滅の / 不死の人 / 《the immortals》ギリシア・ローマの神々 / 不朽の名声を持つ人
immortality	不死,不滅 / 不朽の名声
immortalize,immortalise	〈詩・詩人などが〉〈人・その勇気など〉を不滅にする,永久に伝える
immotile	(生物が)動けない,自動力のない
immovable	動かせない,動かない / (意志などが)確固たる / 不動産の / 不動産
immovably	動かないで,確固として
immune	免疫の / 《補語にのみ用いて》(影響・攻撃・義務・税などを)免れている《+『against』(『from, to』)+『名』》
immunity	〈U〉(病気に対する)免疫《+『from』(『to, against』)+『名』》 / (義務・税などの)免除《+『from』(『to, against』)+『名』》
immunization,immunisation	免疫にする(せれる)こと
immunize,immunise	(病気に対して)〈人〉を免疫にする《+『名』〈人〉+『against』+『名』》
immunosuppressive	拒否反応抑制の
immure	…を監禁する閉じ込める
immutability	不変[性]
immutable	(法則などが)不変の,不易の
imp	小悪魔;悪魔の子 / わんぱく
impact	〈U〉〈C〉(…の…に対する)衝突,衝撃《+『of』+『名』+『against』(『on』,『upon』,『with』)+『名』》 / 〈C〉(…の…に対する)影響(influence)影響力《+『of』+『名』+『on』(『upon, against』)+『名』》
impacted	(親知らずが)他の歯の下に生えている
impair	〈健康・視力など〉を損なう,〈判断力など〉を弱める
impala	インパラ(アフリカ産レイヨウ;カモシカの一種)
impale	(やり・ピンなどで)…を突き刺す《+『名』+『on』(『upon, by』)+『名』》
impalement	(とがった物で)突き刺すこと / くし刺しの刑
impalpable	手で触れない,触知(感知)できない / (差異などが)なかなか理解できない,微妙な
impanel	=empanel
impart	(…に)〈事〉を与える(give)《+『名』+『to』+『名』》
impartial	片寄らない,公平な(fair)
impartiality	かたよらないこと,公平
impassable	(道路・山・川などが)通れない,越せない
impasse	袋小路,行き止まり / 行き詰まり,難局
impassioned	(演説・訴えなどが)熱烈な,熱のこもった
impassive	(顔・視線などが)無表情の,無感動な
impassivity	無表情,無感動,無神経
impasto	(絵画で)絵の具の厚ぬり;厚ぬりの絵の具
impatience	じれったさ,もどかしさ / (…への)切望,熱望《『for』+『名』》;(…したくて)たまらないこと《+『to』 do》 / (…に)我慢できないこと《+『with』(『toward』)+『名』》
impatiens	ツリフネソウ,ホウセンカ
impatient	『我慢しきれない』,もどかしそうな,性急な / 《補語にのみ用いて》『待ちかねて』,切望して
impatiently	いらいらして,待ちかねて;性急に
impeach	《おもに米》(不法行為のために)〈裁判官・公務員〉を弾劾(だんがい)する;(…のかどで)〈人〉を非難する《+『名』+『for』(『of, with』)+『名』(do『ing』)》 / 《文》…を疑う,問いただす
impeachment	非難;告訴;告発;《おもに米》(裁判官・公務員を)弾劾(だんがい)すること
impearl	…を真珠のような玉にする / …を真珠で飾る
impeccable	(行儀・性格などが)非の打ち所のない,欠点のない
impeccably	非の打ち所なく
impecunious	無一文の(penniless),貧乏な
impedance	インピーダンス(電気回路において交流に対する電気抵抗)
impede	…を妨げる,阻む
impediment	(…における)障害《+『in』+『名』(doing)》;(…に対する)妨げ《+『to』+『名』》
