impressionistic	印象主義の,印象派の
impressive	『印象的な』,強い印象(感銘)を与える
impressively	印象的に,感銘深く
impressiveness	印象的であること,感銘深さ
imprimatur	(特にカトリック教会が与える書物の)出版許可 / 許可,承認
imprint	(…に)〈印など〉を押す,〈模様など〉を押してつける《+『名』+『on』(『upon』)+『名』》;(印・模様などを)…に押す,押しつける《+『名』+『with』+『名』》 / (心・記憶に)…を刻みつける《+『名』+『on』(『upon, in』)+『名』》 / 押された印,押印,スタンプ;(…の)跡《+『of』+『名』》 / (書物の)奥書き(出版者・発行日・版などを記したもの.外国の本では表紙に続く扉(title leaf)または,その裏のページにある)
imprison	…を『投獄する』,刑務所に入れる;…を監禁する,閉じ込める
imprisonment	投獄;監禁
improbability	ありそうもないこと
improbable	ありそうもない,ほんとうらしくない(unlikely)
impromptu	準備なしに,即席に(offhand) / 準備なしの,即席の / 即席演説(演奏),即興詩,即興曲
improper	『ふさわしくない』,不適当な,誤った / 無作法な(indecent);下品な,なだらな
improper fraction	仮分数(分子が分母より大きいもの)
improperly	不適当に;無作法に
impropriety	〈U〉不適当,誤り / 〈C〉無作法な行為,下品な言葉
improve	…を『もっとよくする』,改良する,改善する / 〈時間・機会など〉を『利用する』 / (…の点で)『よくなる』,りっぱになる,上達する(become better)《+『in』+『名』》
improvement	〈U〉(…の,…における)『改良』,改善,進歩,上達《+『of』(『in』)+『名』(do『ing』)》 / 〈C〉改良(改善)点
improvident	(経済的に)将来への備えを怠る
improvisation	〈U〉即席にすること / 即興詩,即興曲,即興演奏
improvise	〈詩〉を即席で作る;〈音楽など〉をで演奏する(歌う);〈劇など〉を即興で演じる / …をありあわせで作る
imprudence	〈U〉無思慮,軽率,無謀;(…する)無分別さ《+『to』 do》 / 〈C〉無分別な行為(言葉)
imprudent	無分別な,軽率な,無謀な(rash)
impudence	〈U〉厚かましさ,無遠慮;(…する)厚かましさ《+『to』 do》 / 〈C〉無遠慮な言葉(行為)
impudent	厚かましい,ずうずうしい,無遠慮な;生意気な
impugn	〈人の言葉・資質など〉に疑問を投げかける,疑いを挿しはさむ
impugner	非難する人,異議を唱える人
impuissant	無力な,無気力な,虚弱な
impulse	〈U〉〈C〉(心の)『衝動』,一時の感情,でき心 / 〈C〉『衝撃』,推進力(push);刺激 / 〈C〉インパルス(短時間だけ続く電流) / 〈C〉(神経細胞が起こす)衝動
impulse buyer	衝動買いの客
impulse buying	衝動買い
impulsion	〈C〉衝動,推進力,刺激 / 〈U〉推進
impulsive	(人・行動などが)衝動的な,感情に駆られた / 推進力のある,押し進める
impunity	罰(損失)を免れること
impure	(空気・水などが)澄んでいない,汚れた(diluted) / 混じり物のある,不純物の入った / (人・行動などが)不道徳な,堕落した
impurity	〈U〉不潔;不純 / 〈C〉《しばしば複数形で》混じり物,不純物 / 〈U〉不道徳
imputability	責任を負わせること,帰しうること
imputable	負わせられる,帰せられる;(…を)負わせられる《+『to』+『名』》
imputation	〈U〉(罰などの原因を)人のせいにすること / 〈C〉(押しかぶされた)汚名,そしり
impute	(…に)…の罪(責任,原因など)を押しつける《『名』~『to』+『名』》
in	《具体的な場所,位置》 / …『の中に』(『で』) / …『において』,…で / 《intoの代りに移動を表す動詞と共に》…『の中へ』 / (乗り物)『に乗って』 / …『の状態に』(『で』) / …『に従事して』,に属して / …『を身につけて』,に覆われて / 《『in』do『ing』の形で》…『するときに』,する際に(when) / 《時間》 / …『して』,…『が経過したあと』 / …『の間に』 / …『については』,…の点では / 《方法・手段・材料》…『で』 / 《人を目的語にして,性質・能力があることを示して》…の中に / …の目的で,のつもりで,として / 《比率割合》…のうちで,につき / 《過去分詞に伴って》…に[…されて] / 『中へ』(に) / 『在宅して』,帰って / (乗り物などが)『到着して』,(時期・季節が)来て / 出回って,流行して / 《俗》流行の,当世風の / 《話》特定の人々にのみ理解される
in extremis	窮極に / 死に臨んで
in loco parentis	親の立場で,親の代りに
in memoriam	(碑文などで)…を記念して,追悼して
in one's good graces	(に)気に入られて・好意を持たれて・= in the good graces of one
in re	…に関して,の件について
in residence	学内に)居住の,(官邸・公邸住まいの
in situ	もとの場所に,本来の場所に
in so far as	…する限りにおいて
in total	全部で,全体として / 全く
in toto	全部で,全体として / 全く
in,in.	inch[es]
in-between	中間の,中間的な / 中間の[立場の]人(もの)
in-depth	(調査など)深奥をきわめた,徹底的な
in-flight	飛行中行われる,飛行中の
in-group	内集団,我々集団(内部の利割だけで団結した集団)
in-house	集団組織内の
