incandescent	白熱の,白熱光を出す / 光り輝く,輝かしい
incandescent lamp	白熱電球(一般の照明に用いられる電球)
incantation	〈C〉呪文(じゅもん),まじない / 〈U〉呪文(まじない)を唱えること
incapability	できないこと,不能,無能,不適格
incapable	『無能な』;役に立たない
incapably	無能力にも
incapacitate	〈物事が〉〈人〉を無能力にする
incapacity	無能,無力
incarcerate	…を投獄する
incarceration	投獄,監禁
incarnadine	…を赤くする,朱に染める
incarnate	肉体を備えた;人間の姿をした / …に人間の姿をとらせる,化身させる / 〈性質・観念など〉を具体化する
incarnation	〈U〉(神などが)人間の姿をとること / 〈C〉(神・霊魂などの)化身;(観念・性質などを)具体化した人(物),(…の)権化(ごんげ)《+『of』+『名』》 / 《the I-》顕現(神がキリストという人間の姿で現れること)
incase	=encase
incautious	不注意な,軽率な;無謀な
incendiarism	放火 / (暴動などの)扇動
incendiary	火事を起こす / 放火の,火をつける / 扇動的な / 《まれ》放火犯 / (またincendiary bomb, firebomb)焼夷弾(しょういだん)
incense	香,香料 / 香煙,香のかおり / (一般に)良いかおり,芳香 / 〈人〉をひどく怒らせる
incentive	刺激,動機,誘因
inception	初め,発端(beginning)
incertitude	確信(自信)のないこと / 不確実,不安定
incessant	『絶え間なく続く』,ひっきりなしの
incest	近親相姦(そうかん)
incestuous	近親相姦(そうかん)の
inch	『インチ』(尺度の単位で1/12foot,2.54cm;《略》『in.,in』) / わずかな距離,少量,少額,少し / 《まれ》《複数形で》身長,背たけ / …を少しずつ動かす / 少しずつ動く
inchoate	始まったばかりの,未発達の,未組織化の
inchworm	シャクトリムシ(尺取虫)
incidence	(病気・事件・犯罪などの)発生率,頻度;発生(影響)する範囲 / 投射[角],入射[角]
incident	『でき事』,事件,騒ぎ / (小説・劇中の)事件,挿話 / (…に)起こりやすい,ありがちな,伴って起こる《+『to』+『名』》
incidental	付随して起こる,付随した / 臨時の;予定外の / 付随的な事(物) / 《複数形で》臨時費,雑費
incidental music	(映画・劇などの)伴奏音楽
incidentally	付随して / 《通例文頭に用いて》ついでながら
incinerate	〈ごみなど〉を焼き尽くす
incineration	(不必要な物の)焼却
incinerator	焼却炉
incipience	初め,初期
incipient	始まりの,初期の
incise	…に切り込みを入れる;…を刻む
incision	〈U〉切り込むこと,刻み込むこと
incisive	鋭い;人を刺すような
incisor	門歯
incite	〈感情など〉をかき立てる / 〈人〉を刺激する
incitement	(…に対する)刺激,扇動 / (…を)刺激(扇動)するもの《+『to』+『名』》
incivility	〈U〉無作法,無礼 / 〈C〉無作法な行為
incl.	inclosure / including / inclusive
inclemency	気候(天候)の厳しさ
inclement	気候(天候)が厳しい,荒れ狂う / 〈人が〉非情な,冷酷な
inclination	〈C〉《単数形で》『傾くこと』,傾けること;《an inclination》『傾き』,傾斜,斜面(slope) / 〈C〉〈U〉《文》(物事の)『傾向』 / 〈C〉〈U〉《しばしば複数形で》(人の)『好み』,意向
incline	(…に)『心が傾く』,気が向く / 〈人・物が〉『傾向がある』(rend) / (…に)傾く,傾斜する;身をかがめる《+『to』(『toward』)+『名』》 / 〈物事が〉(…に)の心を向けさせる / (…に)…を傾ける,傾斜させる,かがめる《+『名』+『to』(『toward』)+『名』》 / 傾斜,こう配;斜面
inclined	《補語にのみ用いて》傾向がある,心が向く / 傾いた,斜めの
inclose	=enclose
inclosure	=enclosure
include	…を『含む』,包含する / (…の中に)…を入れる,込める《+『名』+『in』(『among, with』)+『名』》
included	…を含めて
including	…を含んで,入れて
inclusion	〈U〉(…を)中に含めること,(…の)包含《+『of』+『名』》 / 〈C〉中に含まれた物
inclusive	『全部を含んだ』,包括的な / 《数詞などの後に用いて》(勘定などに)含めて,入れて(《略》『incl.』)
incog.	incognito
incognito	変名の,匿名の,お忍びの / {副} / 変名で,匿名で,お忍びで / 匿名者,変名者
incoherence	〈U〉矛盾,支離滅裂 / 〈C〉矛盾した考え(言葉)
incoherent	(人・人の考え・社話・文章などが)支離滅裂な,つじつまの合わない,取り乱した
incombustible	不燃性の / 不燃性物質
income	(一定の)『収入』,所得
income tax	所得税
incoming	入って来る / 次に来る
incommensurable	同じ規準(尺度)で比較できない;(…と)比べ物にならない《+『with』+『名』》
