incontinence	自制のできないこと,不節制,淫乱(いんらん) / 大小便をもらすこと,失禁
incontinent	自制のできない,自制心のない;《古》(…を)自制できない《+『of』+『名』》 / 大小便をもらす,失禁の
incontrovertible	議論の余地のない,明らかな
incontrovertibly	議論の余地がなく,明らかに
inconvenience	〈U〉(…に)不便,不都合,不自由《+『to』+『名』》 / 〈C〉不便(不自由)な事(物) / 〈人〉に不便を感じさせる,迷惑をかける(disturb)
inconvenient	『不便な』,不自由な,迷惑な,都合の悪い
incorporate	〈事業など〉を法人[組織]にする / (…に)…を合併する,編入する,組み入れる,加入させる《+『名』+『in』(『into』)+『名』》,(…と)…を合併する《+『名』+『with』+『名』》 / 〈団体などが〉(…と)合併する,一体となる《+『with』+『名』》 / 法人[組織]の / 合併した,一体となった
incorporated	合体(合併,合同)した;(米国の)法人組織の,有限責任の(《英》limited)(『Inc.』と略して会社各の後につける)
incorporation	法人設立 / 編入,合併
incorporeal	実体のない,無形の;霊的な・形態のない
incorrect	『不正確な』,誤った / 適切でない
incorrectly	不正確に
incorrectness	不正確さ
incorrigibility	(人・行いなどが)矯正できないこと
incorrigible	(人・性質などが)直すことができない;がんこな / 矯正できない人,手に負えない人
incorrigibly	矯正できないぼど,根深く
incorruptibility	買収されないこと,清廉潔白 / 腐敗しないこと
incorruptible	買収されない / 腐らない;不朽の,不滅の
incorruptibly	腐らずに
incr.	increase / increased / increasing
increase	『増える』,『増大する』 / (…に)…を『増やす』《+『名』+『to』+『名』》 / (…の)『増加』,増大;〈C〉増加量(額)《+『of』(『in』,『on』)+『名』》
increasing	増大(増加)していく,しだいに増える
increasingly	ますます,だんだん(more and more)
incredibility	信じられないこと,信用できないこと
incredible	『信じられない』,信用できない / 途方もない,驚くべき(surprising)
incredibly	信じられないほど
incredulity	容易に信じないこと,懐疑,不信
incredulous	(人が)なかなか信じない,疑い深い / (表情・行動などが)疑うような,怪しむような
increment	〈U〉増加,増大;〈C〉増加量,増額 / 〈U〉利益,所得
incremental	増加の
incriminate	〈人〉に罪を負わせる,を罪に陥れる
incrimination	罪を負わせること(負わされること)有罪にすること,(されること)
incriminatory	罪を負わせる,有罪にする
incrust	=encrust
incrustation	=encrustation
incubate	〈鳥が〉〈卵〉を抱く,かえす;(人工的に)〈卵〉をふ化する / 〈考え・計画など〉をじっくりと考える,熟考する / 〈鳥が〉卵を抱く,巣につく;〈卵が〉かえる
incubation	ふ化 / (病気の)潜伏,潜伏期
incubator	ふ卵器,早産児保育器;細菌培養器
incubus	(眠っている女の人を犯すという)悪霊,夢魔;(一般に)悪夢 / 心の重荷,心を抑圧するもの(借金・試験など)
inculcate	(人・人の心に)〈教訓・考えなど〉を繰り返む,植え付ける《+『名』+『in』(『into,on,upon』)+『名』〈人〉》;(教訓・考えなどを)〈人・人の心〉に教え込む《+『名』〈人〉+『with』+『名』》
inculcation	繰り返し教え込むこと,心にたたき込むこと
inculpable	非難の余地がない,罪のない,潔白な
inculpate	=incriminate
incumbency	義務があること / 義務 / 聖職禄所有者(incumbent)の役目(任期)
incumbent	義務として掛かる,責務がある / 《名詞の前にのみ用いて》《おもに米》現職の,在職の / 《おもに米》現職者,在職者 / 受祿聖職者,受給聖者(英国国教会の教会を持ち聖職祿を持っている牧師)
incumber	=encumber
incumbrance	=encumbrance
incur	〈損害・非難・危険など〉を招く,こうむる
incurability	直らないこと,不治
incurable	(病気などが)不治の,治らない;(人が)直しようがない / 不治の病人
incurably	不治で,矯正しようもなく
incurious	好奇心のない,無関心の
incursion	(…への)襲撃,侵入,侵略《+『on』(『upon』,『into』)+『名』》
incurved	内側に曲がった
ind.	independent / index / indicative / industrial / industry
indebted	(…に対して…の)借金(負債)がある《+『to』+『名』+『for』+『名』》 / (…に対して…の)恩義を受けている《+『to』+『名』+『for』+『名』》
indebtedness	借金,負債額 / 恩義
indecency	〈U〉みだら;無作法 / 〈U〉みだらな言動
indecent	みだらな;無作法な
indecent assault	強制わいせつ罪
indecent exposure	公然わいせつ罪
indecipherable	(文字・暗号などが)判読できない
indecision	決断がつかないこと,優柔不断,ためらい
indecisive	優柔不断の,煮えきらない / 決定的でない,どっちつかずの
indecorous	無作法な,不体裁な
indecorum	〈U〉無作法,不体裁 / 〈C〉無作法な言動
indeed	《文全体または前の語を強調して》『実に』,全く / 《前に言ったことを確認あるいは強調して》実は,事実はそれどころか / 《譲歩を表して》『なるほど』,いかにも / 『まさか』,まあ,ほんとうかい
indef.	indefinite
indefatigable	疲れない;飽きない
indefensible	(攻撃などを)防げない / 弁護の余地のない
indefinable	定義できない,設明できない
indefinite	『不明確な』,不確定の,はっきりしない / (数・量・大きさなどが)不定の,限られていない
indefinite article	不定冠詞(a, an)
indefinite pronoun	不定代名詞(any,each,neitherなど)
indefinitely	『漠然と』,あいまいに
indefiniteness	不確定,不定
indelible	(汚れなどを)消すことのできない;(印象などが)忘れられない / 消えない跡を残す
indelibly	消えないように,永久に
indelicacy	〈U〉下品,野卑,無作法 / 〈C〉下品な言動
indelicate	下品な,野卑な,無作法な;なだらな
indemnification	〈U〉補償 / 損害賠償 / 〈C〉補償金 / 賠償金
indemnify	(損害・出費・けがなどに対して)〈人〉に保障を与える,(…から)〈人〉を保護する《+『名』〈人〉+『from』(『against』)+『名』》 / (損害に対して)〈人〉に賠償する,補償する《+『名』〈人〉+『for』+『名』》
indemnity	〈U〉損害保障,賠償 / 〈C〉賠償(補償)金
indent	…にぎざぎざをつける / …を字下がりにする(行をかえるとき1字下がりにする) / 《英》…を[公式の]注文書で注文する / ぎざぎざ,刻み目 / (行の)字下がり / 《英》公式の注文所 / …をへこませる;…に印などを打ち込む押す / へこみ,くぼ地
indentation	〈U〉ぎざぎざをつけること(がついてくること) / 〈C〉ぎざぎざ,刻み目 / 〈C〉(行の)字下がり
indented	ぎざぎざのある / 字下がりにした
indention	〈U〉節の第1行目の字下げ / 〈C〉字下げ分の空白 / 〈C〉《古》ぎざぎざ,刻み目
indenture	2通作成して取り交わした契約書(証書) / 《複数形で》(徒弟などの)年季奉公契約書 / (契約して)〈人〉を見習い(年季奉公)に出す
independence	(…からの)『独立』,自立,独立心《+『of』(『from』)+『名』》
independent	(他に)『頼らない』,依存しない / 『独立した』,ほかの支配(影響)を受けない / 『関係(関連)がない』,独自の / (収入・資産が)働かなくても暮らせるだけの / 独立者,独立したもの / 党派に属さない人(無所属議員,自由な投票者など)
independently	独立して,自主的に
indescribable	言葉では言い表せない,言語に絶する
indestructibility	破壊できないこと,不滅
indestructible	破壊できない,不滅の
indestructibly	破壊できないほどに
indeterminable	解決できない,決定できない
