index finger	=forefinger
index number	統計指数
index of refraction	(光の)屈折率
indexer	索引作成者
indicate	…の『表れ(徴候)である』(show) / …を『指し示す』,指摘する / …を簡単に述べる,知らせる
indication	〈U〉(…を)指摘(指示,表示)すること《+『of』+『名』》 / 〈C〉〈U〉表れ,徴候
indicative	《補語にのみ用いて》(…を)表す,表示する《+『of』+『名』》;(…であると)表す《+『that節』》 / (文法で)直説法の / (文法で)直説法
indicator	指示する人(物),指示器,表示器;指針 / (リトマスなどの)指示薬
indices	indexの複数形
indicia	(料金別納郵便物などの)証印
indict	(…の罪で)…を起訴する,共発する《+『名』+『for(on)』+『名』》
indictable	起訴(告発)されるべき
indictment	〈U〉起訴,告発 / 〈C〉起訴状
indifference	(…に対する)『無関心』,むとんじゃく,冷淡《+『to』(『toward』)+『名』》 / (…にとって)重要でないこと,ささいなこと《+『to』+『名』》
indifferent	(人が)『関心のない』,むとんじゃくな,冷淡な / よくも悪くもない,平均的な
indifferentism	宗教無差別主義(方針,政策) / (善悪・真偽などに対する)むとんじゃく
indigence	貧困,窮乏
indigenous	固有の,土着の,生まれながらの
indigent	極貧の
indigestible	消化しにくい,不消化の
indigestion	消化不良,不消化
indignant	『怒った』,憤慨した
indignantly	憤慨して
indignation	(不正・悪などに対する)『憤慨』,怒り《+『at』(『against, over』)+『名』》
indignity	〈U〉軽べつ(侮辱)すること;〈C〉軽べつの言葉(行為) / 〈U〉面目のないこと;〈C〉面目のない行為
indigo	〈C〉(一年生植物の)アイ / 〈U〉藍(あい)色,紺色 / 藍色の,紺色の
indirect	(道などが)『真っすぐでない』,回り道の / (話し方が)遠回しの,率直でない / (結果などが)『間接的な』,二次的な
indirect narration	間接叙述(間接的に話す表現)
indirect object	間接目的語
indirect speech	間接話法
indirect tax	間接税
indirectly	間接に,遠回しに
indirectness	間接的なこと,遠回しなこと
indiscernible	目に見えない,識別できない
indiscipline	訓練不足(欠如),不規律
indiscreet	無分別な,思慮のない,軽率な
indiscretion	〈U〉無分別,思慮のないこと,軽率;(情状酌量(しゃくりょう)の余地のある)不注意 / 〈C〉無分別な(軽率な)言動
indiscriminate	(選択などが)無差別な,見境のない
indispensability	欠くことのできないこと,必要不可欠
indispensable	『欠くことのできない』,絶対に必要な
indisposed	少し加減が悪い,気分が優れない / 気が向かない
indisposition	気分がすぐれないこと,少し加減の悪いこと / (…に)気が進まないこと《+『for』+『名』(do『ing』)》;(…する)気がしないこと《+『to』 do》
indisputable	議論(疑問)の余地のない
indisputably	議論(疑問)の余地なく,明白に
indissoluble	分解(溶解)できない;壊すことができない
indistinct	はっきりしない,ぼんやりした,不明りょうな
indistinguishable	区別できない;(…から)見分けのつかない《+『from』+『名』》
indite	〈演説・詩など〉を書く,作る
indium	インジウム(金属元素;化学記号はIn)
individual	《名詞の前にのみ用いて》『個々の』,個別の(separate) / 《名詞の前にのみ用いて》『個人的な』,一個人の / 『独特の』 / (全体に対する)『個人』,個体 / 《話》《形容詞と共に用いて》(…な)人
individualism	個人主義;利己主義
individualist	個人主義者;利己主義者
individualistic	個人主義的な;利己主義的な
individuality	〈U〉個性 / 《複数形で》個人的な特徴(特質,好み)
individualization,individualisation	個性化;個別化;区別
individualize, individualise	…に個性を与える / …を個々に考える / …を個々の好みに合わせる
individually	個々に,個別的に / 個人として,個人的に / 個性的に,独自のやり方で
individuate	…を個別化する / …に個性を与える
indivisibility	分割できないこと,不可分性
indivisible	分慨できない,不可分の;(数が)割り切れない
indivisibly	分割できないように,不可分で
indocile	不従順な
indoctrinate	(学説・原理・イデオロギーなどを)〈人〉に教え込む,吹き込む《+『名』〈人〉+『with』+『名』》
indoctrination	(学説・原理・イデオロギーなどを)教えこむこと,教化
indolence	無精,怠惰
indolent	無精な,怠惰な
indomitable	不屈の,負けん気の
indomitably	断固として
indoor	『室内の』,『屋内の』
indoor relief	救貧院内救助
indoors	『室内に』(『で』),『屋内に』(『で』)
indorse	=endorse
indorsement	=endorsement
indrawn	(息など)吸いこんだ
indubitable	疑う余地のない;明白な,確かな
induce	〈人〉に『勧めて』(…)『させる』 / …を『引き起こす』,もたらす(cause) / 〈電気〉を誘導する / …を帰納する
inducement	促す(誘因する)こと,誘因,動機;(…するよう)誘いこむこと《+『to』 do》
induct	(正式に)(…に)〈人,特に僧〉を就任させる《+『名』〈人〉+『into』+『名』》 / (…に)〈人〉を入会させる,軍隊に入れる《+『名』+『into』+『名』》
inductance	(電気の)インダクタンス,誘導係数
inductee	応召兵
induction	〈C〉《米》募兵 / 〈C〉(聖職・公職などへの)就任,就任式 / 〈U〉〈C〉(…を)引き起こすこと《+『to』+『名』》 / 〈U〉(電気の)誘導 / 〈U〉〈C〉(論理学・数学で)帰納,帰納法
induction coil	誘導コイル
inductive	帰納的 / (電気が)誘導の,感応の
indue	=endue
indulge	〈欲望など〉を『満足させる』;〈人〉の思いのままにさせる / 〈子供など〉を甘やかす / (欲望などを)『満足させる』,(…を)思いのままにする《+『in』+『名』(do『ing』)》
indulgence	〈U〉(欲望などに)ふけること,(…を)ほしいままにすること《+『in』+『名』(do『ing』)》 / 〈U〉〈C〉甘やかすこと,寛大 / 〈C〉道楽,好物 / (また『pardon』)〈U〉(カトリックで)免罪;〈C〉免罪符
indulgent	気ままな;寛大な,甘い
