infinitesimal calculus	微積分学
infinitive	『不定詞』(動詞形の一つで人称・数・時制によって変化しないもの) / 不定詞の
infinitude	〈U〉無限,無数 / 〈C〉無限大の数量
infinity	〈U〉無限であること / 〈C〉無限なもの,無限の空間(時間) / 〈C〉ばく大な量(数) / 〈C〉(数学で)無限大(記号∞)
infirm	(老齢・病気などで)体が弱い / 意志薄弱な,決断力のない
infirmary	(学校・工場などの)付属診療所,保健室 / 病院
infirmity	〈U〉虚弱,病弱 / 〈C〉病気,欠陥
infl.	influence / influenced
inflame	〈人〉を『興奮させる』,〈感情〉をあおる / 〈身体組織〉に炎症を起こさせる / 興奮する,激怒する / 充血する,炎症を起こす
inflamed	(体の一部が)赤くふくれた,炎症を起こした
inflammability	燃えやすいこと,可燃性 / 興奮しやすいこと
inflammable	{形}可燃性の / 燃えやすい / {形}興奮しやすい / 怒りっぽい(比喩的用法)
inflammation	〈U〉〈C〉炎症 / 〈U〉点火,燃焼 / 〈U〉興奮すること,激怒すること
inflammatory	炎症を起こす,炎症性の / 憤激させる,扇動的な
inflatable	ふくらませて使う
inflate	(空気・ガスなどで)…をふくらます《+『名』+『with』+『名』》 / 〈物価・株式など〉を釣り上げる;〈通貨〉を膨張させる / (誇り・満足などで)〈人〉を慢心させる《+『名』+『with』+『名』》 / ふくらむ,膨張する
inflated	(空気・ガスで)ふくらんだ / (文体・言語が)誇張した / (通貨が)膨張した / 《文》(人が)慢心した
inflation	『インフレーション』,インフレ,通貨膨張;物価の暴騰 / ふくらますこと,誇張 / ふくらんだ状態
inflationary	インフレの,通貨膨張の,物価騰貴の
inflationary spiral	悪性インフレーション
inflationist	インフレーション政策論者,通貨膨張論者
inflect	〈単語〉を語形変化(活用)させる / 〈声〉の調を変える;…に抑揚をつける / …を曲げる,屈曲させる
inflection, inflexion	〈U〉語形変化,屈折;〈C〉変化形,活用形 / 〈U〉(音声の)抑揚 / 〈U〉〈C〉湾曲,屈曲
inflectional	語形変化する,屈折の
inflexibility	曲げられないこと / 不屈 / 不変性
inflexible	曲がらない / (態度・心情などが)堅固な / 変えることができない,不変の
inflexibly	不屈に,がんこに
inflict	〈苦痛・打撃・罰など〉を『与える』,加える
infliction	〈U〉(苦痛・打撃・罰などを)与えること / 〈C〉苦痛,罰,やっかいなもの
inflorescence	開花 / 花序 / 花房 / 《集合的に》花
inflow	〈U〉流入 / 〈C〉流入物
influence	〈U〉〈C〉(…に対する)『影響』,感化,効力《+『on』(『upon』)+『名』》 / 〈C〉〈U〉(…に対する)『影響力』,勢力《+『over』(『with』)+『名』》 / 〈C〉(…に対して)影響力を持つ人(物),勢力家,有力者《+『on』+『名』》 / …に『影響を与える』,を左右する
