inhibitor	抑制する人(物) / 化学反応抑制剤
inhospitable	(人が)もてなしの悪い,無愛想な,不親切な / (場所などが)風雨を避ける所がない,吹きさらしの
inhospitably	もてなし悪く,無愛想に
inhuman	人間でない / 不人情な,残酷な
inhumane	薄情な,不人情な,冷酷な
inhumanity	〈U〉残忍,無慈悲 / 〈C〉残忍(無慈悲)な行為
inhumanly	不人情に,冷酷に
inimical	敵意のある(hostile);(…に)敵意を持つ,(…と)対立する《+『to』+『名』》 / 《補語にのみ用いて》(…に)害になる,有害な《+『to』+『名』》(harmful)
inimitable	まねのできない,無類の,無比の
inimitably	まねのできないほどに,無類に
iniquitous	不正の,不法の;邪悪な
iniquity	〈U〉不正,不法,邪悪
init.	initial
initial	『最初の』;語頭にある / (語の)最初の文字 / 《複数形で》(姓名の)『かしら文字』,イニシアル / …にかしら文字で署名する(印をつける)
initiate	…を始める / 《しばしば受動態で》(特に式を行って)(…に)〈人〉を入会させる《+『名』〈人〉+『in』(『into』)+『名』》 / 〈人〉に(…の)初歩を教える,秘伝(秘訣)を教える《+『名』〈人〉+『in』(『into』)+『名』》 / 新入りの,手ほどきを受けた / 新入会者;手ほどきを受けた人
initiation	〈U〉開始;創業 / 〈U〉入会,入門;〈C〉入会(入門)式 / 〈U〉手ほどき,伝授
initiative	開始,第一歩,手始め / 『主導権』 / 独創力,創意工夫;進取の精神 / (一般国民の)発議;発議権の手続き
inject	(…に)〈液体など〉を注射する,注入する《+『名』+『into』+『名』》;(…を)…に注射する《+『名』+『with』+『名』》 / (話などに)…を導入する,さしはさむ《+『名』+『into』+『名』》
injection	〈U〉〈C〉注射,注入 / 〈C〉注射液
injudicious	無分別な,無思慮な
injunction	(裁判所の)命令,差止命令,禁止命令 / (一般に)命令,指令
injure	…を『傷つける』,に損害を与える / 〈感情・名声など〉を『傷つける』,害する
injured	(身体が)傷つけられた / (感情・名声などが)傷つけられた
injurious	有害な,害を与える
injury	『負傷』,『損害』,損傷 / (名誉などを)傷つけること,侮辱《+『to』+『名』》
injustice	〈U〉不正 / 不公平 / 〈C〉不正な行為 / 不当な扱い
ink	(筆記用・印刷用)の『インク』 / (イカなどの出す)墨 / …をインクで書く(塗る,しるす,汚す)
inkblot	インクのしみ
inkblot test	(インクのしみの模様を使ってする)性格テスト,(特に)ロールシャッハテスト
inkbottle	=inkpot
inkiness	インクのついていること;まっ黒なこと
inkling	うすうす感づくこと / ほのめかし,暗示
inkpad	=pad
inkpot	インクつぼ,インクびん
inkstand	インクスタンド
inkwell	(特に卓上の)インク入れ,インクつぼ
inky	まっ黒な / インクのついた
inlaid	inlayの過去・過去分詞 / はめ込んだ,ちりばめた;象眼模様で装飾した
inland	『内陸の』,奥地の / 《おもに英》『国内の』,内地の / 内陸(奥地)へ(に) / 内陸,奥地,国内
inlay	(金・銀・象牙(ぞうげ)などを)…にはめ込む,象眼する《+『名』+『with』+『名』》;(…に)〈金・ 銀・象牙など〉を『はめ込む』《+『名』+『into』(『in』)+『名』》 / 〈U〉〈C〉象眼模様,象眼材料 / 〈C〉インレー(金属・陶材の歯の充てん物)
inlet	入り江 / (水などの)入り口
inmate	(病院・養老院・刑務所などの)入院者,収容者,受刑者
inmost	=innermost
inn	『宿屋』,小さな旅館
innards	内臓 / (物の)内部,中身
innate	生まれつきの,生得の(inborn) / 本質的な
inner	『内側の』,『内部の』,奥の / 『精神の』,心の / 親密な;内密の
inner city	都心部,スラム街
inner ear	内耳
inner tube	(タイヤの)チューブ
inner-directed	自己の価値観のみに従う,内的指向の
innermost	いちばん奥の,最も深い,心の奥底の
innersole	靴の内底
innerspring	内ばねの
innervate	…の神経を刺激する,〈神経・器官〉を刺激する / …に神経を分布させる
inning	(野球・クリケットの)回,イニング
innkeeper	宿屋の主人
innocence	『無罪』,潔白 / (心身の)純潔 / 『無邪気』,あどけなさ / 無知 / 無害
innocent	(人が)『無罪の』,潔白な / (心の)純潔な,無邪気な,天真らんまんな / (物事が)悪意のない,額のない / 単純な,おめでたい / 《補語にのみ用いて》《話》(…を)欠いている,(…が)全然ない《+『of』+『名』》 / 無邪気な人,(特に)あどけない子供 / お人よし,単純な人
innocently	無邪気に;罪なく
innocuous	無害の
innominate	名の無い,無名の
innovate	〈新しいもの〉を取り入れる / (…を)革新する,刷新する《+『in』(『on』)+『名』》
innovation	〈U〉革新,刷新 / 〈C〉新機軸,新制度,改革の行為
innovator	革新者
inns of Court	法曹学院(英国の法廷弁護士が所属する四つの法曹団体)
innuendo	(悪意のある)暗示,風刺,当てこすり
innumerable	『無数の』,数えきれないほどの(countless)
innumerably	数えきれないほど,無数に
inoculate	(…に備えて…を)〈人・動物〉に予防接種をする《+『名』+『against』+『名』+『with』+『名』》 / (人・動物などに)〈病原菌など〉を予防接種する《+『名』+『into』+『名』》
inoculation	予防接種すること:〈C〉予防注射
inoffensive	害にならない;不快に感じさせない,当たりさわりのない
inoperable	(症状が)手術できない
inoperative	効力がない,作用しない;(法律・規則などが)無効の
inopportune	時機を失った,折の悪い,不適当な / 折あしく
inordinate	過度の,法外な
inorganic	無生物の / 無機の
inorganic chemistry	無機化学
inorganically	無機的に
inpatient	入院患者
input	投入,投入量 / (機械・電気)などの入力 / インプット(電子計算機の入力)
inquest	(陪審員列席で行う)(…の)死因審問《+『on』+『名』》
inquietude	不安,心配
inquire	…を『尋ねる』,問う / 尋ねる,問い合わせる
inquirer	尋ねる人,調べる人,尋問者
inquiring	物を知りたがる,せんさく好きな
inquiringly	不審そうに,尋ねたそうに
inquiry	(…についての)『質問』,問い合わせ《+『about』+『名』》 / (…の)『調査』,研究《+『into』(『about, on』)+『名』》
inquisition	〈U〉〈C〉きびしい尋問,取り調べ / 《the I-》(昔の)宗教裁判[所],異端審問[所]
inquisitive	むやみに知りたがる,せんさく好きの
inquisitor	取り調べ官,尋問者 / 《I-》(昔の)宗教裁判官,異端審問官
inquisitorial	取り調官のような,せんさく好きの
inroad	(…への)突然の攻撃,侵略,侵害,食い込み《+『on』(『upon, into』)+『名』》
inrush	突入, 侵入,来襲・流入,殺到 〔of〕
ins and outs	複雑な事情,詳細 / 特質,特性
ins.	inches / insurance
insalubrious	(気候・風土が)建築によくない,不健康な
insane	狂気の,正気でない / 精神異常者のための / 気違いじみた,非常識な,とっぴな
insanitary	非衛生的な,健康によくない(unhealthy)
insanity	〈U〉狂気,精神錯乱
