insatiable	飽くことのない,満足することを知らない
insatiably	飽くことなく,どん欲に
insatiate	満足することない,飽くことのない
inscribe	(物・心などに)〈言葉・文字など〉を記す,彫る,刻む,書く《+『名+on(in)+名』》 / (言葉・文字などを)〈物・心など〉に記す,彫る,刻む,書く《+『名+with+名』〈言葉・文字など〉》 / (人に)〈著作・写真など〉を署名して贈る(献呈する)《+『名+to(for)+名〈人〉』》
inscription	〈U〉記す(刻む)こと,銘刻 / 〈C〉『銘,碑文』;(貨幣などの)刻銘 / 〈C〉(寄贈図書などの)献呈の辞
inscrutability	計り知れないこと,不可解
inscrutable	計り知れない,不可解な
inscrutably	不可解に,なぞめいて
inseam	(ズボンのすその折り返し,靴などの)内側の縫い目
insect	『昆虫』;(一般に)虫
insect powder	殺虫剤
insecticidal	殺虫剤の,殺虫の
insecticide	殺虫剤
insectivore	食虫動物(植物)
insectivorous	食虫性の,虫を食う
insecure	(物が)崩れやすい,ぐらぐらする / 保証されていない,不安定な / (人が)自信のない,心配な;(…に)自信のない《+『about(of)+名』》
insecurity	〈U〉不安 / 自信のなさ(精神的・感情的な不安定さ) / 〈U〉安全でないこと / 危険性(物理的・社会的な不安定さ)/ 〈C〉不安要素 / 危険な状態
inseminate	〈思想など〉を吹き込む
insemination	受精
insensate	感覚(生命)のない / 感受性(思いやり)のない,無情な;(…に)感受性がない《+to+名》 / 理性を欠いた
insensibility	(…に対する)無感覚《+『to+名』》 / (…に対して)感受性のないこと,無関心《+『to+名』》 / 人事不省
insensible	《補語にのみ用いて》(痛みなどに)無感覚の《+『to+名』》 / 意識を失った,人事不省の / 《補語にのみ用いて》(…に)無感動な,無関心な《+『to+名』》 / 《補語にのみ用いて》(…に)気づかない《+『of+名』》 / 気がつかないほどの
insensibly	(気がつかないほど)わずかに,徐々に
insensitive	(精神的・感情的に)鈍感な,感受性の鈍い;(…に)鈍感な《+『to+名』》 / (身体的・物質的に)無感覚な;(…を)感じない《+『to+名』》
insensitivity	無感覚,鈍感
insentient	感覚(知覚)のない;感情のない,非情な
inseparability	分離できないこと,不可分
inseparable	分けられない,分離できない
inseparably	分けられないで,離れられずに
insert	(…に)…を『差し込む』,挿入する《+『名』+『in』(『into, between』)+『名』》 / 挿入物;(別刷りの)差し込みページ;(新聞などの)折り込みビラ
insertion	〈U〉挿入,差し込み / 〈C〉挿入物;(新物の)折り込み広告;(語句の)書き加え;(レース刺繍(ししゅう)の)縫いつけ,はめ込み
inset	(…に)…を挿入する《+『名』+『in』(『into』)+『名』》;(…を)…に差し込む《+『名』+ 『with』+『名』》 / (新聞・書物の)差し込みページ;(大きな図表・地図などの中にはめ込まれた)差し込み図(地図,絵)
inshore	海岸に近い,近海の;海岸に向かう / 海岸に向かって
inside	《the~》(物事の)『内部,内側』;内面 / 《しばしば複数形で》《話》おなか,腹 / 『内部の』,内側の;内面の;秘密の;(野球で)内角の / 『中へ』(で),屋内で(に)(indoors) / 『…の中で』(に,へ) / …以内に
inside track	(トラックの)内側走路 / 《米》(競争などで)有利な立場
insider	内部の人,会員,部員 / 《話》内幕を知っている人,消息通
insidious	人をだます,陰険な / (病気など)潜行性の
insight	『洞察[力]』,眼識;(…を)見通す力《+『into』+『名』》
