instinctive	本能的な,天性の
instinctively	本能的に
institute	〈学校・政府・規則など〉を『設ける』,設立する,制定する / 〈調査・訴訟など〉を始める,起こす / (学校・研究所・学会などの)『教育』(『学術』)『機関』
institution	〈U〉『設立』,制定,開始 / 〈C〉『慣例』,制度,慣習 / 〈C〉『公共機関』(学校・病院など);学会,協会;その建物
institutional	制度の,制度上の / 学会の,協会の;公共団体の
institutionalize,institutionalise	…を公共機関(施設)にする,公共機関として扱う / (施設に)〈人〉を収容する
instr.	instructor / instrument
instruct	…に知識(情報,技術など)を与える,教える,知らせる / 〈人〉に『指示する』,命令する
instruction	〈U〉(…の)『教育』,教授(teaching)《+『in』+『名』》 / 《複数形で》『命令』,指図(orders, directions);(…せよとの)命令《+『to』 do》 / 〈U〉(教えられた)知識,教訓
instructional	教育の,教育的な
instructive	『ためになる』,
instructor	教師,指導者 / 《米》(大学の)専任講師(assistant professorの下位の職)
instructorship	講師の身分(地位)
instrument	(主として精密な)『器具』,器械,計器・(また『musical instrument』)『楽器』) / 手段,方便(means);(人の)手先 / 法律文書(証書・遺書・協定書・約束手形など
instrumental	役立つ;(…をするのに)役立つ《+『in』 do『ing』》 / 楽器の,器楽の
instrumentalist	〈C〉器楽奏者(楽器を演奏する音楽家)/ 〈C〉〔哲学・科学での〕道具主義者
instrumentality	〈U〉何かを実現するための手段・働き / 〈C〉手段 / 媒介物(助けとなるもの) / 〈C〉機関 / 組織(目的を果たすために使われる団体)
instrumentation	(特にオーケストラのための)器楽編法[法] / (特に科学・産業での)器具(器械)の使用
insubordinate	従順でない,反抗的,反抗的な;(…に)従わない《+『to』+『名』》
insubordination	不服従,不従順,反抗
insubstantial	実体のない,非現実的な,架空の / 薄弱な,かすかな,もろい
insufferable	我慢のできない(unbearable)
insufferably	たまらなく,我慢できなてほどに
insufficiency	不十分な[点],不足;不適当,不向き
insufficient	不十分な,不適当な
insular	島の,島に住む,島にある,島から成る / (島のように)孤立した
insularity	島[国]であること / 島国根性,偏狭
insulate	〈電線など〉を絶縁する / …を分離する,隔離する
insulation	(熱・電気・音などの)絶縁,絶縁体,絶縁材 / 隔離,孤立
insulator	(電気の)絶縁体,絶縁器,がいし
insulin	インシュリン(膵臓(すいぞう)ホルモンで糖尿病治療剤)
insult	〈人・物など〉を『侮辱する』,はずかしめる / (…に対する)『侮辱』,侮辱的な言動《+『to』+『名』》
insulting	侮辱的な,無礼な
insuperable	打ち勝ちがたい,克服できない
insuperably	打ち勝ちがたいほどに
insupportable	耐えられない
insurable	保険がつけられる
insurance	〈U〉保険, 保険契約 / 〈U〉保険金, 保険料 / 〈U〉保険業
insure	…を『保証する』,請け合う / 〈人・財産など〉に『保険をかける』,を損害保証する
insured	保険をかけている / 被険者,保険契約者
insurer	保険業者,保険会社;保証人
insurgent	暴動(反乱)を起こした / 暴徒,謀反(むほん)人,反乱者 / 《米》党議に従わない人,反党分子
insurmountable	越すことのできない,打ち勝ちがたい
insurrection	暴動,反乱
insurrectionist	反乱者,暴徒
int.	interest / interior / interjection / internal / international / intransitive
intact	手をつけない,損なわれない
intaglio	〈U〉沈み彫り / 〈C〉沈み彫り模様;沈み彫りした物
intake	〈C〉(導管などの水・空気などの)取り入れ口 / 〈C〉取り入れ,吸い込み / 〈U〉摂取量;取り入れたもの
intangibility	触れることのできないこと / 漠然としてつかみどころのないこと
intangible	触れることができない / 雲をつかむような,はっきりしない
intangibly	触れることができないで / ばく然と
integer	整数
integral	全体の一部分として欠くことのできない,完全なものになるに必要な / 完全無欠な / (数学で)整数の
integral calculus	積分学
integrate	(…に)…を統合する,まとめる《+『名』+『into』(『with』)+『名』》 / 〈学校など〉の人種差別をなくす / (…と)統合する,まとまる《+『with』+『名』》 / 〈学校などが〉人種差別をなくす
integrated	統合(統一)された / (学校などが)人種差別しない
integrated circuit	集積回路
