intumescence	〈U〉はれあがること / 〈C〉はれもの
inundate	…を水浸しにする / 《しばしば受動態で》〈人・物が〉(洪水のように)…に殺到する
inundation	〈U〉〈C〉氾濫(はんらん)・洪水・浸水・ 充満・(人・物の)殺到《+『of』+『名』》
inure	(…に)〈人〉を慣れさせる《+『名』〈人〉+『to』+『名』(do『ing』)》
inv.	invoice
invade	〈敵が〉…に『侵入する』 / 〈人が〉…に『押し寄せる』 / 〈権利など〉を『侵害する』(violate) / 〈病気などが〉…をおかす
invalid	侵入者,侵略者,侵害者 / (特に長期間の)『病人』,病弱な人,傷病者 / 『病弱な』,健康がすぐれない / 病人のための,病人用の / (病気・けがで)〈人〉の体を悪くする,を病人にする / 法的効力のない / (言い訳・主張・議論などが)説得力のない,根拠の弱い
invalidate	〈遺言・協定など〉を無効にする
invalidism	病弱,病身 / 人口に対する病人の比率
invalidity	無効,無価値 / =invalidism
invaluable	計り知れないほど貴重な
invaluably	評価できないほど
invariability	不変性,変わらないこと
invariable	不変の,一定の
invariably	いつも変わらずに,必ず,常に
invasion	(敵軍の)侵入,侵略《+『of』+『名』》 / (人・物の)殺到;(災害などの)襲来《+『of』+『名』》 / (権利などの)侵害《+『of』+『名』》
invasive	(戦争などが)侵略的な / (言葉などが)立ち入った,出過ぎた
invective	激しい非難;ののしり;《複数形で》悪口雑言(ぞうごん)
inveigh	(…を)痛烈に非難する,ののしる《+『against』+『名』(do『ing』)》
inveigle	(ある場所に)〈人〉をおびき寄せる,(ある行為に)〈人〉をそそのかす《+『名』+『into』+『名』(do『ing』)》
invent	…を『発明する』,考え出す / …を『でっち上げる』
invention	〈U〉(…の)『発明』《+『of』+『名』》 / 〈C〉『発明品』 / 〈U〉〈C〉『作り事』,でっち上げ / 〈U〉発明の才[のあること]
inventive	発明の才のある;発明の
inventor	(…の)『発明者』,考案者《+『of』+『名』》
inventory	〈C〉(商品・財産などの)目録《+『of』+『名』》 / 《集合的に》在庫品;資産 / 〈U〉在庫品調べ,たな卸し / 〈財産・商品など〉の目録を作る,品調べをする
inverness	インバネス(とりはずしのできる長いケープのついた外とう)
inverse	(順序・位置・方向などが)逆の,反対の / (…の)逆,反対[のもの]《+『of』+『名』》 / 逆数
inverse proportion	反比例
inversion	反対,転倒 / (文法で)倒置[法]
invert	…を逆さまにする / 〈順序・位置・関係など〉を反対にする
invertebrate	(動物が)脊椎(せきつい)のない,無脊椎動物の / 無脊椎動物
inverted comma	=quotation
invest	(…に)〈金など〉を『投資する』《+『名』+『in』+『名』》 / (…に)〈時間・努力など〉をつぎ込む《+『名』+『in』+『名』(do『ing』)》 / 《しばしば受動態で》(権力などを)〈人〉に付与する《+『名』+『with』+『名』》 / 〈人〉を就任させる / (性質・特質などを)〈人・物〉に帯びさせる《+『名』+『with』+『名』》;(人・物に)〈性質・特質など〉を付与する《+『名』+『in』+『名』》 / 《文》〈軍隊が〉…を包囲する / (…に)投資する,(…を)買う《+『in』+『名』》
investigate	(注意深く)〈問題・事件など〉を『調べる』,研究する / (…を)『調査する』《+『into』+『名』》
investigation	(…の)『調査』,取り調べ,研究《+『of』(『into』)+『名』》
investigator	調査者,研究者
investiture	任命,叙位;叙任式
investment	〈U〉〈C〉(…を…へ)投資すること,出資《+『of』+『名』+『in』+『名』》 / 〈C〉(…への)投下資本,投資金《+『in』+『名』》 / 〈C〉投資の対象
investor	投資者
inveterate	常習的な / (伝統・習慣など)根深い
invidious	(人・言葉などが)しゃくにさわる;不快な / 分けへだてする,不公平な
invigilate	試験(受験者)の監督をする
invigorate	…を元気づける;…を励ます
invincibility	打ち勝ちがたいこと,無敵;不屈
invincible	打ち勝ちがたい;(精神などが)不屈の
inviolability	侵してはならないこと,不可侵性
inviolable	侵してはならない / 侵すことのできない
inviolate	(約束などが)破られていない / (場所が)汚されていない
invisibility	目に見えないこと
invisible	『目に見えない』;(…に)見えない《+『to』+『名』》
invisibly	目に見えないように,目につかないほどに
invitation	〈C〉招待,案内 / 〈C〉(…への)『招待状』《+『to』+『名』》 / 〈C〉(…を)勧誘(誘惑)するもの《+『to』+『名』》
invitational	招待者に限る,招待者のみ参加できる
invite	(…に)〈人〉を『招待する』,招く《+『名』〈人〉+『to』+『名』》 / …を丁重に依頼する / 〈物事が〉…を誘い起こす,誘発する
inviting	心を引く,誘うような
invocation	(神への)祈り,祈願《+『to』+『名』》 / (悪魔を呼び出す)呪文(じゅもん),まじない
invoice	送り状(値段や輸送料をつけて,買い手に送る品物のリスト) / …の送り状を作る
invoke	(救いを求めて)〈神〉に呼びかける,祈願する / …を懇願する / 〈悪魔など〉を呼び出す / 〈法律など〉に訴える
involucre	(花の茎部にある)総包 / 外被
involuntarily	いやいやながら;無意識に
