iron curtain	《the~》鉄のカーテン(第二次世界大戦後の旧ソ連と西欧間の障壁)
iron foundry	鋳鉄所,製鉄所
iron horse	《the~》《古・詩》機関車
iron lung	鉄の肺(鉄で全胴体を包んだ呼吸補助装置)
iron oxide	酸化鉄
iron pyrites	黄鉄鉱 / 白鉄鉱 / 磁硫鉄鉱
iron rations	《複数形》非常携帯食
iron-grey	鉄灰色の
ironbound	鉄で巻かれた / 岩の多い,ごつごつした / 堅い,曲げられない
ironclad	《古》(船などが)装甲の / 《米》(契約・規則などが)変更を許さない
ironic,ironical	皮肉な;反語の
ironically	皮肉に,反語的に
ironing	アイロンかけ / アイロンかけをした(をする)衣類
ironing board	アイロン台
ironmold,ironmould	鉄さび;インキのしみ
ironmonger	《英》鉄器商,金物屋
ironmongery	〈U〉金物類,鉄器類(hardware) / 〈C〉金物屋,金物商
ironstone	鉄鉱石 / 白色硬質陶器
ironware	鉄製品
ironwork	《集合的に》鉄製品;《複数形で》製鉄所;鉄工所
irony	〈U〉『皮肉』,『風刺』;反語[法] / 〈C〉(運命の)皮肉,(具体的な事例としての)皮肉な成り行き
irradiate	〈光・灯火などが〉…を照らす;〈喜びなどが〉〈顔など〉を明るくする;〈問題など〉に光を投げる / …に放射線を当てる;…を放射線で治療する / 〈光・熱・輝きなど〉を放射する;〈愛情・祝福など〉をそそぐ
irradiation	照らす(照らされる)こと;発光 / (知的)啓発,開明 / 放射線治療
irrational	理性のない / 理性に反する,ばかげた(absurd)
irrationality	不合理性
irreclaimable	(土地が)埋め立てできない,開墾できない / 回復できない,取り返しのつかない
irreconcilable	(人などが)和解できない / (事実など)両立しない,折り合いのつかない
irrecoverable	(金・時間などが)取り戻せない;(損失・災害などが)回復できない
irredeemable	(抵当などが)買い戻しできない / (紙幣が)正金に換えられない / (罪人などが)救いがたい
irredentist	領土回復主義者,民族統一主義者
irreducible	(それ以上)削減(減少)できない / 《補語にのみ用いて》(…に)変えられない,簡約化できない《+『to』+『名』》
irreducibly	削減できないほどに
irrefragable	論争の余地のない,反論できない,否定できない
irrefutable	(事実・論理・証拠などが)反ばくできない
irreg.	irregular / irregularly
irregular	『不規則な』;不定の / (行いなどが)不規律な,乱れた / 不ぞろいな / (文法で)不規則変化の / 正規でない人(物),非正規兵 / 特価品
irregularity	〈U〉不規則であること / 異常(通常のパターンからの逸脱)/ 〈C〉不正行為 / 違反 / 〈C〉異常な事態 / 乱れ
irregularly	不規則に;不ぞろいに
irrelevance	〈U〉見当違い / 〈C〉見当違いの言葉(もの)
irrelevancy	=irrelevance
irrelevant	見当違いの;取るに足りない
irreligious	無宗教の / 不信心な,不敬な
irremediable	(病気・悪習・欠点などが)直せない;(失敗・損失などが)取り返しのつかない
irremediably	取り返しのつかないほどに
irremovable	動かせない,転任させられない,解雇できない
irreparable	取り返しのつかない;修復できない
irreplaceable	(物・人が)替えるもののない,かけがえのない
irrepressible	抑えられない,制しきれない
irreproachable	(行いなどが)非難の余地がない,申しぶんない
irresistible	抵抗できない;(感情などを)抑えられない / ひじょうに魅力的な,人を悩殺する
irresistibly	抵抗できないほどに,いやおうなく
irresolute	(人が)決断力のない;(議論などが)ぐずぐずした
irresolution	不決断,優柔不断
irrespective	《be irrespective of+名》(に)かかわりない
irresponsibility	無責任
irresponsible	(人・行為・意見などが)無責任な / (人が)責任のない,責任を問われない
irresponsibly	無責任に
irretrievable	(過失・損失などが)取り返しのつかない,元どおりにならない
irreverence	〈U〉不敬,非礼 / 〈C〉無礼な言動
irreverent	(行い・言葉などが)不敬な,非礼な
irreversible	逆にできない,裏返しできない / (決定などが)取り消しできない,変更できない
irrevocable	(過去などが)呼び戻せない;(言葉・決定などが)取り消し(変更)できない
irrevocably	取り消し(変更)できないように,取り返しのつかぬほどに
irrigate	〈土地〉に水を引く,を潅漑(かんがい)する / 〈傷口など〉を洗浄する
irrigation	潅漑(かんがい) / (傷口などの)洗浄
irritability	怒りやすいこと,短気 / (刺激に対する)感応性
irritable	(人・気質などが)怒りっぽい,短気な,(気分などが)いらいらした / 敏感な / (身体・器官などが)刺激を感じる,炎症性の
irritably	怒りやすく,過敏に
irritant	刺激する,興奮させる / 刺激物,刺激剤
irritate	…を『怒らせる』,『いらだたせる』 / …を刺激する;…に炎症を起こさせる
irritating	いらだたせる
irritation	〈U〉いらだち;立腹,かんしゃく / 〈C〉炎症
irrupt	(…に)侵入する,突入する《+『into』+『名』》 / 〈動物などが〉急増する
irruption	(突然の)侵入,突入
is	beの三人称・単数・現在
ischium	座骨
isinglass	にべ(魚の浮き袋から取ったゼリー) / 雲母(うんも)
isl.	island / isle
island	『島』 / 島に似たもの;(街路上の)安全地帯(《米》safety island,《英》traffic island)
islander	島の住民
isle	《詩》島(island)
islet	小島
ism	主義,主張,学説
isn't	is notの短縮形
isobar	(地図上の)等圧線
isolate	(…から)…を『孤立させる』;…を『分離』(『隔離』)『する』《+『名』+『from』+『名』(do『ing』)》
isolated	孤立した;隔離された
isolation	孤立;隔離,分離
isolationism	孤立主義
isomer	異性体(分子式が同一で性質が異なる化合物) / 異性核(同じ原子番号を持つが放射特性の異なる原子核)
isoprene	イソプレン(主として合成ゴム製造用の揮発性液体)
isosceles	二等辺の
isostasy	地殻均衡(地球の地殻で押し上げようとする力と押し下げようとする力が均衡している状態)
isotherm	(地図上の)等温線
isothermal	一定温度で起こる,等温の
isotonic	等張の(2種の溶液の浸透圧が等しい)
isotope	同位元素,アイソトープ
issuance	発行,発布;配給
issue	〈U〉(印刷物などの)『発行』;(法令などの)発布,公布《+『of』+『名』》 / 〈C〉『発行物』,号,版 / 〈U〉(…の)流出《+『of』+『名』》;〈C〉流出物 / 〈C〉『問題』,『問題点』 / 〈U〉《古》《集合的に》子,子孫 / 〈C〉《まれ》(…の)結果,なりゆき《+『of』+『名』》 / (…から)『出てくる』,流れ出る《+『from』+『名』》 / (…に)由来する,(…から)起こる《+『from』+『名』(do『ing』)》 / 《古》(結果的に)(…に)なる《+『in』+『名』》 / 〈命令など〉を出す,発令する;…を公布する / 〈雑誌など〉を『発行する』 / (人に)…を支給する《+『名』〈物〉+『to』+『名』〈人〉》;(衣料・食糧などを)〈人〉に支給する《+『名』〈人〉+『with』+『名』〈物〉》
isthmian	地峡の / 《I-》コリント地峡の,パナマ地峡の
