isthmus	地峡
it	《すでに述べられた物・事または幼児,動物などを指して》『それは』(『を』),そのものは(を),そのことは(を) / 《その場の状況で相手に何であるか分かるような物・事または人を指して》『それは』(『を』),そのことは(を) / 《天候・時間・距離・事情・状態などを指して》 / 《It seems(happens, appears… )thatなどの形で》 / 《形式主語として》 / 《形式目的語として》 / 《It is … that(who, which)の形で…を強調して》 / 《ある種の動詞・前置詞に添える形式上の目的語として》 / 〈C〉(遊戯の)鬼 / 〈U〉《話》理想,第一人者 / 〈U〉《話》性的魅力
it'd	it would, it hadの短縮形
it'll	it willの短縮形
ital.	italic; italics / italicized
italic	(活字が)イタリック体の / 《複数形で》イタリック体活字,斜字体
italicize,italicise	…をイタリック体活字で印刷する
itch	〈C〉《an~》かゆい感じ,かゆみ;《the~》(皮膚病の)疥癬(かいせん) / 《an~》うずうずする欲望,むずむずする気持ち / 〈人・体の一部が〉かゆい,むずむずする / 《しばしば進行形で》むずむずする,欲しくてたまらない
itchiness	かゆいこと,むずむずすること
itchy	かゆい,むずむずする / 欲しがる,うずうずする
item	『項目』;『種目』,品目;箇条 / 『新聞記事』;(新聞記事の)一節 / (項目を数え上げるとき)一つ(…);さらにまた,同様に
itemize,itemise	…を箇条書きにする;…を項目別に分ける
iterate	…を繰り返して言う(する)
iteration	反復,繰り返し
itinerant	《名詞の前にのみ用いて》(聖職者・裁判官・セールスマン・役者などが)巡回する
itinerary	旅程,旅行日程 / 旅日記 / 旅行案内
its	『それの』,その / it is, it hasの短縮形
itself	《強意用法》《名詞と同格に用いて》『それ自身』,『それ自体』,そのもの / 《再帰用法》《動詞・前置詞の目的語として》『それ自身を』(『に』),それ自体を(に)
itsy-bitsy	=itty-bitty
itty-bitty	《幼児語》ちっちゃい
ivied	ツタ(ivy)でおおわれた
ivory	〈U〉『象牙』(ぞうげ) / 〈C〉《しばしば複数形で》象牙製の物 / 〈U〉象牙色 / 象牙の[ような];象牙色の
ivory tower	象牙の塔(実社会から離れた思索の場所)
ivy	ツタ
