J	(連続するものの)10番目,第10番のもの
J,j	英語アルファベットの第10字 / J字形のもの / joule
J.	(カードの)Jack / Journal / Judge / Justice
J.A.	Judge Advocate(米海軍)法務官
J.C.	Jesus Christ / Julius Caesar
J.C.S.,JCS	Joint Chiefs of Staff 統合参謀本部
J.D.	Doctor of Jurisprudence / Doctor of Laws / Justice Department / Juris Doctor 法学博士
J.P.	Justice of the Peace 治安判事
JD	〈略〉Juris Doctor(法学博士) / 〈略〉job description(職務記述書) / 〈略〉Jack Daniel's (米のウイスキーブランド「ジャックダニエル」)
JP	jet propulsion
JV,J.V.	junior varsity
Ja.	January
Jack Frost	霜,厳寒
Jacob	ヤコブ(旧約聖書「創世記」でIsaacの子Esauと双生児;その12人の息子がイスラエル12部族の祖となった)
Jacob's ladder	〈C〉天界へのはしご(ヤコブの梯子) / (船や建物などの)綱梯子 / 〈C〉(植物)ハナシノブ属の植物
Jacobean	ジャコビアン朝の(James1世が英国王であった時代;1603‐1625) / James1世時代の人
Jacobite	ジャコバイト(1688年の革命後James2世を支持した人;Stuart王朝復活派)
Jakarta	=Djakarta
Jam.	Jamaica
Jamaica	ジャマイカ(キューバ南方にある西インド諸島中の国;首都Kingston)
Jamaican	ジャマイカの;ジャマイカ人の / ジャマイカ人
James	ヤコブ書(新約聖書の一書;《略》『jas.』)
Jamestown	ジェームズタウン(米国Virginia州東部の史跡;英国最初の植民地の一つ)
Jan.	January
January	『1月』(《略》『Ja.,Jan.』)
Janus	(ローマ神話の)ヤーヌス(門口と事の初めをつかさどる神で,前後を眺める両面の顔をもつ;Januaryはこの神に由来する)
Jap.	Japan / Japanese
Japan	『日本』
Japan Current	=Black Stream
Japanese	『日本の』;『日本人』(『語』)『の』 / 〈C〉『日本人』;《集合的に》日本人 / 〈U〉《冠詞をつけないで》『日本語』
Japanese beetle	マメコガネ(植物の害虫)
Japanese lantern	=Chinese lantern
Japanese quince	ボケ
Japanize,Japanise	…を日本化する,日本ふうにする
Jason	イアソン(ギリシア神話で金の羊毛を捜しに大船アルゴーで遠征した英雄)
Java	ジャワ島(インドネシア共和国の主島) / 《java》《米話》(一般に)コーヒー
Javanese	ジャワの;ジャワ人(語)の / 〈C〉ジャワ人 / 〈U〉ジャワ語
Jaycee	青年商工会議所(junior chamber of commerce)の会員
Je.	June
Jeanne d'Arc	=Joan of Arc, ジャンヌダルク(1412‐1431)
Jefferson	ジェファーソン(『Thomas~』;1743‐1826;米国第3代大統領(1801‐09)で独立宣言の起草者)
Jehovah	エホバ(旧約聖書に出てくる主(しゅ),すなわちイスラエル人の神の名)
Jehovah's Witnesses	エホバの証人(19世紀後半に米国で創立されたキリスト教の分派;ものみの塔(Watch Tower)ともいう),エホバの証者
Jer.	Jeremiah
Jeremiah	エレミヤ(紀元前6‐7世紀のヘブライの大預言者) / (旧約聖書の)エレミヤ書 / 《またj-》悲観主義者
Jericho	エリコ(死海の北方にあるパレスチナの古都)
Jersey	ジャージー島(イギリス海峡諸島中の最大の島で,乳牛の産地) / 〈C〉ジャージー牛(乳牛の一種) / 〈C〉《米》《口》ニュージャージー州(= New Jersey の略)
