Jun.	June / junior
Junc.	Junction
June	『6月』(《略》『Je.,Jun.』)
Juneau	ジュノー(米国アラスカ州南東部の港市で州都)
Junker	ユンカー(ドイツ,特に19世紀の東プロイセンの貴族的地主;将校・官僚の多くはこの出身)
Juno	(ローマ神話の)ジューノー,ユーノー(Jupiterの妻;結婚の女神;ギリシア神話のHeraに当たる)
Junoesque	(女性がJunoのように)美しくりっぱな,ふくよかな
Jupiter	(また『Jove』)(ローマ神話の)ジュピター(天地を支配する神々の王;ギリシア神話のZeusに当たる) / 木星
Jurassic	(地質時代の)ジュラ紀の / ジュラ紀
Jute	ジュート族の人 / 《the Jutes》ジュート族(5世紀ごろBritain島に侵入したゲルマン民族の一部族)
Jy.	July
jab	(とがった刃物で)…を突き刺す《+『名』+『with』+『名』》,(…に)…を突き刺す《+『名』+『into』+『名』》 / (ボクシングで)…をジャブを突く / (…を)鋭く突く,(ボクシングで)ジャブで突く《+『at』+『名』》 / 突き;(ボクシングで)ジャブ
jabber	早口でぺちゃくちゃしゃべる / …を早口でしゃべる / 早口の訳の分からぬおしゃべり
jabberer	早口でしゃべりたてる人,おしゃべり
jacaranda	ジャカランダ(熱帯アメリカ産の樹木)
jack	〈C〉ジャッキ,押上げ万力(まんりき) / 〈C〉ジャック,プラグの差し込み口 / 〈C〉(また『knave』)(カードの)ジャック / 《複数形で》(また『jackstones』)《単数扱い》ジャックス(一種のお手玉遊び) / (また『jackstone』)〈C〉(ジャックスで用いる)6本の角(つの)から成る金属製の駒,小石や動物の骨などの玉 / 《時にJ-》《話》男,やつ(fellow) / 〈C〉雄のロバ(一般に動物の)雄 / 〈C〉(国籍を示すための)船首旗 / 〈U〉《俗》《通例J-》金(かね)(money) / …をジャッキで持ち上げる(動かす)《+『名』+『up』,+『op』+『名』》
jack-in-the-box	びっくり箱
jack-in-the-pulpit	カラスビシャク(サトイモ科の植物)
jack-o'-lantern	=will-o'-the-wisp / かぼちゃちょうちん(米国でHalloween(10月31日の夜)に子供が作って遊ぶ)
jack-of-all-trades	なんでも屋,よろず屋
jack-tar, Jack-Tar	英国の水兵(水夫)
jackal	ジャッカル,キツネイヌ(イヌ科の動物でライオンの食べ残しをあさり,その手先と信じられた)
jackanapes	いたずら好きの子供
jackass	雄ロバ / まぬけ,とんま
jackboot	ひざの上までくる長靴
jackdaw	=daw
jackeroo,jackaroo	(牧場の)見習い,新米
jacket	『上着』,ジャケット(特殊な目的で上半身をおおう)胴着 / =dust jacket / 《米》(レコードの)ジャケット(本の)カバー / (パイプ・ボイラーなどの)被覆物 / 外被;(じゃがいもなどの)皮
jackhammer	(圧搾空気で動かす)手持ち削岩機
jackknife	(また『clasp knife』)ジャックナイフ(刃のたためる大型のポケットナイフ) / えび型飛込み,ジャックナイフダイブ / (トラクター・トレーラーなどが)まん中でVの字に折れ曲がる
jackleg	未熟な,へたな / 一時しのぎの,間に合わせの
jackpot	(ポーカーの)積み立て賭金 / (クイズなどで正解者が出るまでの)積み立て賞金;特賞,大当たり
jackrabbit	北米産の野ウサギ(長い耳と長く強い後ろ足を持つ)
jackscrew	ねじジャッキ
jackstone	=jack 4
jackstraw	《複数形で》《単数扱い》ジャックストロー(わら・つまようじなどを積み上げ,山をくずさないように1本ずつ抜きとる遊び) / この遊びに用いるわら・つまようじなど
jacquard	《しばしばJ-》ジャガード織り(一種の紋織り物)
