jogging	ジョギング(健康法としての軽いランニング)
joggle	…を軽くゆすぶる / 揺れる / 軽い揺れ(揺さぶり),振動
jogtrot	(馬の)ゆっくりした規則正しい歩調,緩歩 / きまりきったやり方
john	手洗い,便所
johnny	〈C〉《しばしばJohnny》 / 《俗》(入院患者の着る)えりなしガウン / 《英話》やつ,男
johnnycake	《米》薄焼きのとうもろこし粉のケーキ(パン)
join	〈二つ以上のもの〉を『つなぐ』,結合する《+『名』+『together』(『up』)》;(…に)…をつなぐ《+『名』+『to』(『onto』)+『名』》 / (線などで)〈二つ以上のもの〉の間を結ぶ(つなぐ)《+『名』+『by』(『with』)+『名』》 / (友情・結婚などで)〈人〉を結びつける《+『名』+『in』+『名』》 / 〈川・道などが〉…といっしょになる,合流する / 〈会など〉に『加入する』 / (…で)〈人〉の『仲間に入る』,といっしょになる《+『名』〈人〉+『in』(『for』)+『名』,+『名』〈人〉+『in』do『ing』》 / (…に)『加わる』《+『in』+『名』〈事〉,+『in』 『with』+『名』〈人〉》 / (人と…を)『ともにする』《+『with』+『名』〈人〉+『in』+『名』(doing)》 / 〈川・道などが〉『いっしょになる』,合流する / 接合箇所(点,面,線);継ぎ目
joiner	建具職,指物(さしもの)師 / 《話》多くの団体に好んで加入する人 / 結合する人(物)
joinery	建具職 / 《集合的に》建具類
joint	『関節』 / 『継ぎ目』,接合箇所,合わせ目 / 継ぎ目と継ぎ目の間の部分,節 / (二つの部分を継いだり支えたりするのに用いる)継ぎ手,ジョイント / (枝や葉の)つけ根,節 / (骨付きの)肉の大切り身 / 《俗》安酒場,とばく宿,アヘン窟(くつ) / 『共同の』,共有の;連帯の,連合の / 両院合同の;二院制議会の両院の / …を継ぎ合わせる;…を継ぎ目(関節)でつなぐ / …を継ぎ目で分ける;〈鳥・肉など〉を関節で切り分ける
joint account	共同預金口座
joint passport	保護者と12歳以下の子供を併記したパスポート
joint stock	〈U〉共有株式 / 共同出資資本 / {形}共同出資の
joint stock company	《米》合資会社 / 《英》株式会社
jointed	継ぎ目のある;関節のある
jointly	共同して,連帯で
joist	(床板や天井を支える)はり,けた,根太(ねだ)
joke	『冗談』,『笑い話』 / からかい,いたずら / こっけいなもの,物笑いの種 / 冗談を言う;冗談で言う
joker	冗談を言う人,おどけ者 / (カードの)ジョーカー
jokingly	冗談に
jollification	浮かれ騒ぎ,お祭り騒ぎ
jollily	愉快に,上きげんで,にぎやかに
jollity	愉快,陽気
jolly	(人が)『愉快な』,陽気な,上きげんの / (物事が)『楽しい』(pleasant);すてきな(nice) / 非常に(very) / (特に何かを得ようとして)〈人〉をおだてる,うれしがらせる《+『名』+『along』(『up』)》
jollyboat	ジョリー船(帆船に付属する小ボート)
jolt	…を激しく揺する;(精神的に)〈人〉をがたつかせる / 〈車などが〉ガタガタ揺れる,揺れながら進む《+『on』(『along』)》 / 急な揺れ(振動) / 突然の驚き(衝撃)
jolty	ガタガタ揺れる,がたつく
jongleur	(中世の)吟遊詩人,旅芸人
jonquil	キズイセン(黄水仙)
josh	(悪意はなく)〈人〉をからかう / 冗談を言う
joss	(中国人のまつる)神像,偶像
jostle	(ひじなどで)…を乱暴に(激しく)押す(突く) / 押す,突く;(…に)ぶつかる《+『against』+『名』》;(…を)押し分けて進む《+『through』+『名』》 / 押し合い,ぶつかり合い
jot	ごくわずか,微量;ごくわずか(の…)《+『of』+『名』》 / …をちょっと書き留める,手早くメモする《+『down』+『名,』+『名』+『down』》
jotter	書き留める人,メモする人 / 小さな手帳
jotting	走り書き,メモ
joule	ジュール(エネルギー・仕事の単位)
jounce	…を上下にガタガタ(激しく)揺する / 上下にガタガタ(激しく)揺れる / 動揺
jour.	journal
journal	『日誌』,日記(diary) / 議事録,議事日誌 / (学会・専門職業などの)定期刊行物;雑誌 / 『新聞』,(特に)日刊新聞
journalese	(表現など)ジャーナリズム調,新聞雑誌調
journalism	『ジャーナリズム』(新聞雑誌・テレビなど報道業;その世界) / 《集合的に》新聞雑誌 / (大学の)新聞学科,ジャーナリズム科 / 新聞雑誌[向き]の文[章]
journalist	ジャーナリスト
journalistic	新聞雑誌の,新聞雑誌的な,新聞雑誌記者的な
journalistically	新聞雑誌[記者]流に
journey	『旅行』,旅 / 『旅程』,行程 / 《比喩(ひゆ)的に》旅路;(…への)道程,道《+『to』+『名』》 / 旅行する
journeyman	(徒弟奉公をすませた)一人前の職人 / 熟練した職人
joust	(中世の騎士の)馬上やり試合 / 馬上やり試合をする
jovial	陽気な,愉快な,快活な
joviality	〈U〉陽気,快活,上きげん / 《複数形で》陽気な言葉(行為)
