keel	(船などの)竜骨,キール
keelhaul	〈人〉に船底をくぐらせる(規律違反者などを縛り,足におもりをつけ船底をくぐらせる刑罪) / 〈人〉を厳しくしかる
keen	(刃物などが)『鋭い』 / (寒さなどが)『厳しい』;(痛みなどが)『激しい』;(音などが)耳をつんざく;(言葉などが)人の心を刺す / (感覚・判断力などが)『鋭敏な』,鋭い / (感情・欲求などが)激しい,強烈な;(競争など)し烈な / 熱心な / (死者のために)大声で泣きながら歌う哀歌;泣き叫ぶこと / (死者を悼んで)哀歌を歌う / 〈悲しみなど〉を哀歌を歌うようにして表す;〈人〉を哀歌を歌って悼む
keen-eyed	目の鋭い
keenly	鋭く,激しく / 鋭敏に / 熱心に
keep	〈物〉を『ずっと持っている』,保持する / 〈物〉を『保存しておく』,しまっておく,取っておく / 〈ある状態〉を『保ち続ける』,保つ / (ある状態・関係・場所に)〈人・物〉を『保つ』,しておく,とどめておく / 〈日記・帳簿など〉をつけている / 〈約束・規則・慣習など〉を『守る』,に従う,〈約束した時間・定められた祭りなどの日〉を守る / …の『管理する』,世話をする / (…から)…を『守る』,保護する《+『名』+『from』+『名』》 / 《『keep』+『形』(『過分』)〈補〉》(ある状態・動作などを)『保つ』,(…し)続ける,(…の)ままでいる / 《副詞[句]を伴って》(ある場所に)『ずっといる』 / 〈食物などが〉保存がきく,もつ / 〈U〉生活費;食物,糧食;(動物の)飼育費 / 〈C〉(中世の城の)本丸,天守閣
keeper	《しばしば複合語を作って》『守る人』,管理人,番人;店主,経営者
keeping	保管,保存
keepsake	記念品,形見
keg	(5‐10ガロン(20‐40l)入りの)小さなたる / ケグ(くぎの重量単位;100ポンド(45kg))
kegler	ボウリング競技者,ボウラー(bowler)
kelp	ケルプ(コンブ・アラメなど大形の海草の総称) / ケルプ灰(ヨードを含む)
ken	理解;理解の範囲 / 〈人・物〉を知る(know)
kennel	犬小屋 / 《複数形で;《米》複数扱い,《英》単数扱い》(犬を飼育する)犬舎 / …を犬小屋に入れる,犬小屋で飼う
keno	キーノー(とばくの一種)
kepi	ケピー帽(上が平らで筒型のフランスの陸軍帽)
kept	keepの過去・過去分詞
kept woman	妾(めかけ),囲い女
kerb	=curb3
kerbstone	=curbstone
kerchief	ネッカチーフ(neckerchief) / ハンカチ(handkerchief)
kerchoo	=atchoo
kerf	(のこぎりなどで木につけた)切り込み,ひき目;(枝などの)切り口
kerfuffle	から騒ぎ,つまらない大騒ぎ, 騒動, 言い争い
kernel	(果実の)仁(じん) / (麦・とうもろこしなどの)穀粒(grain) / (問題の)核心,眼目
kerosene,kerosine	灯油(《英》paraffin) [oil]
kersey	カルゼ織り(地の粗いあや織りの毛織物)
kestrel	チョウゲンボウ(ハヤブサの一種の鳥)
ketch	ケッチ(2本マストの帆船)
ketchup	ケチャップ
kettle	『やかん』,湯沸し
kettledrum	(楽器の)ケトルドラム,ティンパニー
