kindergarten	幼稚園
kindergartner, kindergartener	幼稚園児 / 《おもに英》幼稚園の保母
kindhearted	心優しい,情け深い
kindle	〈火〉を『起こす』;〈物〉に火をつける,点火する / 〈感情など〉を『かき立てる』,燃え立たせる / …を輝かせる,明るくする / 火がつく,燃え出す / 〈人が〉興奮する;〈怒りなどが〉燃え上がる / (…で)輝く;生き生きとする《+『with』+『名』》
kindliness	〈U〉親切さ,思いやり,温情;〈C〉《古》親切な行い / 〈U〉《古》(気候などの)温和
kindling	たきつけ
kindly	『親切な』,思いやりのある / 《文》(気候などが)快い,気持ちのよい;温和な / 《文》(土地が農作物などに)適した(favorable) / 『親切に』,『優しく』 / 心から(heartily) / 『どうぞ』
kindness	〈U〉『親切』,思いやり,情け深さ / 〈C〉(…に対する)『親切な行い』《+『to』+『名』》
kindred	《複数扱い》『親族』,親類(relatives) / (…との)親類関係《+『to』(『with』)+『名』》 / (起源・性質・信念などの点で)関連のある;同族の,同類の
kine	雌牛(cows);牛(cattle)
kinematics	[応用]運動学
kinescope	=picture tube / テレビ番組の録画
kinesics	動作学(身振り・表情などの研究)
kinesthesia	(筋肉・けん・関節に感じる)運動感覚
kinetic	運動の / 動きによる,動的な
kinetic art	動く芸術(光や動く物体を素材として利用する美術の一様式)
kinetics	動力学
kinfolk, kinfolks	=kinsfolk
king	『王』,国王 / 王にたとえられる人(物),…王,大立て者 / (カードの)キング / (チェスの)キング,王将
king's evidence	訴追免除証言,共犯証言
king's evil	るいれき(scrofula)(王に触れてもらえば治ると信じられていたリンパ腺の病気), 国王病
king-size	標準より長い(大きい),特大の
king-sized	=king-size
kingbird	タイランチョウ(北米産;極楽鳥の一種)
kingbolt	中心ピン(馬車・列車などの台車と前軸・前車軸を連結するボルト)
kingcup	=buttercup / 《おもに英》=marsh marigold
kingdom	〈C〉『王国』 / 〈C〉(学問・芸術・活動などの独立した)分野,世界,領域 / 〈C〉(特に自然界を三大区分した)界 / 〈U〉神(キリスト)の国,御国(みくに)
kingfisher	カワセミ
kinglet	小国の王 / キクイタダキ属の小鳥
kingly	王の(royal);王のような;王にふさわしい;威厳のある / 王らしく
kingmaker	(政党の)実力者,有力者 / 国王擁立者(Henry6世とEdward4世を擁立したEarl of Warwickを指す)
kingpin	(ボウリングで)1番ピンまたは5番ピン / 《話》中心人物,立て役者;親分 / =kingbolt
kingship	王の身分,王位,王権;王の尊厳 / 王政
kink	(糸・綱などの)もつれ,ねじれ / (首や背の筋肉の)痛み,こり / 《話》(機械・計画などの)欠陥,不備(flaw) / 《話》つむじ曲がり;むら気,気まぐれ / …をよじる,もつれさす / よじれる,もつれる
kinkajou	キンカジュー(アライグマ科;メキシコ・中南米産;樹上に住む)
kinky	よじれた,もつれた / (性格・行動・考え方などの点で)一風変わった
kinsfolk	親類,一族
kinship	血族関係,親類関係 / 近縁,類似(resemblance)
kinsman	親類の男
kinswoman	親類の女
kiosk	キオスク(街頭・公園などの小さな売店) / (屋内・屋外を問わず)公衆電話ボックス
kip	〈C〉〈U〉《a~》《話》ひと眠り / 〈C〉《俗》ねぐら,宿 / 寝る,横になる《+『down』》 / 幼獣(小獣)の皮 / キップ(Laosの貨幣単位) / キップ(重量の単位;1000ポンド)
kipper	くん製の魚(特にニシン) / 〈ニシン〉をくん製にする
kirk	(スコットランド・北英の)教会
kirsch	チェリーブランデー(さくらんぼを原料としたブランデー)
kirtle	カートル / (中世に用いられた)婦人服 / 男子用の短い上着
kismet	運命
kiss	…に『口づけする』,『キスする』 / …に軽く触れる / 口づけする,キスをする / 《俗》(前の車に)追突する / 『口づけ,キス』 / 軽く触れること / (1個ずつ紙・銀紙に包まれたチョコレートなどの)小さなキャンデー
kissable	(特に女性が肉体的魅力のために)キスしたくなる
kisser	キスする人 / 《俗》顔;口,唇(くちびる)
kit	〈C〉(特定の目的のための)用具(器具など)一式 / 〈C〉一式の用具を入れる箱(袋など) / 〈U〉《おもに英》(旅行者・水夫・兵士などの衣類など)身の回り品一式 / 〈C〉(全体を構成する)部品(材料)の一そろい / =kitten
kitbag	(兵士の)雑のう,背のう
kitchen	『台所』,調理場
kitchen garden	家庭菜園
kitchen maid	料理人を手伝う女中
kitchen police	〈C〉〈U〉(軍隊での)炊事当番;〈C〉炊事当番兵
kitchen-sink drama	《英》深刻劇(労働者階級の家庭を扱った深刻な劇)
kitchenette	部屋の隅に作り付けた台所;小さい台所
kitchenware	台所用品
kite	『トビ』(ワシタカ科の猛鳥) / 『たこ』(凧)
kith	[今は成句のみに用いて] 友人, 隣人, 同胞, 知己; 親戚 (kindred)
kith and kin	親戚知己 (friends and relatives); 親類縁者
kitsch	駄作,俗悪作品
kitschy	低俗な,無価値な
kitten	『子猫』
kittenish	子猫のような / じゃれる
kittiwake	ミツユビカモメ(長い翼を持つ鳥)
kitty	子猫(kitten)
kitty-corner, kitty-cornered	=cater-cornered, 対角線の, はすかいの, 斜め向かいの, 対角線上の
kiwi	キウィ(ニュージーランド産の翼の小さな空を飛べない鳥)
klaxon	クラクション(自動車の警笛)[の音]
kleptomania	盗癖
kleptomaniac	盗癖のある人
klieg light	撮影用のアーク灯
km.	(また『km』)kilometer[s]
knack	(…の)こつ,腕前,手際《+『for』(『of, in』)+『名』(do『ing』)》
knacker	廃馬屠殺(とさつ)業者 / 廃船(廃屋)解体業者
knackered	くたびれ果てた
knapsack	ナップザック,リュックサック
knave	《古》悪漢,ごろつき / =jack
knavery	〈U〉不正;〈C〉悪事
knavish	悪漢のような,ふらちな;不正な
knead	〈練り粉など〉をこねる / 〈筋肉〉をもむ
knee	『ひざ』,ひざがしら / (洋服の)ひざの部分;ひざのように曲がった物 / …をひざでける
knee breeches	ひざまでの男子用半ズボン
knee-deep	ひざまでつかっている / ひざまでの深さの / 《補語にのみ用いて》(困難などに)深くはまり込んで《+『in』+『名』》
knee-high	ひざまでの高さの
knee-length	(衣服が)ひざまでの長さの
kneecap	(また『patella』)ひざがしらの骨 / ひざ当て / 〈人〉のひざがしらを撃つ
kneehole	〈U〉(机の下などの)両ひざを入れる空間 / 〈C〉両そで机
kneel	(…に)『ひざまずく』,ひざをつく《+『down on』+『名』》
kneepad	ひざ当て
knell	葬式の鐘;その音 / (死や物事の不成功の)前ぶれ,知らせ,凶兆 / (葬式で)〈鐘が〉悲しく厳かに響く
knelt	kneelの過去・過去分詞
knew	knowの過去形
knickerbockers	ニッカーズボン(ひざの下でくる緩い半ズボン)
knickers	《おもに米》=knickerbockers / 《英話》ブルーマー型の女性用下着 / (立腹を表して)ちぇっ
knickknack	小間物,室内装飾品,服飾品
knife	『ナイフ』,小刀;包丁;短刀 / (機械などの)刃 / …をナイフ(短刀)で切る(刺す) / (ナイフで)切るように進む
knife-edge	ナイフの刃 / やせ尾根 / (ドレス・ズボンのひだが)ぴんとついた
