L	lira(イタリアの貨幣単位リラ)
L,	pound(英国の貨幣単位ポンド;ラテン語libraの略)
L,l	〈C〉英語アルファベットの第『12』字 / 〈C〉『L』字形[のもの] / 〈U〉(ローマ数字の)『50』
L-driver	運転教習生
L-plate	仮免許プレート(運転者が教習生であることを示す)
L.	Latin / Licentiate / Linnaean / Lake / latitude / 《英》learner(自動車の運転の仮免許マーク)
L.A.	Los Angeles
L.I.	Long Island
L.P.	low pressure 低圧
L.S.	left side / letter signed
L.T.	long ton / low-tension
L/C	(また『l/c』) letter of credit
LD	lethal dose(薬の)最小致死量
LDC	less developed country発展途上国,低開発国
LED	light-emitting diode
LEM	lunar excursion module 月着陸船
LF	low frequency
LG	Low German
LL.B.	Legum Baccalaureus(ラテン語)法学士(=Bachelor of Laws)
LL.D.	Legum Doctor(ラテン語)法学博士(=Doctor of Laws)
LM	lunar module月着陸船
LNG	liquefied natural gas液化天然ガス
LOL	【インターネットで使われる略語】= (I'm) laughing out loud. / 大爆笑 / 大声で笑っています、爆笑
LP	エルピーレコード(1分間33 1/3回転のレコード;商標名)
LPG	liquefied petroleum gas 液化石油ガス
LSD	エルエスディー(一時的な幻覚や精神分裂症を引き起こす薬剤)
LSS	life support system 生命保持装置
LTL	less than truckload 積載量以下の
LZ	landing zone
La	lanthanumの化学記号
La Paz	ラパス(ボリビアの都市で政府所在地;名目上の首都はSucre)
La.,LA	Louisiana
Lab	Labour Party(英国の)労働党
Lab.	Labrador
Labor Day	労働祭(米およびカナダの法定休日で,9月の第1月曜日)
Labrador	ラブラドル半島(カナダ北東部) / ラブラドル地方
Lam.	lamentation2
Lamaism	ラマ教
Lamaze technique	無痛分娩導入法
Lamb	ラム(『Charles~』;1775‐1834;英国の文人・随筆家・批評家)
Lancelot	ランスロット(アーサー王の円卓の騎士のうちで一番の勇士)
LandRover	ランドローバー(でこぼこ道の走行用の車の商標名)
Lansing	ランシング(米国Michigan州の州都)
Laos	ラオス(アジア南東部の共和国;首都はVientiane)
Laotse,Laotsze	老子(604‐531B.C.;中国の哲学者で道家思想の開祖), =Lao-tze
Lapland	ラップランド(スカンジナビア地方の最北部地域)
Lapp	(また『Laplander』)〈C〉ラップランド人(Lapland地域に住む) / (また『Lappish』)〈U〉ラップランド語
Las Vegas	ラスベガス(米国Nevada州南東部の歓楽街のある都市)
Last Judgment	(キリスト教で)最後の審判(=Judgment Day)
Last Supper	最後の晩餐(ばんさん)(キリストが処刑される前夜に12人の弟子と共にした)
Lastex	ラステックス(ゴム芯(しん)糸の商標名)
Lat.	Latin
Latakia	ラタキアたばこ(トルコ産の高級たばこ)
