Lisbon	リスボン(ポルトガル共和国の首都)
Liszt	リスト(『Franz~』;1811‐86;ハンガリーの作曲家・ピアニスト)
Lithuania	リトアニア(旧ソ連邦内の共和国)
Lithuanian	〈C〉リトアニア人 / 〈U〉リトアニア語 / リトアニア[人,語]の
Litt.D.	Litter arum Doctor(ラテン語)文学博士(=Doctor of Letters; Doctor of Literature)
Little Bear	=Ursa Minor
Little Dipper	小熊座,小北斗七星
Little League	リトルリーグ(12歳以下の少年のチームで構成した米国の野球リーグ)
Little Rock	リトルロック(米国Arkansas州の州都)
Liverpool	リバプール(英国西部の港市)
Liverpoolian	リバプール市民 / リバプール[市民]の
Livingstone	リビングストン(『David~』;1813‐73;スコットランド生まれの宣教師・アフリカ探検家)
Lk.	Luke
Loire	ロワール川(フランス最長の川)
Lombard Street	ロンバード街(ロンドンの金融街;米国のWall Streetにあたる)
London	ロンドン(英国の首都) / 《the City of ~》首都ロンドンの商業(金融)中心地である旧市部(他の区とは違った権限を持つ;略称 the City)
Londoner	ロンドンっ子
Long Beach	ロングビーチ(米国California州の都市)
Long Island	ロングアイランド(米国ニューヨーク湾頭に横たわる長い島;《略》『L.I.』)
Lord Chancellor	大法官(英国最高位の裁判官)
Lord's Prayer	主の祈り(キリストが弟子に与えたOur Fatherで始まる祈り)
Lord's Supper	聖餐(せいさん)式 / =Last Supper
Lord's day	主の日曜日
Lorelei	ローレライ(ライン川右岸の岩上に現れ,美しい歌声で船人を誘惑し船を難破させたというドイツの伝説上のニンフ)
Los Angeles	『ロサンゼルス』(米国California州南部の都市;《略》『L.A.』)
Lothario	女たらし
Louis	ルイ14世(1638‐1715;フランス王(1643‐1715)) / ルイ16世(1754‐1793;フランス王(1774‐1792)で,フランス革命により断頭台で処刑された)
Louisiana	ルイジアな州(米国南部の州で,州都はBaton Rouge;《略》『La.,LA』)
Louisville	ルイビル(米国Kentucky州にある港市)
Louvre	ルーブル(パリにある国立美術博物館)
Low Church	低教会派(権威・儀式よりも福音を重視する英国国教の一派)
Low Countries	低地諸国,ベネルックス3国(ベルギー・オランダ・ルクセンブルク)
Low German	低地ドイツ語 / 北ドイツ方言
Lower House	(2院制の議会の)下院
Lowlander	スコットランド低地人
Lr	lawrenciumの化学記号
Lsd,￡sd	ポンド・シリング・ペンス / 金銭(money)
Lt.	lieutenant
Lt.Col.	lieutenant colonel
Lt.Comdr.	lieutenant Commander
Lt.Gen.	lieutenant general
Ltd.,ltd.	limited
Lu	lutetiumの化学記号
Lua	組み込み用途向きプログラミング言語(ポルトガル語の月に由来)
Lubbock	ラバック(米国 Texas州の都市)
Lucifer	明けの明星,金星(Venus) / 魔王(Satan)
Luke	(またSt.Luke)ルカ(キリストの12使徒の一人) / (新約聖書の)ルカによる福音書
Luna	ルーナ(ローマ神話の年の女神;ギリシア神話のSeleneに当たる)
Luther	ルーテル,ルター(『Martin~』;1483‐1546;ドイツの宗教改革者)
Lutheran	ルーテルの,ルーテル派の,ルーテル教会の / ルーテル教徒
Luxemburg, Luxembourg	ルクセンブルク(ドイツ・フランス・ベルギーに囲まれた大公国;その首都)
Luzon	ルソン島(フィリピン群島の主島)
Lw	lawrenciumの化学記号
Lydia	リジア(昔小アジア西部にあった富裕な王国)
Lyons	リヨン(フランス東部の都市)
l	liter[s]
l.	lake / left / length / (複『ll.』)line
l.c.	loco citato(ラテン語)上記引用文中(=in the place cited)
l.c.d.,L.C.D.	lowest(least) common denominator最小公分母
l.c.m.,L.C.M.	lowest(least) common multiple最小公倍数
l.h.	left hand / lower half
la	ラ(全音階の第6音)
la-di-da,la-de-de	気どった,上品ぶった
lab	実験室(laboratory)
label	(品名・製造元などを示す)『はり札』,ラベル;(小包などの)荷札 / (団体・運動・政党支持者などの特徴を示す)短い文句,通り名;(辞書の見出し語などにつける)ラベル([物理][化学]など) / …に『ラベルをはる』,荷札をつける;《比喩(ひゆ)的》〈人〉にレッテルをはる
labeler,labeller	ラベル(札)をはる道具(人)
labia	labiumの複数形
labia majora	大陰唇
labia minora	小陰唇
labial	くちびる(lip)の / 唇音(しんおん)の / 唇音([m][p][b]など)
labile	(特に化学的に)変化を起こしやすい,不安定な
labium	くちびる;くちびる状の物 / 《複数形で》陰唇
labor market,labour market	労働市場
