lackey	卑屈な追従(ついしょう)者;従僕(じゅうぼく),下男(footman)
lacking	『欠けている』,ない
lackluster,lacklustre	光のない,どんよりした;活気(生気)のない
laconic	(言葉の)簡潔な,口数の少ない
lacquer	ラッカー;(中国・日本産の)漆(うるし) / 《集合的に》漆器 / …にラッカー(漆)を塗る
lacrimal	=lachrymal / 涙腺(るいせん)の近くにある
lacrosse	ラクロス(10人ずつ2チームで行うホッケーに似たゲーム)
lactate	乳を出す
lactation	乳の分泌 / 授乳期間
lacteal	乳の,乳状の;乳からできている
lactic	乳の;乳から採れる
lactic acid	乳酸
lactose	乳糖
lacuna	(物を取り去ったあとにできる)空白,空隙(くうげき) / 骨小窩(か)(骨の中の小さなすき間)
lacy	レースの,レースのような
lad	若者,少年(boy) / 《話》《おもにイギリス北部で,親愛を表す呼び掛けに用いて》男,やつ
ladder	『はしご』 / (立身出世の)手段,手づる / 《英》(靴下・編み物などの)伝線,ほつれ(《米》run) / (はしごで)…を登る,にはしごをかける / 《英》〈靴下〉をほつれさせる,伝線させる / 〈靴下などが〉ほつれる,伝線する(《米》run)
laddie,laddy	少年,若者
lade	〈特に,荷など〉を積む / …をひしゃく(スプーン)ですくう / 荷を積む / ひしゃく(スプーン)ですくう
laden	ladeの過去分詞 / 荷を積んだ;(…を)積み込んだ《+『with』+『名』》 / 《補語にのみ用いて》(…の重さで)押し下げられた《+『with』+『名』》
ladies' man, lady's man	女好きの男,女の気を引こうとする男
ladies' room, ladies room	婦人用公衆便所(《英》Ladies')
ladies,ladies'	婦人用公衆便所(《米》Ladies['] room)
lading	船積み,積載 / 積み荷,船荷(cargo)
ladle	ひしゃく / (ひしゃく・スプーンなどで)…をくむ,くみ上げる,すくう《+『名』+『out,』+『out』+『名』》
lady	(教養・礼儀を身につけ,洗練された趣味をもつ)『淑女』,貴婦人 / 《女性(woman)に対する丁寧な言い方として》『婦人』 / 《L-》《英》…『夫人』,…令夫人(SirまたはLordの称号をもつ貴族の夫人,また公(侯,伯)爵の令嬢に対する敬称) / (一般に)女性,婦人(woman)
lady's slipper	アツモリソウ(ラン科の植物)
lady-in-waiting	(女王などの)侍女;女官
lady-killer	(女性を引きつける)レディーキラー,女殺し
ladybug	テントウムシ
ladyfinger	指の形をしたカステラ風の菓子
ladylike	貴婦人らしい,淑女にふさわしい;上品な,しとやかな
ladylove	女性の恋人,愛する女性
ladyship	〈U〉貴婦人としての身分 / 《しばしばL-》《her~,your~》Ladyの尊称をもつ婦人に対する敬称;令夫人,奥さま;ご令嬢,お嬢さま
laetrile	あんずやももの種子から作るがんに効果があるといわれる薬
lag	『遅れる』,(学業・仕事などで)遅れをとる《+『behind』》;(…より)遅れる《+『behind』+『名』》 / 〈関心などが〉衰える / 遅れること,遅延 / (熱の放散を防ぐために)〈ボイラー管など〉を被覆する,包む / 囚人,前科者
lager	貯蔵ビール,(低温で数か月貯蔵したもので,日本の普通のビールもこの種類)
laggard	ぐずぐずする人,のろま / 遅い,のろい
lagging	遅れること / (ボイラー管などの)被覆[材],断熱[材]
lagniappe	(買い物の際の)おまけ
lagoon	鹹(かん)水湖,潟(かた)(低い砂州(さす)・環礁(かんしょう)によって海から隔てられているところ) / (サンゴ島の)礁湖(しょうこ)
lah-di-dah	=la-di-da, 気取った態度, 気取り(屋), 気取った, きざな
laid	layの過去・過去分詞 ・「get laid」で「セックスをする」
laid-back	リラックスした(雰囲気の)・くつろいだ・のんびりとした・ゆったりした・気軽な・こだわりのない
lain	lieの過去分詞
lair	(野獣の)寝ぐら,巣
laird	(スコットランドの)地主
laissez-faire	自由放任主義,無干渉主義
laity	(聖職者に対して)平信徒,俗人(layman, laywoman);(職業人・専門家に対して)専門外の人々,しろうと衆
lake	『湖』 / 深紅色の顔料
lallygag	《米話》怠ける,ぶらぶらする, いちゃつく, 性行為にふける, 抱き合って愛撫する
lam	…を打つ,たたく,なぐる / 打つ,たたく,なぐる / すばやくずらかる
lama	(チベット・モンゴルのラマ教の)ラマ僧
lamasery	ラマ教の僧院
lamb	〈C〉『子羊』 / 〈U〉子羊の肉 / 〈U〉=lambskin / 《the L-》神の子,キリスト(Christ) / 〈C〉気だてのやさしい(柔和な)人,無邪気な人 / 〈羊が〉子を産む
lambast,lambaste	…をぶんなぐる / (…について)…にがみがみ言う《+『名』+『about』+『名』(do『ing』)》
lambda	ラムダ(ギリシア語アルファベットの第11字Λ,λ;英語のL,lに相当)
lambent	(特に炎が)ちらちらゆらめく / 軽妙な / 柔らかく輝く
lambkin	子羊 / 愛児,よい子
lamblike	子羊のような;おとなしい,従順な
lambskin	〈C〉(毛つきの)子羊の皮 / 〈U〉子羊のなめし皮 / 〈U〉羊皮紙
lame	『びっこの』,脚の不自由な / (議論・説明などが)貧弱な,おそまつな / (身体[の一部]が)かたく凝った / …をびっこにする;…を不具にする / ラメ(金・銀の糸を織り込んだ織物)
lame duck	だめな人(事) / 《米》(再選に落ちたが)まだ任期中の議員(大統領など)
lamebrain	ばか,のろま,まぬけ(booby)
lamella	(組織・細胞などの)薄板,薄膜
lament	(…を)『嘆く』,嘆き悲しむ《+『for』(『over, about』)+『名』(do『ing』)》 / …を『嘆く』,嘆き悲しむ / (…の)嘆き,悲しみ,悲嘆《+『for』+『名』》 / 哀歌,挽歌(elegy)
lamentable	悲しむべき,嘆かわしい
lamentably	嘆かわしく
lamentation	〈U〉嘆き悲しむこと,悲嘆;哀悼の言葉 / 《Lamentations》エレミア哀歌(旧約聖書の一書;《略》『Lam.』)
lamia	ラミア(胴体が蛇の姿をしたギリシア神話の女の怪物) / 魔女
lamina	薄層,薄片,薄板
laminate	(にかわ・加熱などで)…を層板にする / 〈金属〉を薄板にする / (層を重ねて作った)安全ガラス,合板[など]
lamination	〈U〉層板にする(なる)こと;〈C〉薄板
lamming	(言葉やこぶしなどによる)攻撃
lamp	(電気・ガス・石油などの)『ランプ』,灯火,明かり / (照明用以外の)『ランプ』 / (知的・精神的な)光,光明
lampblack	油煙,煤煙(ばいえん);黒色顔料(絵の具)
lamplight	灯火
lamplighter	(街灯の)点灯夫;点灯用具
lampoon	風刺文(詩),落首 / (風刺文などで)…を風刺する
lampooner	風刺文を書く人,風刺作家
lampoonist	=lampooner
lamppost	街灯の柱
lamprey	ヤツメウナギ(大きな吸盤状の口を持つ)
lampshade	ランプのかさ
lanai	ベランダ
lance	(槍騎兵(そうきへい)が突撃のときに使う)やり / (魚を突く)やす,もり / 槍騎兵(=lancer) / =lancet / …をやりで突く / …をランセット(lancet)で切開する / …を投げつける,投げ飛ばす
lance corporal	(米海兵隊の)上等兵 / (英軍の)最下位の伍長
lancer	(また『lance』)〈C〉(やりで武装した)槍騎兵(そうきへい) / 《複数形で》《単数扱い》ランサーズ(男女4組から成る古い舞踏の一種,またその曲)
lancet	ランセット,刃針(はばり)(外科医が用いる切開用の両刃のナイフ)
land	〈U〉(海・川・湖に対して)『陸』,陸地 / 〈U〉(性質・用途から見た)『土地』,土壌(ground, soil) / 〈C〉『国』,国土(country) / 〈C〉(特定の)地域の住民,国民 / 《the lands》(特定の)地域,地帯 / 〈U〉〈C〉(財産としての)土地,所有地 / (…に)〈飛行機などが〉『着陸』(『着水』)『する』《+『at』(『in, on』)+『名』》 / (…に)〈船が〉『着岸する』,陸づけする《+『at』(『in』)+『名』》 / (…に)〈人が〉船から上陸する《+『at』(『in, on』)+『名』》 / (ある所・物に)〈物が〉当たって止まる;〈鳥が〉舞い降りる《+『at』(『in, on』)+『名』》 / (悪い状態に)なる,陥る《+『up in』+『名』》 / (…に)〈飛行機など〉を着陸させる《+『名』+『at』(『in, on』)+『名』》 / (…に)〈人・貨物など〉を上陸させる,陸揚げさせる《+『名』+『at』(『in, on』)+『名』》 / (悪い状態に)〈人〉を陥らせる《+『名』+『in』+『名』》 / (陸・船内に)〈魚〉を引き(釣り)上げる / 《話》〈職・賞など〉を得る,獲得する
land breeze	陸風,陸軟風(夜,陸から海に向かって吹く風)
land crab	オカガニ(おもに陸に住む)
land grant	政府払い下げ用地
land office	公有地管理局
land-office business	景気のいい商売,ぼろもうけの仕事
land-poor	土地貧乏の,多くの土地を持ちながら現金に困っている
landau	(二人乗り)四輪馬車(座席が前後に向きあっていて幌(ほろ)が前後に折りたためる)
landed	土地を所有する / 土地から成る
landed interests	地主側
lander	宇宙着陸船
